Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj
Jayson Tatum,19.0,80.0,2438.0,0.586,0.29,0.309,2.3,15.6,8.3,1.7,2.0,10.7,19.5,7.1,0.139,1.0,62.0,0.029,-3.8,-2.0,-1.3,5.1,-0.021,0.5,-3.1,0.3894,0.0192
Al Horford,31.0,72.0,2277.0,0.575,0.3,0.159,5.0,20.2,23.6,0.9,2.9,14.1,18.4,7.8,0.165,4.0,58.0,0.057,-4.6,-0.2,-0.5,6.5,-0.019,-1.9,-1.4,0.2875,0.021
Jaylen Brown,21.0,70.0,2152.0,0.562,0.381,0.29,3.4,14.0,8.5,1.6,1.0,12.0,21.4,4.5,0.1,-0.2,54.0,0.028,-0.3,-0.3,-1.3,5.5,-0.017,0.4,-2.9,0.3822,0.0184
Terry Rozier,23.0,80.0,2068.0,0.52,0.503,0.186,3.4,16.3,17.5,1.9,0.8,8.5,20.4,5.6,0.13,1.8,52.0,-0.028,0.0,-0.3,-0.9,-3.0,-0.01,-0.9,-0.5,-0.2389,0.0066
Kyrie Irving,25.0,60.0,1931.0,0.61,0.374,0.24,1.9,10.8,30.7,1.7,0.7,10.4,31.0,8.9,0.222,6.2,49.0,0.04,-1.0,-3.0,-0.8,7.1,0.0,-1.0,4.0,-0.1784,0.0204
Marcus Smart,23.0,54.0,1614.0,0.479,0.483,0.258,3.0,9.8,23.7,2.2,1.2,18.4,19.4,1.9,0.056,-0.5,41.0,0.002,0.0,-0.6,-0.5,0.5,-0.02,1.3,-4.6,0.2435,0.0134
Aron Baynes,31.0,81.0,1485.0,0.502,0.047,0.175,9.7,22.1,9.6,0.7,2.9,14.3,16.8,3.0,0.097,-1.7,37.0,-0.008,1.4,5.8,-0.2,-1.5,-0.024,0.1,-6.8,0.4244,-0.0179
Marcus Morris,28.0,54.0,1447.0,0.541,0.383,0.252,3.3,18.4,8.1,1.2,0.7,8.7,23.0,3.2,0.108,-1.7,36.0,-0.014,-0.7,-0.7,-0.6,-0.2,0.024,-1.6,5.9,-0.5912,0.0051
Semi Ojeleye,23.0,73.0,1150.0,0.473,0.665,0.218,3.6,11.6,2.4,0.9,0.3,10.8,9.0,1.2,0.048,-3.5,29.0,-0.04,0.3,-0.8,1.2,-9.4,0.021,0.3,3.2,-0.7574,-0.0294
Daniel Theis,25.0,63.0,936.0,0.616,0.249,0.348,10.7,21.2,9.1,1.6,4.3,17.2,15.5,3.5,0.178,2.6,24.0,-0.028,3.4,-0.7,0.2,-1.5,-0.002,0.6,0.9,-0.2459,-0.0348
Shane Larkin,25.0,54.0,775.0,0.491,0.393,0.169,2.1,10.7,18.5,1.9,0.3,12.3,15.5,1.4,0.087,-2.1,20.0,-0.039,1.2,0.2,0.4,-6.0,0.006,3.0,-3.4,-0.1188,-0.0387
Abdel Nader,24.0,48.0,522.0,0.439,0.436,0.262,2.8,12.0,7.1,1.4,1.6,17.0,17.1,-0.1,-0.014,-5.6,13.0,-0.032,0.8,3.8,4.1,-8.8,0.048,-0.8,7.3,-0.5472,-0.0585
Greg Monroe,27.0,26.0,496.0,0.58,0.0,0.348,11.9,24.4,20.5,2.8,2.9,17.4,24.9,2.0,0.193,4.5,13.0,-0.013,2.5,-2.1,2.7,-5.1,0.05,0.5,7.0,-0.3845,-0.027
Guerschon Yabusele,22.0,33.0,235.0,0.559,0.607,0.361,8.0,16.1,10.0,0.9,1.8,14.5,15.7,0.6,0.122,-0.7,6.0,-0.026,8.4,2.1,2.3,-2.8,0.046,1.6,2.5,-0.1959,-0.0941
Jabari Bird,23.0,13.0,115.0,0.615,0.269,0.5,5.8,12.2,10.5,1.3,0.7,20.1,15.4,0.2,0.098,-2.1,3.0,0.04,10.5,1.1,3.0,6.5,0.03,1.7,0.8,-0.1283,-0.0843
Kadeem Allen,25.0,18.0,107.0,0.366,0.5,0.409,4.1,7.1,15.2,1.4,1.6,25.7,14.6,-0.1,-0.039,-6.4,3.0,-0.068,8.8,7.0,4.6,-9.4,0.02,0.0,-0.3,-0.1639,-0.1179
Jonathan Gibson,30.0,4.0,40.0,0.739,0.522,0.0,0.0,8.1,22.6,0.0,0.0,11.5,29.0,0.2,0.195,1.9,1.0,0.099,-6.9,4.9,1.1,7.7,0.077,-2.8,15.0,-0.1495,-0.0848
Xavier Silas,30.0,2.0,7.0,0.0,0.667,0.0,15.8,15.4,0.0,7.1,0.0,0.0,19.1,0.0,-0.25,-13.4,0.0,-0.226,11.8,-16.0,-7.9,11.9,0.038,-1.4,8.9,-0.1397,-0.1314
Jarell Eddie,26.0,2.0,6.0,0.0,1.0,0.0,0.0,18.0,0.0,8.3,0.0,0.0,7.4,0.0,-0.026,-3.5,0.0,-0.296,-21.6,21.6,-5.5,-53.7,0.227,-5.6,32.0,-0.1397,-0.1322
Gordon Hayward,27.0,1.0,5.0,0.5,0.5,0.0,0.0,21.6,0.0,0.0,0.0,0.0,17.9,0.0,0.056,-12.0,0.0,-0.018,-1.5,1.6,-5.5,1.0,-0.12,5.3,-14.5,-0.1397,-0.1308
