Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,VORP,
LeBron James,24.0,81.0,3054.0,0.591,0.238,0.472,4.3,19.0,38.0,2.4,2.4,11.0,33.8,20.3,0.318,13.0,11.6,
Mo Williams,26.0,81.0,2834.0,0.588,0.373,0.202,2.1,9.4,20.1,1.3,0.3,12.7,23.4,9.8,0.165,2.3,3.1,
Anderson Varejao,26.0,81.0,2306.0,0.565,0.004,0.496,8.9,20.6,5.4,1.8,2.3,11.5,14.2,8.0,0.166,1.6,2.1,
Delonte West,25.0,64.0,2152.0,0.559,0.365,0.173,1.8,9.2,16.6,2.4,0.5,12.0,16.7,6.4,0.142,2.3,2.3,
Daniel Gibson,22.0,75.0,1795.0,0.519,0.537,0.163,2.1,7.9,11.3,1.3,0.7,9.7,16.5,3.8,0.101,-0.7,0.6,
Zydrunas Ilgauskas,33.0,65.0,1765.0,0.523,0.054,0.24,11.0,21.6,6.4,0.9,3.8,10.1,23.8,5.6,0.151,-0.9,0.5,
Wally Szczerbiak,31.0,74.0,1527.0,0.581,0.422,0.266,3.5,14.2,8.3,1.0,0.5,11.0,15.4,4.5,0.14,-0.2,0.7,
Ben Wallace,34.0,56.0,1314.0,0.45,0.0,0.413,12.8,19.7,4.7,2.0,4.5,15.7,7.8,3.8,0.138,3.0,1.7,
Sasha Pavlovic,25.0,66.0,1053.0,0.51,0.425,0.196,3.6,10.4,10.5,1.1,1.2,13.8,15.5,1.7,0.077,-1.8,0.0,
J.J. Hickson,20.0,62.0,705.0,0.548,0.0,0.345,9.1,18.4,2.1,1.1,3.4,16.8,18.0,1.5,0.101,-4.5,-0.4,
Darnell Jackson,23.0,51.0,430.0,0.483,0.023,0.407,9.2,14.7,2.7,1.3,0.7,12.1,12.7,0.8,0.094,-4.2,-0.2,
Joe Smith,33.0,21.0,411.0,0.534,0.026,0.243,10.8,17.8,6.2,0.9,2.7,7.3,15.8,1.4,0.168,-0.1,0.2,
Tarence Kinsey,24.0,50.0,277.0,0.595,0.261,0.551,4.5,11.6,5.5,2.3,0.0,20.4,18.3,0.6,0.105,-3.3,-0.1,
Lorenzen Wright,33.0,17.0,125.0,0.377,0.0,0.296,6.9,16.5,3.5,1.7,3.2,22.8,14.9,-0.1,-0.022,-6.4,-0.1,
Jawad Williams,25.0,10.0,20.0,0.5,0.5,0.0,6.2,5.7,0.0,2.7,0.0,7.7,30.7,0.0,0.045,-8.7,0.0,
Trey Johnson,24.0,4.0,14.0,0.296,0.0,0.8,0.0,8.2,0.0,0.0,0.0,12.9,26.2,-0.1,-0.205,-22.2,-0.1,
