Name,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,
Ben Wallace,29.0,81.0,3050.0,17.3,0.441,0.011,0.388,12.5,25.5,19.1,7.7,2.6,6.1,12.3,15.3,1.1,9.1,10.2,0.16,-1.6,6.8,5.1,5.5,
Richard Hamilton,25.0,78.0,2772.0,16.8,0.522,0.058,0.293,3.3,8.3,5.8,22.2,2.0,0.5,13.8,25.7,3.8,4.4,8.1,0.141,1.2,0.1,1.3,2.3,
Chauncey Billups,27.0,78.0,2758.0,18.6,0.55,0.336,0.462,1.5,10.0,5.8,29.3,1.7,0.2,13.6,23.5,7.1,4.2,11.3,0.198,3.9,-0.5,3.4,3.7,
Tayshaun Prince,23.0,82.0,2701.0,13.3,0.536,0.217,0.195,4.0,12.5,8.4,12.4,1.3,1.9,13.2,15.6,3.0,4.6,7.5,0.134,0.0,2.0,2.1,2.8,
Mehmet Okur,24.0,71.0,1580.0,18.3,0.538,0.089,0.386,11.9,18.8,15.4,8.2,1.2,3.0,13.7,21.7,2.6,3.3,5.9,0.179,0.0,1.3,1.3,1.3,
Corliss Williamson,30.0,79.0,1574.0,14.4,0.546,0.0,0.327,6.6,12.2,9.4,7.2,1.0,1.0,14.1,23.8,1.6,2.5,4.1,0.124,-1.6,-1.0,-2.6,-0.2,
Elden Campbell,35.0,65.0,892.0,13.8,0.49,0.0,0.395,6.8,20.1,13.6,9.3,1.3,4.3,14.6,22.6,0.1,2.0,2.1,0.115,-3.9,1.9,-1.9,0.0,
Chucky Atkins,29.0,40.0,751.0,10.1,0.49,0.553,0.183,0.9,6.4,3.7,21.9,1.4,0.1,15.9,18.8,0.3,1.0,1.2,0.079,-0.5,-2.1,-2.7,-0.1,
Bob Sura,30.0,53.0,707.0,13.0,0.489,0.208,0.399,5.0,11.8,8.4,21.2,2.9,1.0,16.1,16.0,0.6,1.4,2.0,0.137,-0.8,1.8,1.0,0.5,
Rasheed Wallace,29.0,22.0,673.0,18.8,0.495,0.246,0.192,5.6,20.8,13.3,11.5,1.9,5.1,8.7,23.2,0.7,1.7,2.4,0.171,0.3,3.3,3.6,0.9,
Lindsey Hunter,33.0,33.0,661.0,9.0,0.399,0.35,0.056,2.3,9.3,5.9,20.7,3.2,0.7,18.8,12.8,-0.4,1.3,0.9,0.067,-2.7,2.0,-0.7,0.2,
Mike James,28.0,26.0,512.0,14.3,0.512,0.374,0.218,1.8,11.1,6.6,32.0,2.8,0.1,20.3,18.4,0.4,1.0,1.4,0.13,0.1,0.1,0.2,0.3,
Darvin Ham,30.0,54.0,484.0,8.3,0.531,0.027,0.467,11.4,10.8,11.1,5.3,1.5,1.3,25.5,11.7,0.1,0.8,0.9,0.087,-2.9,1.3,-1.6,0.0,
Tremaine Fowlkes,27.0,36.0,261.0,6.5,0.393,0.167,0.375,8.1,15.3,11.7,8.4,1.9,0.9,17.7,12.2,-0.1,0.5,0.4,0.068,-4.3,1.7,-2.6,0.0,
Zeljko Rebraca,31.0,21.0,222.0,9.6,0.498,0.0,0.519,10.1,15.4,12.8,3.0,1.2,3.1,16.4,16.7,0.1,0.4,0.5,0.115,-4.2,0.6,-3.6,-0.1,
Darko Milicic,18.0,34.0,159.0,6.1,0.318,0.015,0.369,8.1,22.9,15.6,7.5,2.4,7.2,14.7,26.0,-0.6,0.5,-0.2,-0.049,-10.2,3.4,-6.8,-0.2,
Hubert Davis,33.0,3.0,23.0,-7.7,0.0,0.5,0.0,0.0,0.0,0.0,6.3,0.0,0.0,33.3,6.1,-0.1,0.0,-0.1,-0.11,-9.9,-1.8,-11.7,-0.1,
