Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,RBAdj,OoAdj,MinAdj,AdjWS/48
Draymond Green,25.0,81.0,2808.0,0.587,0.315,0.402,5.5,23.0,29.0,2.0,3.0,21.2,18.8,11.1,0.19,5.8,71.0,0.088,-1.3,3.5,-0.3,13.8,-0.048,1.4,-11.8,-0.0083,0.065,0.0294,0.2761
Stephen Curry,27.0,79.0,2700.0,0.669,0.554,0.25,2.9,13.6,33.7,3.0,0.4,12.9,32.6,17.9,0.318,12.5,68.0,0.085,0.1,2.5,0.2,13.8,-0.034,0.5,-8.4,0.0065,0.054,0.028,0.4065
Klay Thompson,25.0,80.0,2666.0,0.597,0.469,0.159,1.5,10.3,9.8,1.1,1.4,8.5,26.3,8.0,0.144,0.7,67.0,0.074,-5.3,-0.6,0.2,9.4,-0.025,0.0,-3.3,-0.0026,0.0202,0.0261,0.1877
Harrison Barnes,23.0,66.0,2042.0,0.559,0.338,0.212,4.3,12.4,7.8,1.0,0.4,7.6,15.9,4.9,0.116,-0.2,51.0,-0.006,-2.7,0.1,-1.3,-1.0,0.018,0.0,0.8,-0.004,-0.0289,0.0181,0.1012
Andre Iguodala,32.0,65.0,1732.0,0.565,0.418,0.226,3.4,12.4,16.3,2.0,0.8,16.3,12.1,4.4,0.122,1.6,44.0,-0.01,4.3,-2.8,-0.3,1.3,-0.014,2.1,-2.6,0.005,-0.0068,0.0065,0.1267
Shaun Livingston,30.0,78.0,1520.0,0.581,0.032,0.245,3.2,8.5,21.0,1.8,1.3,15.7,14.2,4.6,0.145,-0.5,38.0,-0.053,3.5,-2.0,-0.9,-5.1,-0.004,0.0,1.5,0.0099,-0.0451,-0.0142,0.0956
Andrew Bogut,31.0,70.0,1451.0,0.623,0.004,0.179,9.5,26.0,14.8,1.1,5.8,21.6,11.4,5.4,0.18,4.5,36.0,0.018,-3.4,2.5,1.0,-1.7,-0.022,-0.3,-6.4,-0.0239,5.0E-4,-0.011,0.1456
Leandro Barbosa,33.0,68.0,1079.0,0.545,0.297,0.168,3.0,8.4,10.6,2.0,0.7,11.8,18.1,2.1,0.092,-2.1,27.0,-0.063,3.4,1.3,-0.6,-7.4,0.03,0.5,3.4,0.0177,-0.0526,-0.0298,0.0273
Brandon Rush,30.0,72.0,1055.0,0.56,0.604,0.108,2.3,15.4,7.0,0.9,1.6,10.8,12.5,2.0,0.09,-1.3,27.0,-0.01,-4.3,-1.4,-0.2,-4.2,0.034,-2.5,10.2,-0.0049,-0.071,-0.0346,-0.0205
Marreese Speights,28.0,72.0,832.0,0.506,0.136,0.25,10.6,19.8,11.4,1.1,3.0,11.5,29.7,1.8,0.102,-3.9,21.0,-0.06,1.6,-3.3,-0.3,-7.0,0.015,-0.4,5.0,-0.0073,-0.0527,-0.0507,-0.0087
Festus Ezeli,26.0,46.0,770.0,0.559,0.0,0.579,13.5,21.9,5.8,1.1,4.8,11.7,18.2,2.7,0.171,-0.1,19.0,-0.011,4.2,2.4,1.7,-1.1,-0.011,0.8,-4.9,0.0048,-0.0125,-0.0301,0.1332
Ian Clark,24.0,66.0,578.0,0.544,0.416,0.168,2.6,9.7,15.3,1.4,1.7,16.5,19.5,0.9,0.075,-3.0,15.0,-0.039,-0.1,-2.7,1.3,-8.6,0.032,-2.0,10.7,0.0122,-0.0604,-0.0711,-0.0443
James Michael McAdoo,23.0,41.0,262.0,0.554,0.024,0.583,13.1,10.9,9.2,1.8,2.2,13.2,20.1,0.8,0.146,-1.1,7.0,-0.072,2.4,3.5,2.1,-14.1,0.081,-1.5,15.9,0.0188,-0.0459,-0.1034,0.0155
Anderson Varejao,33.0,22.0,186.0,0.477,0.0,0.604,8.0,20.2,10.5,1.3,2.0,9.0,15.5,0.5,0.12,-2.5,5.0,-0.044,3.1,-4.3,1.3,-6.7,0.054,-0.9,13.1,0.0189,-0.031,-0.0836,0.0243
Jason Thompson,29.0,28.0,179.0,0.535,0.0,0.762,6.4,25.0,13.9,1.1,3.3,11.1,15.2,0.6,0.169,-0.7,5.0,-0.06,-2.6,0.5,-0.9,-11.1,0.055,-3.5,14.6,0.0176,-0.0346,-0.1065,0.0455
Kevon Looney,19.0,5.0,21.0,0.643,0.286,0.0,21.8,29.1,0.0,0.0,0.0,12.5,16.5,0.1,0.192,-9.5,1.0,-0.142,12.6,-13.6,-4.1,-6.0,0.256,-3.3,49.8,0.0225,-0.0249,-0.1292,0.0604
