Yr,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TOV%,ORB%,AST%,BLK%,MPG,Pace,ORtg,2P%,3P%,eFG%,FT%,TS%,FT/FGA,3PAr
2018.0,86.1,21.7,43.5,23.2,7.7,4.8,14.3,19.9,13.01,22.3,0.5859,8.406,48.28,97.3,108.6,0.5096,0.362,0.521,0.767,0.5557,0.193,0.3368
2017.0,85.4,23.1,43.5,22.6,7.7,4.7,14.0,19.9,12.78,23.3,0.5795,8.048,48.32,96.4,108.8,0.5017,0.358,0.514,0.772,0.5525,0.209,0.3162
2016.0,84.6,23.4,43.8,22.3,7.8,5.0,14.4,20.3,13.17,23.8,0.5838,8.265,48.36,95.8,106.4,0.4909,0.354,0.502,0.757,0.5411,0.209,0.2849
2015.0,83.6,22.8,43.3,22.0,7.7,4.8,14.4,20.2,13.33,25.1,0.5867,7.843,48.4,93.9,105.6,0.4853,0.35,0.496,0.75,0.534,0.205,0.2679
2014.0,83.0,23.6,42.7,22.0,7.7,4.7,14.6,20.7,13.52,25.5,0.5836,7.642,48.4,93.9,106.6,0.4878,0.36,0.501,0.756,0.5408,0.215,0.259
2013.0,82.0,22.2,42.1,22.1,7.8,5.1,14.6,19.8,13.73,26.5,0.5957,8.226,48.38,92.0,105.8,0.4823,0.359,0.496,0.753,0.5345,0.204,0.2439
2012.0,81.4,22.5,42.2,21.0,7.7,5.1,14.6,19.6,13.79,27.0,0.5753,8.095,48.38,91.3,104.6,0.4778,0.349,0.487,0.752,0.5274,0.208,0.226
2011.0,81.2,24.4,41.4,21.5,7.3,4.9,14.3,20.7,13.46,26.4,0.578,7.753,48.38,92.1,107.3,0.4858,0.358,0.498,0.763,0.5417,0.229,0.2217
2010.0,81.7,24.5,41.7,21.2,7.2,4.9,14.2,20.9,13.31,26.3,0.5623,7.704,48.34,92.7,107.6,0.4921,0.355,0.501,0.759,0.5428,0.228,0.2215
2009.0,80.9,24.7,41.3,21.0,7.3,4.8,14.0,21.0,13.24,26.7,0.566,7.643,48.34,91.7,108.3,0.4857,0.367,0.5,0.771,0.5449,0.236,0.2237
2008.0,81.5,24.9,42.0,21.8,7.3,4.7,14.1,21.0,13.23,26.7,0.5845,7.413,48.3,92.4,107.5,0.4842,0.362,0.497,0.755,0.5403,0.231,0.2221
2007.0,79.7,26.1,41.1,21.3,7.2,4.6,15.1,22.2,14.21,27.1,0.5836,7.324,48.44,91.9,106.5,0.4841,0.358,0.496,0.752,0.5412,0.246,0.212
2006.0,79.0,26.3,41.0,20.6,7.2,4.7,14.4,22.8,13.72,27.3,0.5754,7.46,48.42,90.5,106.2,0.4778,0.358,0.49,0.745,0.5355,0.248,0.2025
2005.0,80.3,26.1,41.9,21.3,7.5,4.9,14.5,22.6,13.64,28.7,0.5933,7.597,48.38,90.9,106.1,0.4698,0.356,0.482,0.756,0.5295,0.245,0.1968
2004.0,79.8,24.2,42.2,21.3,7.9,5.1,15.0,21.4,14.22,28.6,0.6086,7.858,48.34,90.1,102.9,0.4592,0.347,0.471,0.752,0.5163,0.228,0.1867
2003.0,80.8,24.4,42.3,21.5,7.9,5.0,14.9,21.8,14.0,28.5,0.6022,7.564,48.4,91.0,103.6,0.4629,0.349,0.474,0.758,0.5195,0.229,0.1819
2002.0,81.3,23.8,42.4,21.9,7.8,5.2,14.5,21.2,13.64,28.9,0.605,7.808,48.34,90.7,104.5,0.4655,0.354,0.477,0.752,0.5203,0.221,0.1808
2001.0,80.6,24.9,42.5,21.8,7.8,5.3,15.0,22.3,14.08,28.2,0.6106,7.923,48.4,91.3,103.0,0.4619,0.354,0.473,0.748,0.5177,0.231,0.17
2000.0,82.1,25.3,42.9,22.3,7.9,5.2,15.5,23.3,14.26,28.9,0.606,7.603,48.3,93.1,104.1,0.4678,0.353,0.478,0.75,0.5229,0.231,0.1669
1999.0,78.2,25.8,41.7,20.7,8.4,5.0,15.3,22.2,14.59,30.2,0.6053,7.692,48.36,88.9,102.2,0.4569,0.339,0.466,0.728,0.5114,0.24,0.1688
1998.0,79.7,26.3,41.5,22.0,8.4,5.1,15.5,22.4,14.52,31.4,0.6128,7.612,48.38,90.3,105.0,0.4701,0.346,0.478,0.737,0.5237,0.243,0.1593
1997.0,79.3,25.3,41.1,22.0,8.2,4.9,15.7,22.1,14.79,30.8,0.6094,7.84,48.38,90.1,106.7,0.4816,0.36,0.493,0.738,0.5358,0.236,0.2119
1996.0,80.2,26.4,41.3,22.7,8.0,5.1,15.8,23.0,14.68,30.6,0.6135,7.944,48.32,91.8,107.6,0.4844,0.367,0.499,0.74,0.5418,0.243,0.1995
1995.0,81.5,27.1,41.6,23.4,8.3,5.2,15.9,23.5,14.54,31.4,0.6158,7.855,48.38,92.9,108.3,0.4909,0.359,0.5,0.737,0.5427,0.245,0.1877
1994.0,84.4,26.6,43.0,24.4,8.9,5.2,16.0,22.2,14.27,32.2,0.6209,6.98,48.22,95.1,106.3,0.4832,0.333,0.485,0.734,0.5281,0.232,0.1173
1993.0,86.0,27.7,43.1,24.7,8.6,5.2,15.9,23.2,13.94,32.0,0.6069,6.754,48.34,96.8,108.0,0.4896,0.336,0.491,0.754,0.5362,0.243,0.1047
1992.0,87.3,26.7,43.7,24.5,8.6,5.5,15.6,22.2,13.61,32.9,0.5932,6.901,48.36,96.6,108.2,0.4868,0.331,0.487,0.759,0.5316,0.232,0.0871
1991.0,87.2,27.9,43.3,24.7,8.6,5.3,16.0,23.2,13.86,32.3,0.5966,6.617,48.36,97.8,107.9,0.4881,0.32,0.487,0.765,0.5343,0.245,0.0814
1990.0,87.2,28.5,43.1,24.9,8.5,5.1,16.1,23.3,13.9,32.1,0.6,6.328,48.3,98.3,108.1,0.4876,0.331,0.489,0.764,0.5364,0.25,0.0757
1989.0,89.0,28.8,43.9,25.6,9.1,5.3,17.2,23.7,14.47,33.0,0.6024,6.432,48.3,100.6,107.8,0.4903,0.323,0.489,0.768,0.537,0.249,0.0742
1988.0,87.7,29.1,43.4,25.8,8.5,5.4,16.7,24.1,14.25,32.8,0.6128,6.53,48.26,99.6,108.0,0.4897,0.316,0.489,0.766,0.5383,0.254,0.057
1987.0,88.8,30.5,44.0,26.0,8.6,5.5,17.0,24.5,14.26,33.4,0.6103,6.54,48.32,100.8,108.3,0.4899,0.301,0.488,0.763,0.5376,0.262,0.0529
1986.0,88.6,30.3,43.6,26.0,8.8,5.3,17.8,25.2,14.87,32.4,0.6019,6.213,48.32,102.1,107.2,0.4959,0.282,0.493,0.756,0.5406,0.258,0.0372
1985.0,89.1,29.4,43.5,26.3,8.5,5.3,17.9,24.9,14.92,32.9,0.6005,6.163,48.28,102.1,107.9,0.4988,0.282,0.496,0.764,0.5429,0.252,0.0348
1984.0,88.4,29.7,43.0,26.2,8.5,5.3,17.9,25.8,15.0,33.0,0.6023,6.162,48.4,101.4,107.6,0.4988,0.25,0.495,0.76,0.5425,0.255,0.0271
1983.0,89.7,28.3,44.5,25.9,8.9,5.6,19.1,25.6,15.75,33.4,0.5954,6.407,48.26,103.1,104.7,0.492,0.238,0.488,0.74,0.5311,0.233,0.0256
1982.0,88.2,28.6,43.5,25.2,8.5,5.4,17.7,26.2,14.94,33.0,0.582,6.287,48.32,100.9,106.9,0.4971,0.262,0.495,0.746,0.5388,0.241,0.0261
1981.0,88.4,28.9,43.5,25.5,9.0,5.3,18.7,25.1,15.61,33.5,0.593,6.134,48.28,101.8,105.5,0.4919,0.245,0.489,0.751,0.5345,0.245,0.0226
1980.0,90.6,27.8,44.9,25.8,9.4,5.3,18.9,24.4,15.53,33.5,0.5917,6.036,48.36,103.1,105.3,0.4875,0.28,0.486,0.764,0.5314,0.235,0.0309
1979.0,91.7,28.3,45.2,25.8,9.1,5.4,19.8,25.3,15.97,32.8,0.5798,5.889,48.22,105.8,103.8,0.4853,0.0,0.485,0.752,0.5295,0.232,0.0
1978.0,92.9,28.4,47.1,25.0,9.6,5.1,20.1,25.2,16.02,31.8,0.5734,5.49,48.36,106.7,100.9,0.4693,0.0,0.469,0.752,0.5147,0.23,0.0
1977.0,92.0,27.7,47.1,23.9,9.4,5.1,20.6,25.2,16.51,31.8,0.5584,5.543,48.2,106.5,99.5,0.4652,0.0,0.465,0.751,0.5111,0.226,0.0
1976.0,91.7,26.9,47.4,23.0,8.9,4.4,19.8,24.8,16.05,30.3,0.5463,4.798,48.28,105.5,98.3,0.4591,0.0,0.458,0.751,0.5037,0.221,0.0
1975.0,91.1,25.2,47.1,23.8,8.8,4.3,19.8,24.3,16.23,30.2,0.5707,4.72,48.28,104.5,97.7,0.4577,0.0,0.457,0.765,0.502,0.211,0.0
1974.0,93.9,25.4,48.2,24.6,8.7,4.7,20.8,23.8,16.52,30.5,0.5708,5.005,48.2,107.8,97.7,0.459,0.0,0.459,0.771,0.503,0.209,0.0
