Yr,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TOV%,ORB%,AST%,BLK%,TO/POS,MPG,TSAPG,PossPG,Pace,PTS,ORtg,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr
118,86.1,21.7,43.5,23.2,7.7,4.8,14.3,19.9,13.01,22.3,0.5859,8.406,0.1461,48.28,95.65,97.87,97.3,106.3,108.6,0.5096,0.362,0.521,0.767,0.5557,0.193,0.3368
117,85.4,23.1,43.5,22.6,7.7,4.7,14,19.9,12.78,23.3,0.5795,8.048,0.1465,48.32,95.56,95.56,96.4,105.6,108.8,0.5017,0.358,0.514,0.772,0.5525,0.209,0.3162
116,84.6,23.4,43.8,22.3,7.8,5,14.4,20.3,13.17,23.8,0.5838,8.265,0.1517,48.36,94.9,94.9,95.8,102.7,106.4,0.4909,0.354,0.502,0.757,0.5411,0.209,0.2849
115,83.6,22.8,43.3,22,7.7,4.8,14.4,20.2,13.33,25.1,0.5867,7.843,0.1538,48.4,93.63,93.63,93.9,100,105.6,0.4853,0.35,0.496,0.75,0.534,0.205,0.2679
114,83,23.6,42.7,22,7.7,4.7,14.6,20.7,13.52,25.5,0.5836,7.642,0.1564,48.4,93.38,93.38,93.9,101,106.6,0.4878,0.36,0.501,0.756,0.5408,0.215,0.259
113,82,22.2,42.1,22.1,7.8,5.1,14.6,19.8,13.73,26.5,0.5957,8.226,0.1591,48.38,91.77,91.77,92,98.1,105.8,0.4823,0.359,0.496,0.753,0.5345,0.204,0.2439
112,81.4,22.5,42.2,21,7.7,5.1,14.6,19.6,13.79,27,0.5753,8.095,0.1599,48.38,91.3,91.3,91.3,96.3,104.6,0.4778,0.349,0.487,0.752,0.5274,0.208,0.226
111,81.2,24.4,41.4,21.5,7.3,4.9,14.3,20.7,13.46,26.4,0.578,7.753,0.1555,48.38,91.94,91.94,92.1,99.6,107.3,0.4858,0.358,0.498,0.763,0.5417,0.229,0.2217
110,81.7,24.5,41.7,21.2,7.2,4.9,14.2,20.9,13.31,26.3,0.5623,7.704,0.1535,48.34,92.48,92.48,92.7,100.4,107.6,0.4921,0.355,0.501,0.759,0.5428,0.228,0.2215
109,80.9,24.7,41.3,21,7.3,4.8,14,21,13.24,26.7,0.566,7.643,0.1526,48.34,91.77,91.77,91.7,100,108.3,0.4857,0.367,0.5,0.771,0.5449,0.236,0.2237
108,81.5,24.9,42,21.8,7.3,4.7,14.1,21,13.23,26.7,0.5845,7.413,0.1525,48.3,92.46,92.46,92.4,99.9,107.5,0.4842,0.362,0.497,0.755,0.5403,0.231,0.2221
107,79.7,26.1,41.1,21.3,7.2,4.6,15.1,22.2,14.21,27.1,0.5836,7.324,0.1656,48.44,91.18,91.18,91.9,98.7,106.5,0.4841,0.358,0.496,0.752,0.5412,0.246,0.212
106,79,26.3,41,20.6,7.2,4.7,14.4,22.8,13.72,27.3,0.5754,7.46,0.159,48.42,90.57,90.57,90.5,97,106.2,0.4778,0.358,0.49,0.745,0.5355,0.248,0.2025
105,80.3,26.1,41.9,21.3,7.5,4.9,14.5,22.6,13.64,28.7,0.5933,7.597,0.158,48.38,91.78,91.78,90.9,97.2,106.1,0.4698,0.356,0.482,0.756,0.5295,0.245,0.1968
104,79.8,24.2,42.2,21.3,7.9,5.1,15,21.4,14.22,28.6,0.6086,7.858,0.1658,48.34,90.45,90.45,90.1,93.4,102.9,0.4592,0.347,0.471,0.752,0.5163,0.228,0.1867
103,80.8,24.4,42.3,21.5,7.9,5,14.9,21.8,14,28.5,0.6022,7.564,0.1628,48.4,91.54,91.54,91,95.1,103.6,0.4629,0.349,0.474,0.758,0.5195,0.229,0.1819
102,81.3,23.8,42.4,21.9,7.8,5.2,14.5,21.2,13.64,28.9,0.605,7.808,0.158,48.34,91.77,91.77,90.7,95.5,104.5,0.4655,0.354,0.477,0.752,0.5203,0.221,0.1808
101,80.6,24.9,42.5,21.8,7.8,5.3,15,22.3,14.08,28.2,0.6106,7.923,0.1638,48.4,91.56,91.56,91.3,94.8,103,0.4619,0.354,0.473,0.748,0.5177,0.231,0.17
100,82.1,25.3,42.9,22.3,7.9,5.2,15.5,23.3,14.26,28.9,0.606,7.603,0.1663,48.3,93.23,93.23,93.1,97.5,104.1,0.4678,0.353,0.478,0.75,0.5229,0.231,0.1669
99,78.2,25.8,41.7,20.7,8.4,5,15.3,22.2,14.59,30.2,0.6053,7.692,0.1709,48.36,89.55,89.55,88.9,91.6,102.2,0.4569,0.339,0.466,0.728,0.5114,0.24,0.1688
98,79.7,26.3,41.5,22,8.4,5.1,15.5,22.4,14.52,31.4,0.6128,7.612,0.1698,48.38,91.27,91.27,90.3,95.6,105,0.4701,0.346,0.478,0.737,0.5237,0.243,0.1593
97,79.3,25.3,41.1,22,8.2,4.9,15.7,22.1,14.79,30.8,0.6094,7.84,0.1736,48.38,90.43,90.43,90.1,96.9,106.7,0.4816,0.36,0.493,0.738,0.5358,0.236,0.2119
96,80.2,26.4,41.3,22.7,8,5.1,15.8,23,14.68,30.6,0.6135,7.944,0.1721,48.32,91.82,91.82,91.8,99.5,107.6,0.4844,0.367,0.499,0.74,0.5418,0.243,0.1995
95,81.5,27.1,41.6,23.4,8.3,5.2,15.9,23.5,14.54,31.4,0.6158,7.855,0.1702,48.38,93.42,93.42,92.9,101.4,108.3,0.4909,0.359,0.5,0.737,0.5427,0.245,0.1877
94,84.4,26.6,43,24.4,8.9,5.2,16,22.2,14.27,32.2,0.6209,6.98,0.1665,48.22,96.1,96.1,95.1,101.5,106.3,0.4832,0.333,0.485,0.734,0.5281,0.232,0.1173
