Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Joe Johnson,26.0,82.0,3343.0,0.535,0.297,0.253,2.9,9.9,25.5,1.3,0.4,11.8,25.6,7.0,0.1,1.1,84.0,0.031,0.6,2.7,-2.0,5.8,-0.011,-0.5,-1.9,0.0441,0.0313,0.0156,0.191,13.302
Josh Smith,22.0,81.0,2873.0,0.52,0.087,0.414,6.6,20.4,16.6,2.3,5.9,15.5,25.0,5.8,0.097,3.1,72.0,0.013,-2.7,2.4,1.2,-1.8,-0.014,1.6,-7.2,0.0733,0.0195,-0.0108,0.179,10.714
Marvin Williams,21.0,80.0,2765.0,0.54,0.011,0.446,5.0,14.2,8.3,1.5,0.9,10.4,20.1,5.7,0.099,-1.6,70.0,0.008,-4.8,0.0,-1.6,-0.6,0.009,-0.9,2.2,-0.0456,0.0173,-0.0097,0.061,3.514
Al Horford,21.0,81.0,2540.0,0.539,0.007,0.317,11.4,24.5,7.9,1.2,2.2,15.3,16.0,5.5,0.103,-0.2,64.0,0.007,-1.1,1.0,-0.6,-1.1,0.012,1.0,0.7,-0.0312,0.0097,-0.0274,0.0541,2.863
Josh Childress,24.0,76.0,2274.0,0.647,0.105,0.48,9.0,10.2,8.5,1.6,1.4,12.4,15.8,7.6,0.16,2.4,57.0,-0.019,5.1,-2.1,1.0,1.8,0.003,-1.6,3.4,-0.0443,0.0053,7.0E-4,0.1217,5.766
Anthony Johnson,33.0,42.0,1121.0,0.503,0.236,0.12,1.8,8.4,27.9,2.0,0.5,15.1,13.4,1.8,0.077,-2.3,28.0,-0.026,-3.3,1.4,-0.4,-6.0,-0.024,2.7,-7.6,0.0266,-0.0098,0.0113,0.1051,2.455
Mike Bibby,29.0,33.0,1100.0,0.526,0.455,0.168,0.5,10.4,32.9,1.7,0.1,15.5,21.5,1.7,0.076,-0.8,28.0,0.054,0.1,1.3,-1.0,7.6,0.022,-2.8,5.8,-0.0152,0.0045,0.0154,0.0807,1.849
Zaza Pachulia,23.0,62.0,944.0,0.515,0.012,0.624,11.0,19.5,6.0,1.3,1.0,18.1,18.3,1.1,0.054,-4.8,24.0,0.015,0.9,2.5,2.0,0.4,0.015,-0.1,-0.4,-0.0016,-0.0452,-0.0025,0.0047,0.092
Acie Law,23.0,56.0,865.0,0.455,0.143,0.203,1.6,6.0,20.4,1.8,0.0,17.8,16.5,-0.1,-0.007,-6.7,22.0,-0.033,0.6,-3.9,1.0,-5.0,0.007,0.7,1.6,-0.0566,-0.0453,0.0121,-0.0968,-1.744
Tyronn Lue,30.0,33.0,564.0,0.542,0.352,0.143,1.9,6.6,17.5,1.0,0.0,9.6,18.5,1.0,0.081,-3.7,14.0,0.007,0.9,-2.4,-0.9,3.5,-0.005,0.6,0.3,0.0018,-0.0438,0.0175,0.0565,0.664
Shelden Williams,24.0,36.0,414.0,0.445,0.01,0.51,9.6,20.5,4.0,1.7,2.0,10.3,14.9,0.5,0.06,-5.1,10.0,-0.033,3.0,-2.7,1.3,-1.2,-0.016,2.0,-2.8,-7.0E-4,-0.0694,0.0117,0.0016,0.014
Salim Stoudamire,25.0,35.0,402.0,0.495,0.472,0.278,1.2,5.8,11.9,0.9,0.9,9.4,25.2,0.3,0.031,-6.2,10.0,-0.017,1.7,-2.3,0.6,0.1,-0.001,-0.7,3.8,-0.0238,-0.0697,0.0196,-0.0429,-0.359
Mario West,23.0,64.0,269.0,0.488,0.082,0.531,11.3,9.5,7.2,2.4,1.1,13.0,11.7,0.5,0.082,-1.9,7.0,-0.003,7.2,-0.7,-0.4,6.4,-0.001,-0.1,2.1,-3.0E-4,-0.1269,0.0182,-0.027,-0.151
Lorenzen Wright,32.0,13.0,148.0,0.331,0.0,0.353,5.5,23.5,2.8,1.1,1.5,9.2,6.6,0.1,0.028,-6.1,4.0,-0.07,-10.7,-1.0,-0.4,-17.3,-0.091,1.5,-16.1,-0.0041,-0.0794,0.0183,-0.0372,-0.115
Solomon Jones,23.0,35.0,145.0,0.451,0.067,0.667,15.3,18.4,0.0,1.1,2.6,22.1,15.6,0.0,0.0,-11.5,4.0,-0.065,8.0,-1.6,-1.0,-3.2,0.008,-5.5,11.7,-0.0325,-0.132,0.0186,-0.1459,-0.441
Jeremy Richardson,23.0,19.0,88.0,0.5,0.387,0.0,1.3,7.9,0.0,1.2,0.0,13.9,18.6,-0.1,-0.037,-11.0,2.0,0.02,-4.2,0.4,1.3,-2.7,0.038,-0.7,9.8,-0.0163,-0.1342,0.0216,-0.1659,-0.304
