Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Paul Pierce,30.0,80.0,2874.0,0.599,0.332,0.442,2.3,14.0,21.8,1.9,1.0,14.4,24.8,12.4,0.207,4.7,73.0,0.025,0.5,2.5,-2.9,9.2,0.01,-0.2,-0.6,0.0476,0.0282,0.0097,0.2925,17.513
Ray Allen,32.0,73.0,2624.0,0.584,0.458,0.24,3.6,8.3,14.6,1.3,0.5,10.4,21.6,9.7,0.177,3.1,66.0,0.047,-2.1,0.2,-2.7,7.9,0.017,-2.3,4.6,-0.0128,0.0273,0.0057,0.1972,10.78
Kevin Garnett,31.0,71.0,2328.0,0.588,0.011,0.339,7.3,25.1,19.9,2.3,3.1,10.8,25.5,12.9,0.265,7.4,59.0,0.044,-1.7,3.9,-2.9,7.7,-0.018,-1.6,-4.1,0.0872,0.0195,-0.0159,0.3558,17.256
Rajon Rondo,21.0,77.0,2306.0,0.515,0.027,0.245,4.3,11.9,28.2,3.0,0.5,15.7,18.9,7.2,0.15,2.6,58.0,0.036,-0.8,3.4,-2.1,5.8,0.009,-1.1,-0.6,0.0343,0.0133,0.006,0.2036,9.781
Kendrick Perkins,23.0,78.0,1912.0,0.632,0.003,0.526,9.6,19.3,6.8,0.9,4.9,22.6,13.5,6.2,0.156,2.6,48.0,0.037,-1.6,1.7,-2.1,4.1,0.005,-0.5,-1.9,0.0381,-0.0017,-0.0181,0.1743,6.943
James Posey,31.0,74.0,1821.0,0.587,0.674,0.278,2.1,18.0,9.5,2.1,0.9,12.3,13.5,6.2,0.164,2.9,46.0,-0.039,-1.3,-1.5,2.2,-7.9,0.014,0.6,3.2,-0.1232,-0.002,-0.0098,0.029,1.1
Eddie House,29.0,78.0,1480.0,0.534,0.561,0.068,1.6,11.2,16.9,2.1,0.6,12.2,19.6,3.9,0.127,0.8,37.0,-0.013,-0.5,-1.6,2.2,-4.2,-0.007,1.0,0.0,-0.0529,-0.0201,0.0027,0.0567,1.748
Tony Allen,26.0,75.0,1373.0,0.527,0.147,0.465,3.1,11.0,13.1,2.4,1.3,18.9,19.6,2.7,0.093,-1.4,35.0,-0.028,0.6,-1.4,2.6,-5.6,-0.013,2.0,-3.0,-0.0283,-0.0229,0.0042,0.046,1.316
Glen Davis,22.0,69.0,940.0,0.545,0.0,0.679,12.8,13.5,4.6,1.7,1.7,18.5,17.4,2.5,0.128,-1.6,24.0,-0.033,2.8,-1.2,2.7,-5.6,-0.008,1.1,-1.3,-0.0411,-0.0439,-3.0E-4,0.0427,0.836
Leon Powe,24.0,56.0,809.0,0.629,0.004,0.717,14.9,18.3,3.3,1.0,1.6,10.8,22.8,4.3,0.256,-0.9,20.0,-0.036,4.4,-2.1,1.8,-3.6,0.003,1.9,1.4,-0.046,-0.042,1.0E-4,0.1681,2.833
Brian Scalabrine,29.0,48.0,512.0,0.428,0.489,0.213,5.4,12.5,11.2,0.9,1.3,20.2,11.7,0.6,0.057,-2.4,13.0,-0.015,0.2,-3.0,3.3,-6.3,-0.023,0.5,-0.4,-0.037,-0.064,0.0128,-0.0312,-0.333
Sam Cassell,38.0,17.0,299.0,0.461,0.169,0.192,2.1,9.8,19.9,1.6,0.8,11.9,24.9,0.4,0.061,-4.0,8.0,-0.084,-0.5,-1.6,-2.3,-8.9,-0.01,-0.7,1.5,-0.0329,-0.041,0.0212,0.0083,0.052
P.J. Brown,38.0,18.0,209.0,0.406,0.024,0.39,17.6,21.0,6.9,1.3,3.1,17.2,12.9,0.5,0.116,-0.5,5.0,-0.085,7.1,-5.6,1.7,-11.4,-0.006,1.0,2.1,-0.0312,-0.0674,0.0192,0.0366,0.159
Scot Pollard,32.0,22.0,173.0,0.597,0.0,0.957,10.2,14.9,2.5,0.9,2.9,13.3,10.1,0.6,0.171,-1.0,4.0,-0.004,-4.5,-3.8,1.3,-0.5,-0.014,-1.9,3.0,-0.0235,-0.0931,0.0198,0.0742,0.267
Gabe Pruitt,21.0,15.0,95.0,0.401,0.308,0.051,1.3,8.3,22.5,2.8,0.0,11.1,22.0,0.1,0.028,-4.8,2.0,-0.036,8.9,-9.2,4.9,-6.6,0.044,0.6,12.6,-0.0274,-0.1162,0.0236,-0.092,-0.182
