Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Jason Richardson,27.0,82.0,3149.0,0.554,0.408,0.225,2.9,13.3,15.2,1.9,1.4,9.3,25.9,7.4,0.113,2.8,79.0,0.033,-2.8,-2.9,-0.5,4.2,0.018,0.2,0.4,0.0104,0.0269,5.0E-4,0.1508,9.893
Raymond Felton,23.0,79.0,2972.0,0.5,0.201,0.326,1.4,7.7,32.4,1.7,0.3,15.7,20.8,3.4,0.054,-2.1,75.0,0.019,-4.1,1.9,-1.2,2.3,0.004,-0.1,-1.9,0.0266,0.0248,0.011,0.1164,7.207
Emeka Okafor,25.0,82.0,2718.0,0.553,0.0,0.435,10.7,26.4,4.5,1.2,3.9,13.8,20.0,5.8,0.103,-1.3,68.0,0.024,-3.8,0.1,0.3,-0.3,0.012,-0.3,-0.9,-0.0067,0.0148,-0.0308,0.0803,4.547
Gerald Wallace,25.0,62.0,2376.0,0.547,0.243,0.471,2.8,15.3,15.9,2.9,1.9,14.1,24.6,4.6,0.094,2.3,60.0,0.015,-4.9,-1.6,0.4,0.2,-0.01,2.9,-4.9,0.0557,0.0236,-0.0094,0.1639,8.113
Matt Carroll,27.0,80.0,2016.0,0.554,0.409,0.234,1.9,11.1,5.8,1.2,0.7,8.2,16.1,3.0,0.071,-2.2,51.0,0.006,1.3,1.4,-1.0,4.4,-0.019,-1.3,0.5,0.0244,-0.0065,0.0104,0.0993,4.171
Nazr Mohammed,30.0,61.0,1422.0,0.54,0.0,0.284,13.3,20.8,8.1,1.4,2.8,14.6,19.9,2.8,0.096,-0.7,36.0,-0.011,-0.2,0.9,-0.1,-3.6,0.008,-3.0,4.5,-0.1125,-0.0151,-0.0154,-0.047,-1.392
Jeff McInnis,33.0,54.0,1410.0,0.461,0.076,0.12,1.3,6.6,23.4,0.9,0.2,22.5,11.0,0.1,0.002,-6.1,35.0,0.006,-3.2,-2.4,0.2,-2.4,0.025,2.7,1.9,-0.0621,-0.0081,0.0072,-0.061,-1.792
Jared Dudley,22.0,73.0,1384.0,0.528,0.118,0.339,10.0,13.8,9.3,2.1,0.5,11.1,14.9,2.9,0.1,-0.3,35.0,-0.014,6.4,2.1,-1.0,3.6,-0.015,-2.0,-0.4,0.0244,-0.0279,0.0082,0.1047,3.019
Earl Boykins,31.0,36.0,577.0,0.467,0.256,0.343,1.8,5.0,26.0,1.2,0.0,17.2,19.0,0.0,0.001,-7.1,15.0,-0.01,2.2,0.6,-0.1,1.4,0.016,-1.3,3.9,-0.0347,-0.0466,0.0228,-0.0575,-0.691
Ryan Hollins,23.0,60.0,532.0,0.565,0.0,0.872,11.4,11.7,4.0,1.0,4.3,16.1,13.3,1.1,0.096,-2.2,13.0,-0.008,12.6,-1.0,3.4,2.4,-0.025,0.9,-0.2,-0.0052,-0.0822,0.0199,0.0285,0.316
Derek Anderson,33.0,28.0,396.0,0.497,0.416,0.304,2.6,12.6,17.8,1.6,0.2,15.0,19.3,0.3,0.032,-3.7,10.0,-0.07,2.2,-1.9,0.7,-10.7,-0.004,1.9,-1.0,-0.0397,-0.0574,0.0197,-0.0454,-0.375
Jermareo Davidson,23.0,38.0,322.0,0.437,0.0,0.224,7.5,14.7,6.9,1.1,3.5,11.0,21.9,-0.1,-0.012,-7.0,8.0,-0.049,-0.1,-2.9,-0.9,-5.6,-0.008,-0.1,1.6,-0.0358,-0.0898,0.0164,-0.1212,-0.813
Primoz Brezec,28.0,20.0,267.0,0.409,0.0,0.116,6.0,13.0,3.3,0.0,0.9,24.9,10.3,-0.3,-0.054,-8.2,7.0,-0.024,0.5,3.3,2.2,-7.3,0.024,1.0,0.7,-0.0297,-0.0645,0.0217,-0.1265,-0.704
Walter Herrmann,28.0,17.0,174.0,0.49,0.4,0.154,6.6,17.3,3.8,1.2,0.0,5.4,19.3,0.2,0.061,-5.8,4.0,-0.023,3.9,0.7,0.6,-4.7,-0.012,-0.8,3.1,-0.0248,-0.0834,0.0225,-0.0247,-0.09
Othella Harrington,34.0,22.0,166.0,0.469,0.0,0.381,7.6,21.6,3.8,0.3,1.8,18.3,16.6,0.0,-0.01,-9.0,4.0,-0.003,3.0,4.8,1.0,-1.7,-0.058,1.7,-12.5,-0.0016,-0.1036,0.0221,-0.0931,-0.322
