Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Kirk Hinrich,27.0,75.0,2380.0,0.501,0.301,0.178,1.3,10.6,30.9,1.9,0.6,15.4,18.9,3.6,0.072,-0.8,60.0,0.0,1.8,1.2,-0.5,0.0,0.006,0.5,-0.2,0.0074,0.0192,0.0129,0.1115,5.529
Ben Gordon,24.0,72.0,2291.0,0.558,0.324,0.274,1.9,9.2,16.9,1.2,0.3,11.1,26.0,5.1,0.106,-0.1,58.0,-0.022,1.5,-3.7,-1.9,0.9,0.009,-3.3,7.8,-0.1008,0.019,0.0045,0.0287,1.37
Luol Deng,22.0,63.0,2128.0,0.528,0.025,0.296,7.0,14.2,13.2,1.4,1.1,10.6,23.6,4.4,0.098,0.1,54.0,0.004,2.6,-2.7,-0.9,4.5,0.019,-1.4,6.1,-0.0388,0.0223,-0.0042,0.0773,3.427
Andres Nocioni,28.0,82.0,2021.0,0.549,0.395,0.277,2.6,17.0,8.3,0.6,1.7,11.9,24.5,3.3,0.077,-2.4,51.0,0.026,-4.4,0.1,-0.6,2.8,-0.001,-1.2,2.1,7.0E-4,8.0E-4,-0.0144,0.0641,2.699
Ben Wallace,33.0,50.0,1627.0,0.391,0.015,0.461,11.7,19.1,8.2,2.2,3.8,13.1,10.2,2.4,0.072,2.1,41.0,-0.024,2.2,2.4,-0.3,-3.2,0.008,-0.2,-1.2,-0.0068,0.0167,-0.0043,0.0776,2.63
Joakim Noah,22.0,74.0,1534.0,0.539,0.003,0.529,12.4,18.4,8.6,2.3,3.3,16.4,15.6,3.8,0.12,1.6,39.0,-0.003,2.3,-0.9,1.2,0.5,-0.025,1.1,-4.6,0.0758,-0.0127,-0.0156,0.1675,5.353
Chris Duhon,25.0,66.0,1490.0,0.508,0.451,0.233,1.4,7.6,26.5,1.7,0.1,15.8,13.4,2.3,0.075,-2.9,38.0,0.002,-1.4,0.2,0.8,-0.3,-0.01,0.3,-2.4,0.0342,-0.0078,0.0103,0.1117,3.467
Thabo Sefolosha,23.0,69.0,1436.0,0.497,0.209,0.247,3.8,16.7,14.3,2.2,1.6,16.6,17.3,1.5,0.05,-1.3,36.0,0.017,-2.9,2.3,1.6,-2.8,-0.007,2.2,-4.3,0.0374,-0.0132,-0.0033,0.0709,2.121
Tyrus Thomas,21.0,74.0,1330.0,0.486,0.014,0.395,8.4,21.1,11.0,1.9,4.2,13.0,19.7,2.4,0.088,-0.7,34.0,0.008,0.3,2.6,1.4,-0.2,0.004,1.8,-3.8,0.0545,-0.0227,-0.0092,0.1106,3.065
Joe Smith,32.0,50.0,1146.0,0.515,0.002,0.28,10.3,16.0,7.4,1.1,2.1,8.3,22.8,2.6,0.109,-2.0,29.0,-0.031,0.1,0.2,-1.7,-3.7,-0.007,0.3,-2.8,0.0079,-0.0097,-0.0013,0.1059,2.528
Larry Hughes,29.0,28.0,810.0,0.469,0.211,0.248,1.6,10.8,17.9,2.5,0.6,10.9,22.0,0.7,0.043,-1.9,20.0,0.021,-4.1,-1.0,-1.4,4.3,0.029,-0.3,5.7,-0.0125,0.001,0.013,0.0445,0.751
Aaron Gray,23.0,61.0,613.0,0.529,0.005,0.485,12.5,18.7,11.4,1.8,2.0,18.7,22.0,0.8,0.066,-2.0,15.0,0.025,1.8,1.7,1.5,1.8,-0.005,-1.1,-1.0,0.0199,-0.0642,0.0062,0.0279,0.356
Drew Gooden,26.0,18.0,558.0,0.514,0.014,0.295,11.3,22.8,9.7,1.2,3.2,11.2,21.9,1.3,0.114,0.0,14.0,0.005,0.1,-1.8,-0.5,1.4,0.011,-0.6,5.0,-0.0102,9.0E-4,0.0114,0.1161,1.35
Adrian Griffin,33.0,22.0,222.0,0.404,0.0,0.117,9.3,9.5,15.3,2.8,0.4,20.2,15.8,0.0,-0.009,-3.4,6.0,0.008,0.0,-4.5,1.8,-0.4,-0.043,4.6,-7.3,0.0176,-0.0733,0.0195,-0.0452,-0.209
Viktor Khryapa,25.0,9.0,105.0,0.431,0.032,0.452,6.2,15.6,11.9,2.9,0.0,13.9,18.2,0.0,0.02,-4.2,3.0,-0.039,3.1,8.1,3.3,-10.1,-0.05,5.1,-18.5,0.0117,-0.0716,0.0234,-0.0165,-0.036
Thomas Gardner,22.0,4.0,45.0,0.44,0.522,0.087,7.3,2.6,4.0,0.0,0.0,14.3,27.4,-0.1,-0.128,-10.7,1.0,0.0,3.8,-0.6,4.9,-11.6,-0.052,2.8,-6.1,0.0042,-0.0804,0.0238,-0.1804,-0.169
Demetris Nichols,23.0,11.0,30.0,0.433,0.667,0.0,0.0,15.6,5.7,0.0,7.8,11.8,25.1,0.0,-0.056,-6.8,1.0,-0.04,-21.4,-12.1,0.8,-19.0,-0.065,-1.3,-0.4,0.0016,-0.1347,0.0225,-0.1666,-0.104
Shannon Brown,22.0,6.0,22.0,0.255,0.067,0.4,5.0,5.3,0.0,2.3,7.1,22.1,45.5,-0.3,-0.592,-29.0,1.0,-0.181,-10.8,-4.9,10.1,-41.4,-0.019,-8.7,5.7,-0.0013,-0.1327,0.0233,-0.7027,-0.322
Cedric Simmons,22.0,7.0,19.0,0.225,0.0,0.25,5.7,12.3,0.0,0.0,0.0,18.4,25.3,-0.1,-0.362,-24.7,0.0,-0.174,-8.2,8.8,2.8,-41.0,-0.1,-10.8,-9.9,0.0044,-0.1355,0.0238,-0.4693,-0.186
