Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
LeBron James,23.0,75.0,3027.0,0.568,0.219,0.47,4.9,17.8,37.3,2.4,2.1,11.4,33.5,15.2,0.242,11.2,76.0,0.061,0.6,2.0,-2.2,12.3,0.0,-0.5,1.4,0.0618,0.0373,2.0E-4,0.3413,21.523
Zydrunas Ilgauskas,32.0,73.0,2222.0,0.522,0.001,0.276,13.1,22.2,8.5,0.8,4.3,12.0,22.9,6.1,0.131,-0.1,56.0,0.002,0.9,4.7,0.9,-1.7,-0.017,-2.5,-2.6,0.0034,0.014,-0.0186,0.1298,6.009
Daniel Gibson,21.0,58.0,1765.0,0.592,0.576,0.226,1.9,6.9,13.1,1.4,0.6,12.9,15.1,4.1,0.111,0.0,44.0,0.02,-2.2,1.1,-1.0,4.7,-0.005,0.1,-1.7,0.0491,0.0115,0.0076,0.1792,6.589
Devin Brown,29.0,78.0,1762.0,0.494,0.275,0.267,4.1,13.2,16.1,1.6,0.3,14.3,17.8,2.4,0.064,-2.2,44.0,-0.014,1.8,-2.1,0.0,-0.6,-0.005,1.4,-0.8,-0.0135,-0.0076,-0.0052,0.0377,1.384
Drew Gooden,26.0,51.0,1564.0,0.487,0.006,0.289,8.3,23.0,5.4,1.2,1.5,13.4,19.7,2.0,0.06,-4.2,39.0,0.022,-4.8,5.1,0.0,-0.1,0.025,-0.5,1.4,-0.0392,0.0107,-0.0145,0.017,0.554
Damon Jones,31.0,67.0,1336.0,0.582,0.76,0.077,0.4,5.9,15.1,0.8,0.1,8.8,14.0,3.0,0.108,-2.2,34.0,0.02,-1.3,-3.4,-0.9,4.0,-0.007,-1.1,1.8,-0.008,-0.0181,0.0051,0.087,2.421
Anderson Varejao,25.0,48.0,1320.0,0.485,0.007,0.278,11.2,23.6,6.3,1.5,1.6,15.1,13.4,2.4,0.086,-1.6,33.0,-0.013,3.3,-2.7,-0.7,1.6,-0.008,2.9,-5.0,0.0508,0.0017,-0.0142,0.1243,3.418
Larry Hughes,29.0,40.0,1210.0,0.467,0.264,0.226,2.5,11.3,13.1,2.6,0.7,12.0,22.4,1.1,0.042,-2.3,30.0,-0.014,0.6,0.4,-0.1,-1.7,0.03,0.4,4.6,-0.0784,0.0069,0.0095,-0.02,-0.504
Sasha Pavlovic,24.0,51.0,1188.0,0.434,0.283,0.191,3.3,9.2,11.2,1.3,0.4,11.2,18.8,0.2,0.006,-5.1,30.0,-0.014,-3.0,3.7,1.6,-8.2,-0.022,-0.9,-4.7,-0.029,-0.0099,0.0089,-0.024,-0.594
Delonte West,24.0,26.0,806.0,0.541,0.351,0.231,2.5,11.5,23.3,1.9,1.9,17.1,16.8,1.7,0.104,0.3,20.0,-0.004,3.5,-1.1,-0.6,0.9,-0.009,0.8,-2.7,4.0E-4,0.0038,0.0146,0.1228,2.062
Ira Newble,33.0,41.0,650.0,0.522,0.285,0.165,7.0,13.2,3.4,2.2,0.8,15.5,14.0,0.9,0.067,-3.1,16.0,-0.034,-1.8,0.1,1.0,-7.7,0.028,0.7,5.5,-0.0901,-0.0389,0.0076,-0.0544,-0.737
Joe Smith,32.0,27.0,580.0,0.547,0.012,0.406,10.5,16.4,5.6,0.8,2.2,9.9,17.4,1.5,0.128,-2.1,15.0,0.024,1.6,-1.6,-0.7,6.8,-0.002,0.1,0.2,0.0017,-0.0225,0.0086,0.1158,1.399
Ben Wallace,33.0,22.0,578.0,0.463,0.0,0.543,11.3,21.2,3.3,1.8,5.0,15.2,9.3,1.2,0.097,-0.1,15.0,-0.011,2.0,-0.6,-0.4,-2.4,-0.022,-1.1,-2.7,-0.0152,-0.0105,0.0083,0.0796,0.959
Wally Szczerbiak,30.0,25.0,556.0,0.451,0.249,0.196,3.6,13.3,10.4,0.9,1.0,8.1,20.2,0.5,0.044,-4.7,14.0,-0.028,4.1,-1.2,-0.3,-0.3,-0.008,-0.6,-1.9,-0.0124,-0.0209,0.0153,0.026,0.301
Dwayne Jones,24.0,56.0,472.0,0.538,0.021,1.234,16.2,17.7,3.1,1.1,4.2,19.0,8.6,1.2,0.121,-1.2,12.0,-0.001,0.0,-9.8,1.6,-0.3,-0.004,0.9,4.6,-0.0492,-0.0795,-0.0043,-0.012,-0.118
Eric Snow,34.0,22.0,305.0,0.231,0.053,0.579,1.4,6.2,19.1,1.7,1.0,17.3,8.6,-0.1,-0.021,-7.4,8.0,-0.039,-3.5,-2.6,2.5,-12.7,-0.011,0.4,-0.6,-0.041,-0.0539,0.0169,-0.099,-0.629
Shannon Brown,22.0,15.0,218.0,0.433,0.261,0.207,2.5,7.0,14.1,2.4,0.4,13.6,29.2,-0.2,-0.052,-7.6,5.0,-0.035,-3.0,-2.2,3.4,-9.9,0.04,1.6,6.5,-0.0386,-0.0546,0.0185,-0.1267,-0.575
Donyell Marshall,34.0,11.0,156.0,0.427,0.523,0.205,6.4,15.8,4.9,0.7,4.5,11.1,15.7,0.1,0.039,-4.1,4.0,0.027,-1.6,1.0,-0.9,7.2,0.036,-2.5,10.1,-0.0254,-0.0592,0.0185,-0.0271,-0.088
Cedric Simmons,22.0,7.0,68.0,0.21,0.0,1.333,8.1,17.3,0.0,1.6,5.8,29.6,9.0,-0.1,-0.07,-9.3,2.0,-0.046,1.9,-5.0,4.5,-14.8,-0.019,0.0,4.6,-0.0259,-0.0867,0.0195,-0.1631,-0.231
Billy Thomas,32.0,7.0,34.0,0.429,0.929,0.0,0.0,6.9,0.0,1.6,0.0,17.6,22.7,-0.1,-0.112,-11.8,1.0,-0.039,9.7,2.4,-2.3,3.7,0.122,-2.3,22.0,-0.0241,-0.1304,0.0207,-0.2458,-0.174
Demetris Nichols,23.0,3.0,14.0,0.125,0.375,0.0,0.0,8.4,0.0,0.0,0.0,20.0,32.4,-0.2,-0.615,-31.6,0.0,-0.038,-1.8,-4.5,6.8,-9.9,0.12,0.8,20.7,-0.0202,-0.1329,0.0205,-0.7476,-0.218
Kaniel Dickens,29.0,5.0,12.0,0.333,0.0,0.0,0.0,9.8,12.7,0.0,6.6,0.0,11.3,0.0,0.023,-6.6,0.0,-0.068,14.0,11.6,0.4,4.4,0.069,0.4,3.8,-0.0202,-0.1381,0.0205,-0.1148,-0.029
Lance Allred,26.0,3.0,10.0,0.307,0.0,0.5,0.0,11.8,0.0,0.0,0.0,0.0,22.1,0.0,-0.125,-19.7,0.0,-0.305,0.4,-15.9,-9.1,-37.4,0.24,-1.3,53.9,-0.0202,-0.1357,0.0205,-0.2604,-0.054
