Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Dirk Nowitzki,29.0,77.0,2769.0,0.585,0.167,0.414,4.1,22.8,17.8,1.0,1.9,9.3,28.8,12.9,0.223,5.2,70.0,0.04,-0.5,1.0,-2.9,10.8,0.002,0.2,-0.9,0.0778,0.03,-0.0098,0.321,18.518
Josh Howard,27.0,76.0,2757.0,0.534,0.168,0.308,5.2,16.7,10.6,1.1,0.9,7.5,25.9,8.0,0.14,0.8,70.0,0.018,2.9,0.4,-0.2,5.0,-0.02,0.6,-3.2,0.0595,0.0306,0.001,0.2311,13.274
Jason Terry,30.0,82.0,2579.0,0.574,0.36,0.221,1.4,7.7,17.5,1.8,0.5,7.7,21.7,8.6,0.16,2.7,65.0,-0.003,0.2,-4.6,-2.3,3.4,-0.014,0.2,2.3,-0.015,0.0199,0.0019,0.1668,8.962
Erick Dampier,32.0,72.0,1755.0,0.645,0.0,0.527,14.1,21.2,5.4,0.7,4.4,19.0,11.2,6.0,0.165,3.4,44.0,0.021,3.5,2.4,0.9,1.3,-0.001,-2.7,0.8,-0.0137,-9.0E-4,-0.0158,0.1346,4.921
Brandon Bass,22.0,79.0,1557.0,0.564,0.008,0.4,9.2,16.3,6.1,0.8,2.3,12.4,19.8,4.3,0.132,-1.0,39.0,-0.041,-1.7,-2.4,1.5,-7.4,0.016,0.6,2.5,-0.1118,-0.0151,-0.0212,-0.0161,-0.522
Jerry Stackhouse,33.0,58.0,1412.0,0.523,0.35,0.281,2.8,7.9,16.7,1.1,0.5,12.7,22.4,2.3,0.077,-1.3,36.0,-0.008,-1.3,-2.0,1.7,-2.7,0.004,-0.4,2.3,-0.059,-0.0032,0.0047,0.0195,0.574
Devin Harris,24.0,39.0,1184.0,0.592,0.181,0.506,1.7,7.0,28.6,2.5,0.1,16.4,22.3,3.9,0.158,1.7,30.0,0.036,0.3,-1.8,0.0,7.0,0.012,2.2,-0.1,0.0242,0.009,0.0131,0.2043,5.039
Jason Kidd,34.0,29.0,1011.0,0.536,0.311,0.221,4.3,16.8,41.1,3.3,0.8,23.2,16.1,3.3,0.157,5.1,26.0,0.012,-0.7,0.6,-1.2,3.4,-0.006,-1.8,1.0,-0.0064,0.0164,0.0077,0.1747,3.68
Eddie Jones,36.0,47.0,922.0,0.473,0.644,0.078,2.3,13.8,10.8,1.5,0.6,13.5,10.9,1.1,0.058,-0.3,23.0,0.01,0.5,2.2,0.8,-0.2,0.007,1.9,-3.2,0.0085,-0.0208,0.0123,0.058,1.114
DeSagana Diop,26.0,52.0,894.0,0.596,0.0,0.348,14.8,19.9,4.2,1.2,5.2,24.1,9.1,2.6,0.137,2.7,23.0,-0.024,1.1,-0.5,-0.4,-2.9,-0.004,3.4,-5.0,0.0097,-0.0289,-0.0065,0.1113,2.073
Devean George,30.0,53.0,821.0,0.437,0.329,0.164,4.1,14.9,6.3,1.2,1.2,9.8,14.0,0.7,0.039,-2.9,21.0,-0.025,1.6,0.3,0.4,-4.5,-0.005,-1.8,1.3,-0.0467,-0.0357,0.0091,-0.0343,-0.587
Trenton Hassell,28.0,37.0,463.0,0.47,0.05,0.025,2.8,8.0,8.2,1.0,0.2,14.8,9.6,0.3,0.031,-3.4,12.0,-0.043,-1.1,-0.2,-0.7,-6.7,0.046,-1.2,7.5,-0.0621,-0.0536,0.017,-0.0677,-0.653
J.J. Barea,23.0,44.0,460.0,0.515,0.318,0.206,1.0,10.5,20.6,1.6,0.2,15.9,22.3,0.5,0.052,-3.2,12.0,-0.033,0.2,4.3,-1.0,-4.7,0.001,0.0,-4.3,-0.0095,-0.0641,0.0198,-0.0018,-0.017
Juwan Howard,34.0,50.0,353.0,0.406,0.0,0.219,7.1,19.0,6.9,0.8,0.4,19.5,11.5,0.1,0.016,-4.9,9.0,-0.009,-7.1,4.1,2.2,-8.2,0.017,-3.2,5.1,-0.0524,-0.0933,0.0108,-0.1189,-0.874
