Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Allen Iverson,32.0,82.0,3424.0,0.567,0.177,0.512,1.5,6.1,27.4,2.2,0.2,11.4,26.7,11.6,0.163,1.6,86.0,-0.007,5.0,-1.2,-4.3,7.1,0.001,1.4,-2.7,0.0462,0.0332,0.0211,0.2635,18.796
Carmelo Anthony,23.0,77.0,2806.0,0.568,0.111,0.398,7.0,14.9,16.1,1.7,1.0,12.7,30.2,8.2,0.14,1.6,71.0,0.006,2.0,0.2,-0.1,1.5,0.023,-0.6,4.9,-0.0548,0.021,1.0E-4,0.1063,6.214
Marcus Camby,33.0,79.0,2758.0,0.498,0.031,0.318,9.2,31.1,12.9,1.5,7.3,14.0,13.0,8.5,0.148,4.8,69.0,0.0,-0.8,1.3,-0.8,0.4,0.003,-0.7,-0.5,0.0019,0.0178,-0.0273,0.1404,8.067
Kenyon Martin,30.0,71.0,2159.0,0.553,0.016,0.303,5.4,17.5,6.3,2.0,2.8,10.3,17.4,5.0,0.111,0.1,54.0,0.015,-4.1,-1.7,0.0,-1.9,0.008,0.4,0.9,-0.0381,0.0056,-0.0198,0.0587,2.64
Anthony Carter,32.0,70.0,1960.0,0.531,0.271,0.179,1.5,9.4,27.4,2.6,1.0,19.5,13.8,3.8,0.092,-0.6,49.0,0.002,-3.0,-3.3,-0.1,-1.7,0.01,-0.2,3.3,-0.0696,-9.0E-4,-0.0039,0.0176,0.719
Linas Kleiza,23.0,79.0,1889.0,0.585,0.42,0.323,5.4,13.5,7.5,1.1,0.7,10.6,18.9,4.7,0.119,-0.6,48.0,0.007,2.7,1.4,-0.2,4.2,0.006,-0.6,1.9,0.0055,-0.0114,0.0031,0.1162,4.573
Eduardo Najera,31.0,78.0,1664.0,0.57,0.399,0.242,7.5,14.3,7.8,2.0,1.7,12.7,11.9,4.1,0.118,1.4,42.0,0.005,2.2,0.3,-0.8,3.8,-0.022,2.0,-5.6,0.1088,-0.0198,-0.0035,0.2035,7.055
J.R. Smith,22.0,74.0,1421.0,0.603,0.579,0.264,3.3,8.1,14.7,2.1,0.6,13.0,25.8,3.7,0.126,1.2,36.0,0.018,2.5,1.0,0.5,2.8,-0.006,0.1,-0.9,0.0287,-0.0277,0.0141,0.1411,4.177
Yakhouba Diawara,25.0,54.0,542.0,0.518,0.493,0.231,4.7,7.6,9.3,0.7,0.4,9.8,12.8,0.7,0.065,-3.4,14.0,-0.014,-3.8,0.5,-0.1,-5.8,-0.023,-0.7,-4.1,-0.0065,-0.0751,0.0131,-0.0035,-0.04
Chucky Atkins,33.0,24.0,352.0,0.449,0.648,0.074,0.9,8.4,18.7,1.2,0.2,7.4,16.4,0.3,0.04,-4.0,9.0,-0.039,-2.4,5.3,-0.6,-4.9,0.012,-2.7,2.9,-0.0243,-0.0574,0.0215,-0.0202,-0.148
Nene Hilario,25.0,16.0,266.0,0.459,0.014,0.69,12.4,22.8,7.8,1.6,3.7,18.5,18.1,0.3,0.052,-3.0,7.0,-0.061,4.6,2.0,1.8,-6.0,-0.031,-1.5,-2.5,-0.0104,-0.0533,0.0184,0.0067,0.037
Bobby Jones,24.0,25.0,222.0,0.55,0.359,0.438,5.5,12.9,6.9,1.1,0.3,15.5,17.3,0.3,0.071,-4.4,6.0,-0.035,-5.9,-2.6,6.6,-15.9,0.018,5.9,-2.6,-0.0229,-0.0908,0.0174,-0.0253,-0.117
Mike Wilks,28.0,8.0,122.0,0.503,0.217,0.087,3.6,7.0,6.6,2.0,0.0,17.3,10.1,0.1,0.032,-3.6,3.0,-0.011,-2.5,4.4,6.0,-7.5,-0.018,3.0,-6.4,-0.0071,-0.0659,0.0225,-0.0185,-0.047
Steven Hunter,26.0,19.0,120.0,0.53,0.0,0.714,9.2,16.8,0.0,0.0,3.6,16.0,15.5,0.1,0.043,-10.4,3.0,-0.051,1.2,-2.1,4.2,-9.3,-0.052,-7.7,1.1,-0.014,-0.1228,0.0207,-0.0731,-0.183
Von Wafer,22.0,21.0,90.0,0.325,0.395,0.211,1.2,10.6,7.7,1.1,0.8,20.9,24.8,-0.4,-0.231,-14.5,2.0,-0.029,-3.5,-2.2,8.7,-13.2,0.004,0.9,0.9,-0.0136,-0.1351,0.0218,-0.3579,-0.671
Jelani McCoy,30.0,6.0,33.0,0.798,0.0,2.0,3.3,19.3,0.0,0.0,10.8,68.0,7.6,0.0,-0.036,-6.9,1.0,0.032,-7.1,-5.5,7.9,-11.8,0.001,-4.1,16.6,-0.0118,-0.1372,0.0223,-0.1627,-0.112
Taurean Green,21.0,9.0,30.0,0.465,0.333,0.444,0.0,21.2,13.6,1.6,0.0,15.7,18.1,0.0,0.02,-6.5,1.0,0.055,-2.2,0.1,-4.4,17.0,-0.014,-10.1,6.1,-0.0068,-0.1426,0.0225,-0.1069,-0.067
