Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Baron Davis,28.0,82.0,3196.0,0.523,0.344,0.278,3.1,10.1,29.7,2.9,1.0,11.9,25.6,8.7,0.131,3.6,81.0,0.034,0.8,2.4,-1.3,7.5,0.012,0.6,0.0,0.0342,0.0293,0.0137,0.2082,13.863
Monta Ellis,22.0,81.0,3071.0,0.58,0.042,0.34,4.5,9.8,15.8,2.0,0.6,10.9,21.7,9.0,0.14,1.7,78.0,0.031,-4.0,-1.6,-1.7,3.7,0.002,1.6,-0.1,0.0101,0.0268,-4.0E-4,0.1765,11.292
Stephen Jackson,29.0,73.0,2855.0,0.536,0.416,0.307,2.4,9.8,15.2,1.6,0.7,12.6,23.1,4.6,0.077,0.1,72.0,0.018,-2.9,2.4,0.5,1.8,-0.006,-0.4,-1.9,0.0211,0.0283,0.0072,0.1336,7.946
Al Harrington,27.0,81.0,2190.0,0.547,0.442,0.206,5.0,16.9,8.9,1.6,0.5,8.2,21.1,5.4,0.118,-0.1,55.0,0.005,-1.0,7.3,-0.8,1.4,0.021,-0.2,0.2,-0.0086,0.0,0.0019,0.1113,5.078
Andris Biedrins,21.0,76.0,2078.0,0.637,0.0,0.344,12.7,26.2,5.2,1.3,3.3,12.0,14.4,8.0,0.185,1.8,53.0,0.013,3.6,1.0,0.7,3.4,-0.018,-1.6,-2.8,0.0666,1.0E-4,-0.0254,0.2263,9.797
Kelenna Azubuike,24.0,81.0,1732.0,0.534,0.332,0.235,6.4,14.0,6.1,1.3,1.4,8.2,17.2,3.4,0.094,-1.5,44.0,-0.023,1.5,-1.5,-0.4,-2.3,0.004,0.0,1.3,-0.0722,-0.0173,-0.0082,-0.0037,-0.134
Matt Barnes,27.0,73.0,1414.0,0.51,0.41,0.179,6.8,18.1,13.5,1.6,1.9,15.1,16.7,2.3,0.077,-0.2,36.0,-0.006,2.4,-5.5,0.1,1.2,0.007,1.0,4.0,-0.0723,-0.0253,-0.0161,-0.0367,-1.081
Mickael Pietrus,25.0,66.0,1316.0,0.549,0.473,0.253,5.2,14.8,5.1,2.4,2.4,10.0,15.3,2.8,0.104,0.3,33.0,0.003,-1.6,-1.5,-0.5,-0.6,0.002,1.4,0.0,-0.0275,-0.0243,-0.0069,0.0453,1.242
Austin Croshere,32.0,44.0,457.0,0.573,0.445,0.234,7.4,17.3,9.0,0.9,1.0,12.7,16.0,1.1,0.112,-1.7,12.0,-0.023,-0.3,-0.7,-0.1,-4.7,-0.009,1.4,-2.4,-0.0259,-0.0727,0.0098,0.0232,0.221
Brandan Wright,20.0,38.0,376.0,0.583,0.0,0.357,10.4,18.1,3.4,0.8,4.3,9.1,16.0,1.1,0.142,-2.4,9.0,-0.028,0.4,-2.6,0.8,-6.9,-0.022,-1.2,-1.0,-0.0363,-0.0774,0.0114,0.0397,0.311
C.J. Watson,23.0,32.0,368.0,0.519,0.257,0.287,3.6,5.8,12.8,2.0,0.0,13.7,15.1,0.4,0.056,-3.6,9.0,-0.024,3.0,-1.4,0.7,-2.2,-0.027,-3.0,-1.6,-0.0213,-0.0688,0.0198,-0.0143,-0.11
Marco Belinelli,21.0,33.0,241.0,0.49,0.441,0.097,1.3,5.1,8.8,1.0,0.0,11.0,19.1,0.0,-0.002,-7.2,6.0,-0.066,0.6,-3.9,1.1,-12.4,-0.01,-1.6,-0.5,-0.042,-0.102,0.0197,-0.1263,-0.634
Didier Ilunga-Mbenga,27.0,16.0,130.0,0.398,0.0,0.087,10.3,15.4,3.9,1.1,5.6,14.3,9.0,0.1,0.048,-2.4,3.0,-0.029,3.4,-1.5,4.6,-9.2,-0.002,2.3,2.2,-0.0296,-0.0991,0.0202,-0.0605,-0.164
Chris Webber,34.0,9.0,126.0,0.482,0.0,0.387,1.6,26.5,19.3,1.5,3.5,23.3,15.8,0.1,0.025,-3.5,3.0,0.024,-12.3,2.8,5.4,-11.1,0.026,0.2,-0.3,-0.0267,-0.068,0.0196,-0.0501,-0.132
Patrick O'Bryant,21.0,24.0,99.0,0.561,0.0,0.172,10.4,21.4,5.8,2.0,6.6,18.3,16.3,0.2,0.105,-1.0,3.0,0.037,-5.2,-2.7,3.1,-0.8,0.059,-3.7,15.0,-0.0395,-0.1329,0.018,-0.0494,-0.102
Troy Hudson,31.0,9.0,93.0,0.416,0.387,0.194,0.0,8.4,12.7,1.6,0.0,17.2,18.4,-0.1,-0.062,-8.7,2.0,-0.052,1.2,-2.5,0.6,-4.7,-0.015,-0.8,2.0,-0.0242,-0.0869,0.0216,-0.1515,-0.294
Kosta Perovic,22.0,7.0,38.0,0.396,0.0,0.6,16.2,20.5,3.4,0.0,3.8,7.3,15.1,0.0,0.06,-6.7,1.0,-0.137,0.3,8.2,-0.6,-19.3,-0.089,-2.7,-20.1,-0.0202,-0.1348,0.0216,-0.0734,-0.058
