Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Shane Battier,29.0,80.0,2907.0,0.561,0.596,0.163,5.2,10.5,8.0,1.4,2.3,10.5,11.7,8.2,0.135,3.8,74.0,0.013,0.3,-2.3,-0.2,3.7,-0.009,0.3,-0.9,0.0327,0.0281,0.0032,0.199,12.052
Rafer Alston,31.0,74.0,2526.0,0.492,0.44,0.148,1.3,10.2,25.2,2.1,0.5,14.0,20.7,5.0,0.095,1.0,64.0,0.005,-0.6,0.4,-1.0,2.7,-0.003,-0.3,-2.0,0.0466,0.0222,0.0087,0.1725,9.078
Tracy McGrady,28.0,66.0,2440.0,0.487,0.226,0.274,2.0,13.5,29.6,1.5,0.9,9.8,30.4,5.8,0.115,2.4,62.0,-0.005,-0.6,-0.4,-3.0,2.4,-0.003,-0.8,1.0,-0.0045,0.0275,0.0028,0.1408,7.157
Yao Ming,27.0,55.0,2044.0,0.587,0.002,0.477,9.6,22.9,11.5,0.6,4.0,15.1,27.1,8.3,0.196,2.9,52.0,0.002,0.1,1.0,2.3,-2.8,-0.001,-0.8,-0.8,-0.0296,0.0259,-0.014,0.1783,7.593
Luis Scola,27.0,82.0,2024.0,0.548,0.004,0.351,9.9,19.3,8.9,1.6,0.7,12.0,19.8,6.5,0.154,0.4,51.0,-0.011,0.9,-3.6,-1.4,0.5,0.014,1.2,2.5,-0.0531,-0.0017,-0.0252,0.074,3.12
Chuck Hayes,24.0,79.0,1575.0,0.512,0.014,0.109,9.6,20.8,8.4,2.9,2.0,21.1,8.5,4.4,0.136,2.8,40.0,0.013,-1.5,3.6,1.2,-1.9,-0.015,1.8,-6.7,0.0792,-0.0175,-0.015,0.1827,5.995
Luther Head,25.0,73.0,1379.0,0.543,0.472,0.17,1.5,9.4,16.4,1.7,0.5,12.0,19.3,3.5,0.121,-0.2,35.0,0.009,-1.8,-0.3,1.1,-0.9,-0.001,-0.5,-0.3,-0.0185,-0.0221,0.0065,0.0869,2.497
Bonzi Wells,31.0,51.0,1124.0,0.48,0.092,0.422,6.4,19.5,11.8,2.4,1.6,13.5,22.9,2.1,0.091,-0.9,28.0,-0.021,1.8,-0.2,1.8,-3.1,0.009,1.3,0.7,-0.0457,-0.0149,0.0015,0.0319,0.747
Carl Landry,24.0,42.0,711.0,0.641,0.005,0.498,15.5,17.3,5.2,1.3,0.7,8.9,18.8,3.7,0.251,1.8,18.0,0.01,2.4,1.4,-1.2,5.5,0.012,-1.0,3.0,-0.0087,-0.0352,0.0066,0.2137,3.165
Dikembe Mutombo,41.0,39.0,619.0,0.591,0.0,0.563,12.6,23.5,1.2,0.9,5.7,14.6,8.6,2.3,0.178,-0.4,16.0,-0.025,0.5,-0.9,-1.0,-2.7,-0.018,-1.2,-2.0,-0.0124,-0.0403,0.0038,0.1291,1.665
Aaron Brooks,23.0,51.0,608.0,0.535,0.484,0.218,2.5,7.9,23.5,1.1,0.6,15.1,21.8,1.4,0.112,-1.8,15.0,0.001,0.1,0.3,1.6,-1.5,0.022,-0.3,5.0,-0.0576,-0.0569,0.0183,0.0158,0.2
Mike James,32.0,33.0,537.0,0.44,0.327,0.186,2.3,8.5,16.4,1.7,0.3,10.6,23.3,0.4,0.037,-4.0,14.0,-0.023,1.5,-0.5,1.5,-4.2,0.023,0.1,5.1,-0.0576,-0.0404,0.0199,-0.0411,-0.46
Bobby Jackson,34.0,26.0,498.0,0.509,0.39,0.152,2.3,13.6,21.7,1.4,0.3,11.1,23.1,1.2,0.114,-0.3,13.0,0.025,-3.1,0.8,-2.5,4.4,-0.046,0.7,-7.6,0.035,-0.0318,0.017,0.1342,1.392
Steve Novak,24.0,35.0,264.0,0.651,0.696,0.039,1.7,13.0,3.9,0.4,0.8,3.7,18.7,1.1,0.196,-0.2,7.0,0.017,-6.2,3.0,-0.5,-3.0,0.021,-3.6,8.5,-0.0462,-0.0937,0.0194,0.0755,0.415
Steve Francis,30.0,10.0,199.0,0.41,0.298,0.404,4.6,8.4,22.7,2.4,1.8,17.3,18.6,0.2,0.039,-2.0,5.0,-0.015,4.4,1.9,2.9,-5.6,0.025,1.8,1.9,-0.0205,-0.0399,0.0238,0.0024,0.01
Mike Harris,24.0,17.0,159.0,0.519,0.037,0.241,17.3,21.0,3.2,2.0,1.4,13.1,19.7,0.5,0.143,-2.8,4.0,-0.011,1.5,-2.4,0.2,-0.8,-0.026,0.2,1.0,-0.0157,-0.0834,0.0201,0.064,0.212
Kirk Snyder,24.0,9.0,81.0,0.518,0.321,0.393,7.1,9.6,16.4,0.7,0.9,10.9,20.8,0.2,0.117,-1.5,2.0,-0.013,8.1,4.2,-0.9,4.8,0.064,0.8,4.5,-0.0144,-0.091,0.0243,0.0359,0.061
Loren Woods,29.0,7.0,17.0,0.6,0.0,0.0,0.0,6.5,20.1,0.0,0.0,0.0,13.4,0.1,0.179,-4.5,0.0,0.058,-0.5,12.7,-11.8,20.7,-0.019,-11.3,-4.8,-0.0138,-0.1391,0.0243,0.0504,0.018
