Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Mike Dunleavy,27.0,82.0,2953.0,0.605,0.348,0.361,2.1,13.7,16.1,1.4,0.8,12.8,21.8,8.5,0.138,2.1,75.0,0.037,-2.3,1.6,-0.5,6.0,0.003,-0.2,-2.2,0.0762,0.029,0.0045,0.2477,15.239
Danny Granger,24.0,80.0,2876.0,0.571,0.351,0.314,3.4,15.2,9.6,1.6,2.2,11.1,23.2,7.3,0.122,1.4,73.0,0.015,-2.5,-0.9,1.3,0.4,0.016,-1.4,5.4,-0.0692,0.0285,-0.0038,0.0775,4.644
Troy Murphy,27.0,75.0,2106.0,0.573,0.341,0.348,5.5,22.9,12.3,1.1,1.1,10.7,18.4,6.2,0.141,1.1,53.0,0.02,-4.0,-0.2,-0.8,2.4,0.017,-0.8,2.8,-0.0212,0.0083,-0.0255,0.1026,4.502
Jeff Foster,31.0,77.0,1884.0,0.568,0.008,0.389,14.9,23.8,10.1,1.5,1.3,12.4,11.5,6.5,0.165,2.5,48.0,-0.028,5.1,3.7,-1.4,0.0,0.005,-0.7,-1.0,0.0143,-0.0017,-0.016,0.1616,6.343
Marquis Daniels,27.0,74.0,1546.0,0.487,0.182,0.248,4.6,10.5,14.1,2.5,0.9,15.3,20.6,0.9,0.028,-2.5,39.0,-0.009,3.0,1.0,0.0,1.0,-0.02,-0.6,-2.1,0.04,-0.0135,0.0101,0.0646,2.081
Kareem Rush,27.0,71.0,1504.0,0.5,0.46,0.074,1.3,11.0,9.3,1.4,1.0,9.5,18.7,1.0,0.033,-3.1,38.0,-0.006,-1.8,-1.9,-0.6,-0.5,0.009,0.5,2.4,-0.0423,-0.013,6.0E-4,-0.0217,-0.68
Travis Diener,25.0,66.0,1356.0,0.494,0.542,0.165,2.0,7.3,27.7,1.3,0.2,10.7,16.5,2.5,0.088,-2.5,34.0,-0.002,-1.6,-2.4,-1.8,2.2,0.021,0.7,3.5,-0.0295,-0.0159,0.0056,0.0482,1.362
Jamaal Tinsley,29.0,39.0,1293.0,0.458,0.305,0.216,2.0,10.0,38.8,2.5,0.6,20.4,21.3,0.8,0.028,-2.0,33.0,0.01,-0.2,2.0,0.3,-1.0,0.0,1.0,-2.4,0.0158,0.014,0.0146,0.0724,1.95
Jermaine O'Neal,29.0,42.0,1206.0,0.489,0.01,0.318,7.3,18.5,12.9,0.8,5.4,15.4,24.8,0.9,0.035,-2.0,31.0,-0.015,-0.4,1.4,2.2,-7.2,-0.016,2.4,-6.5,0.0155,0.0037,8.0E-4,0.055,1.382
Shawne Williams,21.0,65.0,967.0,0.522,0.368,0.285,6.0,14.0,9.8,1.3,2.0,12.2,21.3,1.4,0.069,-2.3,24.0,-0.009,0.7,-0.8,-0.4,-1.4,-0.024,0.3,-0.9,-0.0024,-0.0383,0.0037,0.032,0.645
David Harrison,25.0,55.0,702.0,0.539,0.0,0.565,6.5,11.9,3.0,1.4,6.3,21.5,16.7,0.4,0.03,-3.6,18.0,0.009,1.9,-0.8,0.8,0.9,-0.031,-0.4,-1.6,0.0159,-0.0502,0.0111,0.0068,0.099
Ronald Murray,28.0,23.0,527.0,0.498,0.158,0.268,2.0,7.8,25.3,2.3,0.4,17.2,25.3,0.2,0.016,-4.1,13.0,0.013,-1.0,-2.8,-0.4,2.8,0.03,-1.9,5.9,-0.0182,-0.0195,0.018,-0.0037,-0.041
Andre Owens,27.0,31.0,392.0,0.504,0.374,0.318,3.5,9.6,17.6,1.6,0.6,16.4,16.1,0.4,0.053,-3.4,10.0,0.002,3.2,0.5,4.1,-4.1,-0.04,-0.4,-4.3,0.0038,-0.0564,0.0207,0.0211,0.172
Ike Diogu,24.0,30.0,305.0,0.543,0.0,0.351,13.3,17.1,5.7,1.1,0.7,11.4,24.8,0.7,0.115,-5.0,8.0,-0.037,3.0,-6.8,1.4,-5.6,0.002,0.6,4.0,-0.0251,-0.0714,0.0139,0.0324,0.206
Stephen Graham,25.0,22.0,128.0,0.669,0.241,0.276,3.3,15.6,13.5,1.5,0.6,13.3,25.4,0.4,0.167,-0.4,3.0,-0.034,2.8,1.8,-2.0,-1.2,0.016,2.2,-4.4,0.0016,-0.1208,0.0223,0.0701,0.187
Courtney Sims,24.0,3.0,11.0,0.0,0.0,0.0,9.7,10.1,11.6,0.0,0.0,0.0,3.9,0.0,0.008,-5.7,0.0,-0.134,0.6,16.1,1.3,-10.3,-0.057,3.9,-11.7,-0.002,-0.1347,0.0234,-0.1053,-0.024
