Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Cuttino Mobley,32.0,77.0,2702.0,0.514,0.221,0.229,2.1,9.7,13.1,1.5,0.9,11.4,18.5,2.1,0.037,-1.5,68.0,0.007,-0.4,0.0,-0.6,1.8,0.014,0.0,3.3,-0.0292,0.0246,0.0064,0.0388,2.184
Corey Maggette,28.0,70.0,2502.0,0.595,0.203,0.681,3.6,14.7,14.3,1.5,0.2,13.0,27.6,6.9,0.133,1.4,63.0,0.009,-0.6,3.5,0.1,3.8,0.003,0.9,-3.5,0.076,0.0251,0.0034,0.2375,12.38
Al Thornton,24.0,79.0,2158.0,0.504,0.149,0.331,5.2,14.0,8.4,1.1,1.5,11.4,24.1,1.1,0.025,-3.8,54.0,-0.002,1.0,-3.7,-0.2,0.6,0.01,-0.4,4.7,-0.0657,0.0052,-0.0114,-0.0469,-2.109
Chris Kaman,25.0,56.0,2083.0,0.538,0.006,0.379,9.5,30.0,9.3,0.8,5.6,16.7,21.7,3.6,0.083,0.4,53.0,0.007,-1.7,2.0,0.9,-1.8,-0.032,0.1,-6.1,0.0584,0.0259,-0.0265,0.1408,6.11
Tim Thomas,30.0,63.0,1940.0,0.505,0.384,0.217,3.7,15.6,15.7,1.1,1.1,11.3,20.7,1.7,0.042,-0.6,49.0,0.017,-4.2,2.9,0.4,-0.6,-0.01,-0.7,-3.3,0.0359,0.012,-0.0057,0.0842,3.403
Brevin Knight,32.0,74.0,1674.0,0.453,0.018,0.208,1.0,8.8,31.1,3.1,0.5,16.0,12.2,2.1,0.06,-3.0,42.0,-0.025,-1.3,0.5,0.2,-5.5,-0.004,0.7,-1.8,-0.0285,-0.0094,0.007,0.0291,1.015
Quinton Ross,26.0,76.0,1505.0,0.43,0.063,0.179,4.1,9.1,9.4,1.5,1.6,7.4,12.0,0.7,0.022,-3.2,38.0,-0.008,-2.3,-0.7,-0.3,-2.6,0.009,0.7,-0.4,-0.0207,-0.0186,-0.0014,-0.0187,-0.586
Josh Powell,25.0,64.0,1228.0,0.5,0.01,0.276,10.7,20.4,6.4,0.6,1.4,15.5,15.7,1.1,0.042,-4.1,31.0,-0.011,2.7,1.8,-0.1,-0.8,0.044,-1.1,7.4,-0.0929,-0.0225,-0.0065,-0.0799,-2.044
Dan Dickau,29.0,67.0,1040.0,0.53,0.365,0.277,1.4,9.4,27.9,1.6,0.2,14.2,17.2,1.5,0.071,-2.9,26.0,0.014,2.4,1.6,-0.8,5.5,0.008,1.3,0.4,0.0318,-0.0366,0.0164,0.0826,1.79
Sam Cassell,38.0,38.0,975.0,0.535,0.134,0.296,1.4,11.1,35.0,1.5,0.2,14.7,25.2,1.4,0.069,-1.3,25.0,0.03,-0.9,-1.6,-1.2,4.5,0.01,-1.0,2.2,0.0037,-0.0073,0.0099,0.0753,1.53
