Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Kobe Bryant,29.0,82.0,3192.0,0.576,0.246,0.439,3.4,14.1,23.9,2.4,0.9,11.3,31.4,13.8,0.208,5.4,81.0,0.002,-1.8,1.2,-3.4,6.2,0.0,-0.6,-0.8,0.045,0.034,0.0022,0.2892,19.232
Lamar Odom,28.0,77.0,2921.0,0.582,0.142,0.413,7.8,22.7,13.8,1.3,1.8,14.2,16.5,9.7,0.159,3.8,74.0,-0.015,0.0,4.1,-1.5,-0.4,-0.01,-1.0,-2.7,0.0225,0.0312,-0.0089,0.2038,12.402
Derek Fisher,33.0,82.0,2249.0,0.556,0.355,0.242,1.2,6.9,15.9,1.9,0.1,9.5,18.6,5.7,0.121,-0.3,57.0,-0.007,-1.3,2.7,-0.8,-1.0,0.015,-0.6,1.3,-0.0464,0.0061,0.01,0.0907,4.25
Luke Walton,27.0,74.0,1729.0,0.509,0.176,0.228,5.7,12.7,18.1,1.7,0.8,16.0,16.0,3.2,0.088,-0.2,44.0,-0.025,-0.3,0.4,-0.7,-3.9,-0.008,0.1,-2.2,-0.0178,-0.0069,-0.0066,0.0567,2.042
Jordan Farmar,21.0,82.0,1690.0,0.563,0.487,0.124,2.7,9.1,20.5,2.3,0.2,14.0,20.2,3.9,0.111,0.7,43.0,0.012,0.4,-2.2,0.9,0.8,-0.012,0.8,-1.6,0.0276,-0.0149,-0.0018,0.1219,4.292
Vladimir Radmanovic,27.0,65.0,1483.0,0.583,0.535,0.149,4.4,11.4,12.1,1.6,0.6,13.6,16.0,3.5,0.113,1.0,37.0,0.047,2.2,2.2,0.2,8.8,0.022,-0.4,2.5,0.0405,-0.01,0.0068,0.1503,4.644
Ronny Turiaf,25.0,78.0,1458.0,0.539,0.003,0.469,7.5,15.4,12.7,1.0,5.3,13.1,16.7,4.2,0.137,1.1,37.0,-0.004,1.1,-2.0,1.6,-1.7,-0.004,0.1,1.7,-0.0583,-0.0222,-0.0138,0.0427,1.297
Sasha Vujacic,23.0,72.0,1279.0,0.605,0.56,0.189,1.7,11.3,8.7,1.4,0.3,9.1,19.8,3.6,0.136,-0.2,32.0,0.013,1.2,-3.4,-2.1,6.4,0.018,-1.5,8.8,-0.0789,-0.0266,-4.0E-4,0.0301,0.802
Andrew Bynum,20.0,35.0,1008.0,0.659,0.0,0.397,12.1,26.6,9.6,0.6,5.1,13.0,17.5,4.8,0.23,4.5,25.0,0.013,3.2,2.0,1.3,2.0,-0.012,-0.9,-2.5,0.0236,5.0E-4,-0.0043,0.2498,5.246
Pau Gasol,27.0,27.0,918.0,0.639,0.003,0.441,7.7,17.4,17.0,0.8,3.3,10.0,21.2,4.6,0.239,5.1,23.0,0.03,-1.6,1.7,-1.4,6.6,-0.004,0.2,-1.7,0.0347,0.0103,0.0039,0.2879,5.506
