Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Ricky Davis,28.0,82.0,2963.0,0.534,0.343,0.203,2.2,12.2,16.4,1.6,0.4,15.3,20.0,1.9,0.03,-1.2,75.0,-0.016,0.2,-0.2,-0.9,-1.1,0.01,-1.8,4.1,-0.0564,0.0281,-2.0E-4,0.0015,0.093
Dwyane Wade,26.0,51.0,1954.0,0.549,0.082,0.498,2.7,10.5,37.5,2.4,1.5,16.4,33.1,3.3,0.082,3.0,49.0,0.04,2.7,0.9,0.5,8.1,0.021,0.8,2.9,0.0493,0.0277,0.0061,0.1651,6.721
Jason Williams,32.0,67.0,1886.0,0.502,0.5,0.145,0.8,7.6,27.3,2.3,0.2,13.5,17.0,2.1,0.052,-2.2,48.0,0.012,-0.2,3.2,-0.1,-1.2,0.03,-0.3,2.8,-0.0493,0.0061,0.0101,0.0189,0.743
Udonis Haslem,27.0,49.0,1805.0,0.517,0.0,0.28,7.0,22.7,6.5,1.1,0.8,10.5,16.7,2.5,0.067,-2.7,46.0,0.012,1.2,3.3,0.6,1.7,0.017,0.3,1.5,0.0068,0.024,-0.0114,0.0864,3.249
Mark Blount,32.0,69.0,1542.0,0.505,0.085,0.268,5.3,15.3,4.8,1.1,1.8,10.8,19.8,0.7,0.021,-5.4,39.0,0.005,-4.6,0.5,0.5,-4.9,-0.006,-1.1,-1.7,-0.0137,-0.0106,-0.0183,-0.0216,-0.694
Daequan Cook,20.0,59.0,1441.0,0.48,0.463,0.111,1.6,13.3,9.1,0.8,0.5,10.5,19.8,-0.4,-0.013,-5.1,36.0,-0.014,0.2,-2.2,-1.0,-1.2,-0.008,-0.7,2.1,-0.0307,-0.0058,-0.0047,-0.0542,-1.627
Chris Quinn,24.0,60.0,1340.0,0.559,0.426,0.263,1.0,9.7,22.5,1.8,0.2,11.7,16.6,2.6,0.092,-1.6,34.0,0.014,-2.1,-3.3,-0.5,3.9,-0.007,-0.2,0.2,0.0469,-0.0121,-0.0047,0.1221,3.409
Dorell Wright,22.0,44.0,1104.0,0.537,0.038,0.235,5.1,19.0,9.4,1.4,3.0,8.2,15.1,2.2,0.096,-0.8,28.0,0.003,3.1,1.0,-0.7,2.8,-0.005,0.1,-1.4,0.0485,-0.007,-6.0E-4,0.1369,3.149
Shaquille O'Neal,35.0,33.0,945.0,0.577,0.0,0.541,12.4,20.5,9.4,1.1,4.6,19.4,25.3,1.2,0.059,-0.7,24.0,0.021,1.9,3.0,1.2,2.8,-0.011,1.1,-4.3,0.066,-4.0E-4,-0.0024,0.1222,2.406
Earl Barron,26.0,46.0,889.0,0.446,0.04,0.266,8.9,17.9,5.8,1.1,0.7,11.6,22.0,-0.4,-0.019,-7.7,22.0,-0.035,-0.7,3.2,-0.3,-5.6,0.01,0.2,-1.8,-0.0067,-0.0251,-0.0022,-0.053,-0.982
