Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Andrew Bogut,23.0,78.0,2720.0,0.532,0.008,0.354,10.2,23.4,12.4,1.2,3.9,14.1,20.2,4.8,0.085,1.2,69.0,0.057,-5.7,1.1,1.0,4.1,0.005,-2.8,2.3,0.0122,0.0231,-0.0242,0.0961,5.446
Michael Redd,28.0,72.0,2702.0,0.559,0.289,0.394,3.5,10.2,16.4,1.3,0.4,11.0,27.3,5.8,0.104,0.5,68.0,0.019,0.3,1.4,-0.2,4.7,0.012,-2.2,4.6,-0.0194,0.0282,0.0118,0.1246,7.014
Mo Williams,25.0,66.0,2410.0,0.566,0.251,0.211,1.7,9.8,30.0,1.7,0.3,15.3,22.1,4.5,0.091,0.2,61.0,0.017,-3.1,0.1,0.0,1.2,-0.011,-0.7,0.5,0.0101,0.025,0.0059,0.132,6.628
Charlie Villanueva,23.0,76.0,1829.0,0.502,0.227,0.193,8.9,21.5,7.5,0.9,1.5,10.8,24.4,1.7,0.045,-4.0,46.0,-0.006,0.8,-1.6,-1.3,1.0,0.009,-2.0,5.5,-0.0889,-0.0058,-0.0196,-0.0693,-2.641
Desmond Mason,30.0,59.0,1702.0,0.519,0.0,0.363,5.0,13.1,11.3,1.2,1.4,13.0,16.8,1.5,0.041,-2.6,43.0,0.021,-1.7,1.0,-0.7,2.8,-0.008,-1.2,-1.9,0.0684,0.0051,0.002,0.1165,4.131
Yi Jianlian,20.0,66.0,1647.0,0.485,0.04,0.279,7.3,17.7,5.3,1.1,2.7,13.4,18.4,0.7,0.022,-4.6,41.0,-0.019,-0.6,1.4,0.9,-4.0,-0.01,0.5,-3.0,0.0108,-0.0046,-0.0055,0.0227,0.779
Charlie Bell,28.0,68.0,1628.0,0.49,0.447,0.179,2.1,10.3,19.9,1.7,0.1,12.7,16.6,1.3,0.038,-2.7,41.0,-0.01,-1.3,-5.3,-0.6,-1.1,-0.011,1.9,-0.8,0.0061,-0.0073,-0.0023,0.0345,1.17
Bobby Simmons,27.0,70.0,1521.0,0.504,0.345,0.141,5.0,12.8,8.4,1.7,0.3,12.9,17.9,0.7,0.022,-3.4,38.0,-0.022,1.5,4.5,-0.3,-3.0,0.009,0.4,-2.1,0.0066,-0.014,0.013,0.0276,0.875
Royal Ivey,26.0,75.0,1437.0,0.487,0.283,0.31,3.0,6.8,16.9,1.6,0.4,14.9,15.8,0.5,0.018,-4.4,36.0,-0.006,0.0,-3.2,1.0,-2.4,0.013,3.2,0.3,-0.0291,-0.0222,0.0072,-0.0261,-0.781
Michael Ruffin,31.0,46.0,632.0,0.507,0.0,1.016,16.1,18.6,5.4,2.6,2.4,17.5,7.7,1.2,0.095,0.8,16.0,-0.012,5.1,-2.5,-0.3,2.4,-0.004,3.7,-4.1,0.0514,-0.0498,0.0069,0.1035,1.363
Dan Gadzuric,29.0,51.0,534.0,0.443,0.006,0.409,14.2,17.7,3.2,2.0,3.5,15.8,18.2,0.1,0.006,-5.6,13.0,-0.051,3.8,2.5,-0.9,-4.5,-0.012,1.5,-4.8,0.0179,-0.0671,0.0132,-0.03,-0.334
Ramon Sessions,21.0,17.0,450.0,0.507,0.06,0.35,2.0,13.6,43.5,2.0,0.5,21.0,17.1,0.7,0.077,-3.1,11.0,0.016,0.7,4.1,0.4,2.9,0.025,-2.0,2.0,0.0047,-0.0155,0.0234,0.0896,0.84
Jake Voskuhl,30.0,44.0,386.0,0.528,0.0,0.363,8.8,21.3,5.1,1.2,4.3,23.8,14.2,0.2,0.025,-4.7,10.0,-0.026,3.0,-0.4,1.6,-5.0,-0.015,1.8,-2.5,4.0E-4,-0.0812,0.0153,-0.0405,-0.326
Awvee Storey,30.0,26.0,259.0,0.452,0.079,0.326,13.5,10.9,10.1,1.4,0.3,8.9,19.4,0.2,0.031,-4.0,7.0,-0.037,10.3,-2.7,2.0,-4.1,-0.007,0.6,-0.4,-0.0021,-0.0768,0.0227,-0.0252,-0.136
