Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Al Jefferson,23.0,82.0,2919.0,0.535,0.003,0.273,11.9,24.7,7.5,1.3,3.2,9.4,27.5,7.7,0.127,0.3,74.0,-0.004,-1.0,-4.7,-1.6,0.4,0.041,-1.8,11.2,-0.1044,0.0271,-0.0265,0.0232,1.411
Ryan Gomes,25.0,82.0,2434.0,0.539,0.209,0.267,6.1,16.8,9.6,1.4,0.3,9.1,19.5,4.8,0.096,-0.3,62.0,0.015,-0.2,-0.8,-1.7,5.1,0.009,-0.3,1.8,0.0328,0.0126,-0.0096,0.1318,6.683
Marko Jaric,29.0,75.0,2189.0,0.518,0.241,0.309,2.0,10.1,21.0,2.3,1.2,17.6,15.0,2.4,0.053,-0.6,55.0,-0.015,1.7,2.0,0.8,-1.5,0.004,0.3,-0.2,0.0014,0.0104,0.0146,0.0794,3.621
Rashad McCants,23.0,75.0,2020.0,0.55,0.37,0.164,2.8,9.2,14.1,1.7,0.7,14.5,26.4,1.7,0.04,-1.1,51.0,0.037,1.0,-0.6,0.5,6.3,-0.016,-0.3,-1.7,0.0899,0.0043,0.0083,0.1425,5.997
Sebastian Telfair,22.0,60.0,1933.0,0.462,0.205,0.189,0.9,7.4,27.7,1.6,0.5,15.6,16.6,0.7,0.018,-3.7,49.0,-0.011,-3.3,-2.9,0.7,-5.2,-0.002,-0.6,1.5,-0.0468,0.0157,0.0035,-0.0096,-0.387
Corey Brewer,21.0,79.0,1803.0,0.429,0.074,0.226,5.1,13.9,9.1,2.2,1.1,14.3,15.6,-0.2,-0.005,-3.2,46.0,-0.029,0.0,-2.4,-1.0,-3.2,0.001,1.1,-1.7,0.0061,-0.0074,-0.0078,-0.0141,-0.53
Craig Smith,24.0,77.0,1547.0,0.59,0.017,0.379,8.9,17.8,6.6,1.2,0.9,12.6,20.6,3.5,0.109,-1.8,39.0,0.014,1.0,1.7,2.9,-1.3,0.005,0.1,-0.9,0.0123,-0.0168,-0.0073,0.0972,3.133
Randy Foye,24.0,39.0,1259.0,0.52,0.32,0.141,1.2,10.9,20.9,1.5,0.2,13.9,20.4,1.1,0.042,-1.4,32.0,0.016,-3.3,1.5,-1.8,2.8,0.01,-0.6,1.5,0.0149,0.011,0.0117,0.0796,2.088
Antoine Walker,31.0,46.0,892.0,0.455,0.501,0.176,7.1,15.0,8.0,1.9,0.7,10.2,22.8,0.1,0.004,-2.9,23.0,-0.011,-0.9,1.7,0.3,-1.9,-0.021,1.8,-5.2,0.0408,-0.0246,0.008,0.0282,0.524
Kirk Snyder,24.0,27.0,680.0,0.582,0.087,0.478,4.1,15.7,12.5,1.5,1.6,19.8,16.1,0.9,0.063,-1.2,17.0,0.037,-3.4,1.0,-1.9,6.2,0.005,-0.8,1.9,0.0219,-0.0118,0.0136,0.0867,1.228
Chris Richard,23.0,52.0,556.0,0.496,0.0,0.31,10.5,17.9,4.6,0.9,1.7,19.5,10.0,0.4,0.037,-3.7,14.0,0.001,3.4,-1.5,0.3,2.5,-0.014,0.7,-3.3,0.0382,-0.0637,0.0099,0.0214,0.248
Greg Buckner,31.0,31.0,520.0,0.489,0.427,0.188,2.2,12.7,10.8,2.1,0.3,18.6,13.5,0.1,0.008,-3.2,13.0,-0.002,4.4,0.9,1.2,-0.7,0.048,1.6,7.6,-0.0191,-0.0386,0.0216,-0.0281,-0.304
Gerald Green,22.0,29.0,358.0,0.443,0.264,0.277,3.5,17.0,12.6,1.2,0.9,16.2,24.9,-0.4,-0.058,-7.1,9.0,-0.047,-0.1,3.6,-0.9,-7.2,-0.055,-2.5,-7.9,0.0203,-0.0596,0.0202,-0.0771,-0.575
Michael Doleac,30.0,24.0,257.0,0.446,0.0,0.032,7.0,15.4,4.1,2.0,3.1,15.8,13.3,0.0,0.005,-4.1,7.0,-0.032,2.3,3.6,0.0,-3.9,-0.026,-0.5,-4.1,0.0148,-0.0708,0.0218,-0.0292,-0.156
Theo Ratliff,34.0,10.0,214.0,0.563,0.022,0.556,6.8,14.5,4.9,0.7,7.1,17.6,14.3,0.3,0.067,-1.1,5.0,0.006,3.7,0.8,4.0,-4.1,-0.036,2.3,-8.3,0.017,-0.0347,0.0233,0.0726,0.324
Mark Madsen,32.0,20.0,151.0,0.185,0.0,0.632,13.4,15.8,3.5,1.0,1.1,27.0,9.9,-0.3,-0.102,-7.9,4.0,-0.068,6.6,9.6,3.8,-12.3,-0.068,2.1,-20.2,0.0245,-0.0978,0.024,-0.1513,-0.476
