Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Richard Jefferson,27.0,82.0,3200.0,0.571,0.16,0.511,3.4,9.0,15.0,1.2,0.5,10.9,26.1,7.6,0.114,0.0,81.0,0.039,-2.9,2.1,-0.7,7.9,0.027,-0.6,5.6,-0.0108,0.0363,0.0057,0.1452,9.68
Vince Carter,31.0,76.0,2959.0,0.55,0.212,0.333,4.4,13.4,25.2,1.6,0.9,10.9,25.6,7.7,0.126,3.0,75.0,0.034,3.2,2.3,-2.1,9.0,-0.016,0.0,-4.1,0.0991,0.0353,0.0068,0.2672,16.472
Jason Kidd,34.0,51.0,1895.0,0.483,0.43,0.202,3.5,21.7,45.5,2.0,0.6,23.6,18.9,2.5,0.064,1.5,48.0,-0.008,4.5,3.1,0.8,1.0,0.005,1.2,-2.6,0.0299,0.027,3.0E-4,0.1212,4.785
Josh Boone,23.0,70.0,1773.0,0.543,0.0,0.5,12.5,20.8,5.3,1.1,2.7,11.4,15.4,3.7,0.1,-1.2,45.0,0.017,3.9,-2.2,-0.6,5.2,0.012,-1.7,3.7,-0.0109,5.0E-4,-0.0246,0.065,2.401
Bostjan Nachbar,27.0,75.0,1660.0,0.531,0.43,0.322,3.9,14.3,9.3,1.4,1.0,10.9,21.5,2.2,0.064,-2.4,42.0,-0.023,-1.4,-2.5,0.0,-2.7,0.003,0.3,4.0,-0.0871,-0.0086,-0.0147,-0.0464,-1.605
Sean Williams,21.0,73.0,1278.0,0.563,0.0,0.436,10.4,18.8,3.7,1.1,6.5,16.1,15.5,2.5,0.093,-1.6,32.0,-0.004,5.4,-1.4,2.4,-1.1,0.014,1.6,1.8,-0.0383,-0.0254,-0.0114,0.0179,0.477
Antoine Wright,23.0,41.0,1056.0,0.477,0.352,0.202,3.8,9.9,10.4,1.3,1.3,11.1,15.2,0.5,0.025,-2.8,27.0,-0.023,-0.6,-0.9,2.3,-5.8,-0.022,0.7,-2.4,-0.0198,-0.004,0.005,0.0062,0.136
Marcus Williams,22.0,53.0,854.0,0.499,0.485,0.16,1.9,11.8,27.8,1.5,0.3,19.3,20.8,0.2,0.009,-3.9,22.0,0.001,-2.6,-1.9,-1.3,0.3,0.03,-2.0,9.2,-0.0806,-0.0343,0.0018,-0.1041,-1.852
Devin Harris,24.0,25.0,838.0,0.548,0.317,0.343,1.5,9.8,34.7,2.1,0.7,16.2,23.0,1.7,0.096,0.1,21.0,0.029,-3.2,-2.5,-3.2,6.9,0.001,-0.8,2.5,0.0035,0.0103,0.0077,0.1175,2.051
Nenad Krstic,24.0,45.0,812.0,0.451,0.007,0.23,5.0,23.6,5.8,0.6,1.6,11.0,20.9,-0.1,-0.007,-8.5,20.0,0.003,-7.6,1.2,-1.4,-3.3,-0.013,-1.8,-3.7,0.0026,-0.0282,-0.0084,-0.041,-0.694
Malik Allen,29.0,48.0,763.0,0.489,0.008,0.05,6.4,13.1,6.8,1.0,2.1,10.7,17.9,0.4,0.023,-5.1,19.0,-0.011,2.1,3.0,0.5,-2.4,0.005,-0.2,-1.1,-0.0113,-0.0362,0.0092,-0.0153,-0.243
Jason Collins,29.0,43.0,684.0,0.43,0.0,0.667,5.9,9.2,4.0,0.8,0.9,24.8,6.2,0.0,-0.002,-4.8,17.0,-0.01,-3.5,7.3,0.6,-4.7,0.012,1.8,-5.7,0.0076,-0.0372,0.012,-0.0196,-0.279
Darrell Armstrong,39.0,50.0,549.0,0.499,0.627,0.273,3.6,10.6,20.5,2.7,0.3,25.0,13.7,0.3,0.024,-3.0,14.0,0.001,-2.4,-1.7,2.8,-5.4,-0.009,1.0,-1.4,-0.0199,-0.0607,0.007,-0.0496,-0.567
DeSagana Diop,26.0,27.0,401.0,0.435,0.0,0.462,14.1,21.1,5.3,0.8,4.9,17.0,10.8,0.5,0.058,-2.4,10.0,0.006,4.1,-1.2,1.1,0.2,-0.03,-0.7,-4.9,0.0074,-0.0465,0.0084,0.0273,0.228
Trenton Hassell,28.0,26.0,310.0,0.402,0.091,0.145,3.4,11.2,7.4,0.7,0.5,12.0,9.8,-0.1,-0.009,-6.6,8.0,-0.037,-2.6,-1.1,-1.9,-5.9,-0.019,-0.3,-3.5,-0.0089,-0.0613,0.0133,-0.0659,-0.426
Stromile Swift,28.0,21.0,295.0,0.523,0.0,0.318,7.1,20.5,2.3,0.9,4.7,10.7,17.4,0.5,0.074,-5.7,7.0,-0.011,-2.2,-4.5,-1.0,-1.9,0.009,1.3,-0.5,-0.0093,-0.0526,0.0109,0.023,0.141
Jamaal Magloire,29.0,24.0,259.0,0.351,0.0,0.633,8.0,28.2,4.1,0.0,3.0,26.9,15.1,-0.5,-0.096,-11.2,7.0,-0.013,-3.4,1.8,2.9,-4.7,-0.066,0.0,-7.9,0.002,-0.0687,0.01,-0.1527,-0.824
Eddie Gill,29.0,13.0,149.0,0.576,0.483,0.31,0.8,16.4,22.0,2.5,1.0,19.5,12.6,0.3,0.101,-1.6,4.0,-0.08,-1.5,-3.4,2.6,-17.6,-0.067,3.1,-11.6,-0.0079,-0.0702,0.016,0.0389,0.121
