Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Chris Paul,22.0,80.0,3006.0,0.576,0.193,0.302,2.4,10.3,52.2,3.9,0.1,12.1,25.7,17.8,0.284,9.2,76.0,0.045,1.3,-0.2,-4.0,15.2,0.041,-1.3,6.2,0.0223,0.0292,0.01,0.3455,21.637
David West,27.0,76.0,2870.0,0.535,0.019,0.27,7.2,20.6,10.6,1.2,2.7,10.2,26.3,8.4,0.14,1.1,72.0,0.009,-1.9,1.2,-2.5,4.9,0.0,-0.1,-1.5,0.0368,0.0291,-0.0114,0.1945,11.629
Tyson Chandler,25.0,79.0,2783.0,0.632,0.002,0.488,13.2,26.1,4.4,0.9,2.4,15.6,14.5,10.0,0.172,2.4,70.0,0.027,1.3,-0.6,-1.5,6.9,0.013,-1.5,0.9,0.0259,0.0237,-0.0255,0.1961,11.37
Peja Stojakovic,30.0,77.0,2711.0,0.581,0.511,0.136,2.7,11.8,5.6,1.1,0.3,5.3,19.7,8.1,0.144,1.8,68.0,0.048,-1.6,0.1,-3.8,12.7,0.026,-1.0,2.6,0.0576,0.0234,0.0012,0.2262,12.776
Morris Peterson,30.0,76.0,1796.0,0.549,0.556,0.165,2.3,11.3,5.5,1.4,0.3,6.9,15.4,3.8,0.101,-0.1,45.0,0.023,-0.9,2.5,-1.3,4.1,0.038,-1.0,3.1,-0.0309,-0.0074,0.0057,0.0684,2.559
Jannero Pargo,28.0,80.0,1497.0,0.468,0.285,0.124,2.0,8.3,20.4,1.8,0.3,11.9,24.2,1.1,0.037,-3.1,38.0,-0.025,1.1,-1.1,0.7,-5.4,-0.005,1.0,-0.2,-0.078,-0.0235,0.0078,-0.0567,-1.768
Bobby Jackson,34.0,46.0,891.0,0.512,0.486,0.166,2.9,11.7,12.8,1.9,0.3,8.9,18.2,1.9,0.1,0.1,22.0,-0.039,-0.8,-0.7,2.1,-8.8,-0.02,1.1,-1.6,-0.0618,-0.0268,0.0093,0.0207,0.384
Rasual Butler,28.0,51.0,875.0,0.46,0.512,0.119,2.1,11.5,5.9,0.9,1.9,3.5,15.1,1.2,0.063,-2.2,22.0,-0.038,0.4,-0.2,2.0,-9.2,-0.044,0.8,-5.2,-0.0336,-0.0341,0.0113,0.0066,0.12
Hilton Armstrong,23.0,65.0,732.0,0.498,0.0,0.473,10.1,16.0,4.4,1.1,3.6,24.8,15.1,0.5,0.032,-3.3,18.0,-0.032,1.3,0.6,3.4,-8.5,0.009,2.6,1.1,-0.0846,-0.0601,0.0035,-0.1092,-1.665
Ryan Bowen,32.0,53.0,660.0,0.505,0.01,0.29,9.5,8.2,5.2,2.6,1.3,11.7,9.0,1.5,0.107,1.2,17.0,-0.02,3.6,-0.7,2.8,-6.3,-0.022,1.1,-2.5,-0.038,-0.0553,0.0127,0.0264,0.363
Julian Wright,20.0,57.0,640.0,0.581,0.142,0.308,5.9,15.7,9.5,2.4,1.5,15.1,16.4,1.7,0.126,0.6,16.0,-0.006,1.9,-2.7,2.3,-3.4,-0.003,0.7,1.4,-0.0526,-0.0616,0.0069,0.0187,0.249
Melvin Ely,29.0,52.0,621.0,0.491,0.0,0.322,5.1,22.6,5.4,0.6,2.3,17.0,18.5,0.3,0.022,-6.0,16.0,0.005,-2.8,1.0,0.6,-3.6,-0.055,-1.9,-6.6,0.005,-0.0583,0.0028,-0.0285,-0.369
Bonzi Wells,31.0,22.0,438.0,0.535,0.076,0.338,5.5,13.7,6.2,2.9,1.4,13.0,22.0,0.8,0.093,-1.2,11.0,-0.029,-1.1,-3.3,2.4,-6.9,0.0,2.0,1.6,-0.0461,-0.0327,0.0145,0.0287,0.262
Mike James,32.0,21.0,183.0,0.428,0.359,0.094,1.9,9.2,4.8,1.2,0.0,9.5,18.7,-0.1,-0.018,-7.1,5.0,-0.045,-4.8,0.5,2.0,-14.1,-0.079,-0.5,-7.5,-0.0281,-0.0884,0.0198,-0.1147,-0.437
Marcus Vinicius,23.0,13.0,69.0,0.564,0.6,0.55,1.7,12.1,4.3,0.8,1.1,10.8,18.8,0.1,0.073,-3.7,2.0,-0.007,-4.0,7.2,8.6,-13.3,-0.036,-0.1,-9.4,-0.0248,-0.129,0.0218,-0.059,-0.085
Chris Andersen,29.0,5.0,34.0,0.342,0.0,0.571,6.7,24.6,0.0,0.0,9.2,10.2,13.3,0.0,0.012,-9.6,1.0,0.013,2.4,13.6,1.0,4.0,-0.001,-5.9,3.9,-0.0253,-0.1177,0.0221,-0.1089,-0.077
