Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Jamal Crawford,27.0,80.0,3190.0,0.528,0.355,0.274,1.3,6.3,22.0,1.3,0.4,11.0,24.6,5.0,0.076,-0.2,80.0,0.038,-1.9,3.7,-0.1,6.6,0.004,-2.9,1.0,0.0239,0.0347,0.0186,0.1532,10.181
David Lee,24.0,81.0,2356.0,0.606,0.003,0.383,11.3,24.1,6.7,1.2,1.0,11.8,15.6,7.4,0.151,0.8,59.0,-0.015,2.4,2.4,-2.2,2.5,0.002,0.8,-1.5,0.0377,0.0093,-0.0185,0.1795,8.81
Zach Randolph,26.0,69.0,2244.0,0.513,0.076,0.273,9.1,27.6,11.8,1.4,0.6,13.6,27.4,3.0,0.063,-1.5,56.0,-0.003,1.6,1.7,0.7,0.9,0.009,-1.8,0.2,-0.0034,0.0163,-0.0205,0.0554,2.59
Nate Robinson,23.0,72.0,1883.0,0.526,0.373,0.251,3.0,10.7,19.7,1.7,0.0,10.6,23.1,3.2,0.082,0.0,47.0,0.017,1.2,0.3,-1.2,5.1,0.006,1.9,0.3,0.0353,0.0,0.0071,0.1244,4.88
Quentin Richardson,27.0,65.0,1841.0,0.444,0.386,0.159,3.4,16.5,9.9,1.3,0.6,10.4,16.1,0.3,0.008,-2.7,46.0,0.005,-5.5,-0.3,0.4,-2.6,0.002,-1.8,0.6,-0.0406,0.0049,-0.0133,-0.041,-1.573
Fred Jones,28.0,70.0,1757.0,0.546,0.444,0.292,1.9,9.4,14.7,1.4,0.8,13.8,14.4,2.2,0.061,-1.2,44.0,-0.008,-1.6,-1.7,-1.1,-0.2,0.001,0.7,0.9,-0.0234,-0.0033,0.002,0.0363,1.329
Eddy Curry,25.0,59.0,1530.0,0.578,0.0,0.551,8.0,12.6,3.8,0.5,1.5,15.7,23.5,1.7,0.053,-4.5,38.0,0.016,-1.8,-3.6,5.1,-5.3,0.02,-2.4,6.6,-0.1329,-0.0027,-0.01,-0.0926,-2.952
Jared Jeffries,26.0,73.0,1325.0,0.433,0.093,0.344,9.8,11.1,7.5,1.4,1.3,17.1,12.7,0.1,0.002,-2.8,33.0,0.004,3.8,3.8,-1.8,4.5,-0.002,0.9,-3.5,0.0741,-0.026,0.01,0.0601,1.659
Renaldo Balkman,23.0,65.0,952.0,0.492,0.065,0.511,9.6,16.4,6.5,2.4,2.4,14.0,12.5,1.3,0.065,-0.6,24.0,0.0,3.6,-2.9,1.1,0.7,-0.038,2.1,-4.6,0.0414,-0.0418,-0.001,0.0636,1.261
Stephon Marbury,30.0,24.0,805.0,0.527,0.279,0.438,2.3,6.1,23.1,1.4,0.2,13.2,20.3,1.1,0.066,-1.7,20.0,-0.017,0.2,-1.2,1.5,-4.5,0.001,-0.1,0.4,-0.027,0.0067,0.0185,0.0642,1.077
Wilson Chandler,20.0,35.0,685.0,0.48,0.124,0.223,6.1,15.3,8.1,1.1,1.8,9.2,19.2,0.5,0.038,-3.5,17.0,-0.004,-0.1,1.6,-2.8,-0.6,-0.007,0.6,-1.9,-5.0E-4,-0.0284,0.0127,0.0218,0.311
Mardy Collins,23.0,46.0,634.0,0.378,0.183,0.217,3.3,10.4,21.4,2.0,1.0,22.6,17.5,-1.0,-0.079,-6.2,16.0,-0.021,0.0,-3.7,0.7,-5.3,-0.02,1.2,-0.7,-0.0264,-0.0494,0.0122,-0.1426,-1.884
Malik Rose,33.0,49.0,494.0,0.422,0.039,0.283,6.9,17.1,9.3,1.7,1.1,16.5,22.0,-0.5,-0.052,-7.2,12.0,-0.011,-2.1,1.1,-1.2,-1.0,-0.006,2.8,-3.4,0.0047,-0.0699,0.0111,-0.1061,-1.092
Randolph Morris,22.0,18.0,181.0,0.396,0.0,0.5,7.3,16.2,1.8,1.2,0.9,11.3,19.8,-0.2,-0.061,-10.8,5.0,-0.048,-1.8,-6.8,0.6,-14.0,0.026,-0.8,12.4,-0.0386,-0.0792,0.0188,-0.16,-0.603
Jerome James,32.0,2.0,5.0,1.064,0.0,2.0,0.0,70.6,0.0,0.0,0.0,0.0,16.9,0.1,0.613,-7.6,0.0,-0.046,-28.6,7.3,4.4,-24.6,-0.376,19.5,-89.8,-0.009,-0.1394,0.0235,0.4881,0.051
