Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Spencer Dinwiddie,24.0,80.0,2306.0,0.527,0.517,0.32,1.8,10.2,35.0,1.4,0.7,11.8,20.3,5.7,0.118,0.2,58.0,0.007,0.7,1.9,-2.7,4.8,0.013,-0.2,0.9,0.0357,0.0167,0.01,0.1804,8.667
Allen Crabbe,25.0,75.0,2197.0,0.558,0.643,0.163,1.3,14.4,8.4,1.0,1.2,8.1,19.0,3.2,0.07,-0.8,55.0,0.005,0.2,-2.5,-1.2,2.8,-0.005,0.6,0.5,0.0168,0.0173,-0.0044,0.0997,4.563
DeMarre Carroll,31.0,73.0,2180.0,0.55,0.498,0.313,5.1,18.4,10.5,1.3,1.0,10.3,19.8,4.1,0.091,0.2,55.0,-0.01,1.8,-3.4,-1.3,2.5,-0.014,1.4,-1.8,0.0568,0.0185,-0.0137,0.1526,6.931
Joe Harris,26.0,78.0,1975.0,0.634,0.576,0.167,2.7,11.3,10.2,0.9,0.8,12.0,16.6,4.0,0.097,0.1,50.0,0.017,1.3,2.8,1.3,1.0,-0.009,-1.5,0.2,-4.0E-4,0.0066,0.0099,0.1131,4.654
Rondae Hollis-Jefferson,23.0,68.0,1920.0,0.548,0.075,0.436,5.5,20.0,14.2,1.6,1.9,12.3,22.2,4.1,0.103,-0.4,48.0,-0.002,-0.8,0.7,-0.6,1.2,-0.001,-0.9,0.9,-0.0116,0.0134,-0.0127,0.0921,3.684
Caris LeVert,23.0,71.0,1864.0,0.525,0.333,0.254,3.0,11.9,26.0,2.1,0.9,15.8,22.5,2.3,0.059,-0.5,47.0,-0.022,0.2,0.0,0.5,-4.3,0.001,0.1,-0.2,-0.0605,0.0084,0.002,0.0089,0.346
Jarrett Allen,19.0,72.0,1441.0,0.636,0.038,0.37,10.5,18.2,5.4,0.9,4.6,15.1,16.3,4.2,0.141,0.2,36.0,0.003,2.6,-4.1,1.7,-0.9,-0.009,0.2,-0.6,-0.0097,-0.0112,-0.0176,0.1025,3.077
Quincy Acy,27.0,70.0,1359.0,0.525,0.8,0.164,3.1,17.0,6.0,1.2,1.6,13.3,14.4,1.0,0.036,-2.2,34.0,0.018,-1.8,1.2,0.7,0.8,-0.002,0.5,-0.9,0.0147,-0.0136,-0.0037,0.0334,0.946
D'Angelo Russell,21.0,48.0,1234.0,0.509,0.414,0.195,2.6,13.8,35.7,1.4,1.0,16.8,30.8,0.4,0.014,-0.4,31.0,0.003,-0.9,-5.1,0.1,0.2,0.015,1.0,4.8,-0.0725,0.0026,-0.0017,-0.0576,-1.481
Tyler Zeller,28.0,42.0,703.0,0.587,0.114,0.262,9.4,20.0,6.5,0.6,2.2,12.1,17.9,1.5,0.105,-2.5,18.0,-0.001,-0.7,3.6,-0.6,-0.1,-0.018,-2.4,-4.1,0.0253,-0.029,0.0062,0.1075,1.574
Nik Stauskas,24.0,35.0,478.0,0.547,0.66,0.18,0.9,13.2,11.9,0.5,0.6,12.0,16.7,0.4,0.038,-3.9,12.0,0.004,-2.6,0.8,0.2,-2.5,-0.017,-1.9,-2.2,-0.0067,-0.0444,0.0156,0.0025,0.025
Dante Cunningham,30.0,22.0,447.0,0.561,0.432,0.115,6.6,18.5,7.6,1.3,2.3,10.4,15.8,0.9,0.092,-0.6,11.0,0.019,-2.5,4.1,-2.1,3.6,0.035,0.1,3.4,-0.0139,-0.0226,0.0154,0.0709,0.66
Trevor Booker,30.0,18.0,395.0,0.536,0.08,0.287,10.1,22.0,16.2,1.0,0.9,15.1,21.8,0.6,0.072,-1.5,10.0,0.043,4.8,-2.0,-0.3,8.7,0.004,3.2,-0.8,0.0131,-0.0196,0.0152,0.0807,0.664
Timofey Mozgov,31.0,31.0,359.0,0.617,0.194,0.323,9.4,19.7,4.8,0.7,2.7,23.7,16.8,0.4,0.055,-4.1,9.0,-0.028,-2.5,6.0,3.9,-11.9,0.012,1.1,-2.5,-0.0322,-0.0566,0.015,-0.0188,-0.141
Jahlil Okafor,22.0,26.0,328.0,0.593,0.031,0.194,5.5,19.3,5.9,0.4,3.6,11.4,20.9,0.6,0.089,-4.3,8.0,-0.032,-6.5,1.6,1.9,-11.4,0.026,-2.3,7.0,-0.0594,-0.0526,0.0146,-0.0084,-0.057
Sean Kilpatrick,28.0,16.0,183.0,0.414,0.494,0.218,0.6,19.9,12.6,0.5,0.4,14.4,26.3,-0.4,-0.116,-10.2,5.0,-0.064,2.3,2.3,1.1,-9.5,0.028,1.3,-2.0,-0.0172,-0.0635,0.0206,-0.1761,-0.671
Isaiah Whitehead,22.0,16.0,180.0,0.53,0.209,0.221,2.3,13.1,19.6,2.2,0.8,20.3,28.5,-0.1,-0.035,-5.6,5.0,-0.03,0.9,1.7,5.1,-8.1,-0.029,-0.1,-7.3,-0.0064,-0.0646,0.0209,-0.0851,-0.319
Milton Doyle,24.0,10.0,125.0,0.337,0.489,0.17,2.5,12.9,11.7,2.3,1.2,3.8,18.2,-0.1,-0.052,-5.8,3.0,-0.017,-1.9,6.3,-0.9,-4.4,0.022,2.9,-5.7,-0.0074,-0.0621,0.0219,-0.0996,-0.259
James Webb,24.0,10.0,120.0,0.333,0.792,0.0,7.0,14.3,4.5,0.4,0.0,14.3,10.1,-0.1,-0.041,-6.6,3.0,-0.031,-1.3,-0.3,-1.8,-5.1,0.008,-1.1,5.4,-0.0171,-0.0646,0.021,-0.1017,-0.254
Jacob Wiley,23.0,5.0,33.0,0.41,0.5,0.5,6.4,29.2,8.0,1.5,0.0,0.0,6.4,0.1,0.094,-3.0,1.0,-0.059,-1.6,10.4,0.4,-10.5,-0.093,2.2,-30.8,-0.0049,-0.1118,0.0221,-6.0E-4,0.0
Jeremy Lin,29.0,1.0,25.0,0.597,0.167,0.583,0.0,0.0,27.1,0.0,0.0,16.6,31.3,0.0,0.087,-13.5,1.0,0.006,5.1,-4.2,4.4,5.7,0.067,0.8,13.7,-0.0106,-0.0517,0.0225,0.0472,0.025
