Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Andre Drummond,24.0,78.0,2625.0,0.555,0.012,0.448,16.4,36.4,14.3,2.2,4.3,15.9,21.2,10.3,0.189,5.5,66.0,0.009,5.8,-0.2,1.6,2.8,0.029,-0.9,5.5,-0.0568,0.027,-0.0376,0.1216,6.65
Ish Smith,29.0,82.0,2043.0,0.525,0.126,0.145,1.4,10.9,28.4,1.6,0.9,11.2,20.8,4.4,0.102,-1.2,52.0,0.017,-1.6,2.2,-1.4,2.5,-0.014,-1.9,0.5,0.0229,0.0044,0.005,0.1343,5.716
Stanley Johnson,21.0,69.0,1894.0,0.48,0.418,0.259,1.9,13.0,8.5,2.5,0.7,11.0,16.4,1.8,0.046,-1.5,48.0,-0.006,-0.2,0.2,1.1,-1.9,-0.005,0.2,-1.3,0.0021,0.0098,0.0017,0.0596,2.352
Anthony Tolliver,32.0,79.0,1757.0,0.663,0.773,0.282,3.1,12.3,7.5,0.9,1.1,9.9,14.8,5.3,0.146,1.5,44.0,-0.004,-2.3,-0.4,-2.5,1.6,-0.003,0.4,-0.3,0.0258,-0.0043,-0.0054,0.1621,5.934
Reggie Bullock,26.0,62.0,1732.0,0.615,0.515,0.09,1.7,8.3,8.4,1.4,0.7,7.6,15.7,4.2,0.117,0.7,44.0,0.005,-0.4,1.7,-0.9,2.2,0.002,-1.4,2.1,-0.0084,0.01,0.0116,0.1302,4.698
Tobias Harris,25.0,48.0,1563.0,0.564,0.389,0.192,2.5,15.0,9.9,1.1,0.9,6.2,23.2,4.1,0.125,0.2,40.0,0.01,1.7,-1.2,0.3,2.0,0.038,0.8,4.9,-0.0465,0.0191,0.0037,0.1013,3.299
Luke Kennard,21.0,73.0,1463.0,0.56,0.419,0.163,1.6,11.9,12.7,1.5,0.8,12.2,17.2,2.6,0.085,-1.5,37.0,0.019,-2.1,-0.7,-0.8,3.0,-0.025,-0.5,-2.7,0.0774,-0.0125,-5.0E-4,0.1494,4.554
Avery Bradley,27.0,40.0,1268.0,0.497,0.34,0.14,1.6,6.7,10.5,1.8,0.5,13.3,24.4,-0.2,-0.009,-4.2,32.0,-0.013,3.0,-2.1,1.5,-2.3,0.036,1.6,4.1,-0.0613,0.0149,0.0158,-0.0396,-1.046
Reggie Jackson,27.0,45.0,1201.0,0.516,0.293,0.232,2.6,9.0,32.8,1.1,0.3,13.5,27.1,2.0,0.078,-1.5,30.0,0.004,3.0,-1.6,1.3,3.0,0.026,1.6,1.0,0.013,0.0031,0.0132,0.1073,2.685
Langston Galloway,26.0,58.0,863.0,0.503,0.641,0.121,1.6,10.3,10.1,2.0,0.5,4.8,19.3,1.4,0.08,-1.7,22.0,-0.009,-3.1,0.2,-0.4,-3.5,-0.036,1.5,-8.7,0.069,-0.0353,0.0086,0.1223,2.199
Blake Griffin,28.0,25.0,831.0,0.531,0.323,0.266,3.5,18.9,31.5,0.7,1.0,12.4,28.4,1.9,0.113,2.3,21.0,0.0,1.0,0.7,-0.2,1.3,-0.029,-1.8,-1.3,0.0161,0.0131,0.0112,0.1534,2.656
Eric Moreland,26.0,67.0,805.0,0.531,0.0,0.238,10.9,27.6,13.3,1.9,5.6,23.8,9.7,2.3,0.135,2.6,20.0,-0.018,-4.1,-2.9,-0.6,-5.2,-0.02,3.0,-6.0,0.0284,-0.0483,-0.0194,0.0957,1.605
James Ennis,27.0,27.0,551.0,0.558,0.426,0.265,3.9,9.6,5.9,1.4,1.0,9.0,16.0,1.0,0.09,-1.7,14.0,0.003,1.6,-0.2,0.1,0.7,0.017,-2.1,6.2,-0.0275,-0.0217,0.0175,0.0583,0.669
Dwight Buycks,28.0,29.0,427.0,0.498,0.227,0.207,3.0,7.7,22.4,2.2,0.4,15.3,26.4,0.2,0.027,-4.3,11.0,-0.01,-1.5,0.5,-0.1,-3.8,-0.02,0.9,-4.4,0.0095,-0.0429,0.0181,0.0117,0.104
Henry Ellenson,21.0,38.0,329.0,0.476,0.411,0.199,3.3,24.3,9.4,0.8,0.0,10.2,23.8,0.1,0.02,-6.8,8.0,-0.016,-3.7,4.8,0.8,-7.9,-0.027,-0.4,-7.6,0.0101,-0.0766,0.0144,-0.0321,-0.22
