Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Marc Gasol,33.0,73.0,2408.0,0.532,0.31,0.326,3.7,25.3,21.7,1.1,3.9,14.1,25.6,4.0,0.08,1.5,61.0,-0.002,-3.2,3.5,-0.2,-0.9,0.006,-0.9,-0.8,-0.0081,0.028,-0.0176,0.0823,4.129
Dillon Brooks,22.0,82.0,2350.0,0.531,0.342,0.215,2.4,10.5,9.3,1.6,0.7,12.8,18.5,1.2,0.024,-3.1,60.0,0.012,-3.8,1.9,-0.1,-0.8,-0.019,-0.2,-4.2,0.0428,0.0182,-0.0012,0.0838,4.103
Jarell Martin,23.0,73.0,1661.0,0.516,0.198,0.234,6.6,15.8,7.0,1.2,2.8,13.6,17.1,1.3,0.038,-3.0,42.0,-0.029,-0.3,0.3,-1.6,-2.8,-0.007,0.6,-1.1,-0.0216,-2.0E-4,-0.01,0.0062,0.215
Tyreke Evans,28.0,52.0,1607.0,0.561,0.354,0.258,3.1,16.3,31.2,1.8,1.0,11.5,28.4,4.2,0.126,3.6,41.0,0.024,1.7,-2.5,-1.4,7.3,-0.04,0.1,-5.2,0.1074,0.0191,-0.0027,0.2498,8.363
JaMychal Green,27.0,55.0,1542.0,0.53,0.26,0.227,10.8,24.4,8.3,1.0,1.5,12.4,17.8,2.6,0.079,-1.5,39.0,0.009,0.4,4.3,1.1,-0.6,0.013,-2.7,2.6,-0.0465,0.0123,-0.0129,0.0319,1.025
Mario Chalmers,31.0,66.0,1421.0,0.503,0.431,0.312,1.0,12.0,21.5,2.8,0.9,18.8,19.6,0.6,0.021,-2.7,36.0,-0.009,-0.3,-1.3,0.2,0.6,-0.015,3.1,-5.4,0.0623,-0.0052,0.0022,0.0803,2.377
Andrew Harrison,23.0,56.0,1326.0,0.534,0.331,0.371,2.0,9.7,21.3,1.4,1.8,14.0,19.6,1.7,0.062,-2.5,34.0,-0.012,-0.5,3.4,-0.2,-1.4,-0.006,-1.7,0.4,-0.0259,-1.0E-4,0.0123,0.0483,1.334
Ben McLemore,24.0,56.0,1091.0,0.526,0.426,0.172,3.5,11.4,7.5,1.8,1.3,13.2,19.0,0.5,0.023,-3.6,28.0,-0.027,2.7,-0.9,2.2,-6.7,0.015,0.3,3.3,-0.0898,-0.0139,0.0085,-0.0722,-1.641
James Ennis,27.0,45.0,1053.0,0.61,0.378,0.329,5.7,11.7,7.0,1.5,1.1,13.0,12.5,2.0,0.093,-0.7,27.0,-0.018,0.6,-0.5,0.5,-1.4,-0.023,0.6,-3.8,0.0147,-0.0033,0.0059,0.1103,2.42
Deyonta Davis,21.0,62.0,943.0,0.621,0.0,0.215,9.0,22.0,7.1,0.8,3.9,9.9,15.3,2.7,0.138,-0.9,24.0,0.007,1.5,-6.0,0.6,0.6,-0.01,-0.3,1.7,-0.0234,-0.0298,-0.0143,0.0705,1.385
Wayne Selden,23.0,35.0,692.0,0.551,0.454,0.219,2.6,6.8,16.0,1.3,0.7,15.5,22.6,0.3,0.023,-4.0,18.0,0.005,0.2,1.3,0.7,-1.3,0.009,0.4,1.1,-0.0224,-0.0178,0.0168,-4.0E-4,-0.006
Chandler Parsons,29.0,36.0,691.0,0.578,0.517,0.115,2.3,13.0,16.4,1.3,1.5,12.5,18.3,1.1,0.077,-1.2,18.0,0.038,-4.9,1.2,-1.4,4.0,0.018,-1.5,4.6,-0.0224,-0.0196,0.0092,0.0442,0.636
Kobi Simmons,20.0,32.0,643.0,0.49,0.206,0.132,2.5,6.6,16.5,1.4,0.7,18.0,17.0,-0.2,-0.013,-6.0,16.0,-0.002,1.9,-1.5,0.4,-1.7,0.054,-2.2,11.1,-0.0735,-0.0176,0.0168,-0.0873,-1.169
Ivan Rabb,20.0,36.0,516.0,0.599,0.0,0.237,11.6,24.1,10.4,1.2,2.4,17.3,17.7,1.2,0.109,-1.5,13.0,0.005,3.4,-0.5,1.8,0.4,0.028,0.5,4.4,-0.0297,-0.0393,0.0067,0.0467,0.502
Myke Henry,25.0,20.0,378.0,0.472,0.532,0.092,3.0,8.8,8.9,4.1,1.5,14.4,15.7,0.1,0.017,-1.3,10.0,0.013,2.4,-1.8,-0.3,4.0,0.032,1.9,2.4,-0.0101,-0.0268,0.0182,-0.0017,-0.013
Mike Conley,30.0,12.0,373.0,0.52,0.458,0.393,0.0,8.6,22.2,1.6,0.8,8.4,25.9,0.6,0.077,-2.3,9.0,0.007,-5.9,-1.8,-1.9,1.8,-0.042,-0.2,-5.0,0.001,0.0018,0.0175,0.0973,0.756
Brandan Wright,30.0,27.0,366.0,0.595,0.0,0.333,9.9,19.7,5.8,1.8,6.4,6.6,14.9,1.2,0.163,1.1,9.0,-0.001,3.1,-2.3,-0.3,0.8,-0.066,2.9,-11.7,0.0242,-0.0458,0.013,0.1544,1.177
MarShon Brooks,29.0,7.0,193.0,0.629,0.314,0.225,4.7,8.0,25.9,2.9,1.5,12.5,29.8,0.7,0.179,4.1,5.0,0.046,6.3,-5.3,-1.6,13.2,0.077,2.0,7.0,-0.0093,-0.0142,0.0202,0.1757,0.706
Briante Weber,25.0,5.0,119.0,0.508,0.095,0.286,4.8,11.9,11.1,3.4,1.6,25.3,11.9,0.1,0.024,-1.9,3.0,-0.007,2.9,0.7,-0.1,0.6,0.076,-1.5,14.4,-0.017,-0.0285,0.0206,-9.0E-4,-0.002
Xavier Rathan-Mayes,23.0,5.0,118.0,0.315,0.333,0.214,0.0,5.0,23.0,2.6,2.4,19.3,21.7,-0.4,-0.171,-10.7,3.0,-0.047,-3.2,-4.3,0.6,-14.3,0.062,5.5,4.7,-0.0171,-0.029,0.0205,-0.1966,-0.483
Omari Johnson,28.0,4.0,75.0,0.524,0.571,0.0,6.0,11.1,14.5,1.3,0.0,12.5,14.4,0.1,0.053,-2.8,2.0,0.101,4.8,-3.3,-3.1,24.7,0.067,-1.1,8.7,-0.0088,-0.0456,0.0207,0.0193,0.03
Marquis Teague,24.0,3.0,74.0,0.302,0.25,0.313,1.5,8.0,24.7,2.7,0.0,14.2,12.9,-0.1,-0.038,-7.3,2.0,-0.004,-2.7,-6.7,0.8,-6.3,0.023,1.4,5.7,-0.0131,-0.0338,0.0206,-0.0643,-0.099
Brice Johnson,23.0,9.0,60.0,0.418,0.0,0.097,13.2,21.7,3.0,2.5,6.2,3.0,24.9,0.0,0.028,-7.0,2.0,-0.073,11.7,3.5,4.7,-13.8,0.119,2.3,15.6,-0.0207,-0.1062,0.0205,-0.0784,-0.098
Vince Hunter,23.0,4.0,7.0,0.6,0.0,0.0,32.3,16.9,0.0,0.0,13.4,16.7,38.5,0.0,0.097,-9.0,0.0,-0.079,27.7,3.5,-2.5,15.2,0.027,15.2,-19.1,-0.0108,-0.132,0.0211,-0.0247,-0.004
