Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Jonathon Simmons,28.0,69.0,2029.0,0.555,0.268,0.317,3.3,9.7,13.3,1.4,0.6,14.4,22.0,1.9,0.045,-2.3,52.0,0.023,-0.6,-0.8,1.5,1.7,0.026,-1.7,6.0,-0.0605,0.0189,0.0013,0.0047,0.199
Aaron Gordon,22.0,58.0,1909.0,0.53,0.395,0.26,5.0,21.5,11.7,1.5,1.9,10.0,24.7,2.9,0.072,0.0,48.0,0.016,1.0,2.9,-0.9,3.4,0.011,0.4,-1.5,0.0481,0.0258,-0.0052,0.1407,5.596
Evan Fournier,25.0,57.0,1837.0,0.577,0.418,0.216,1.4,9.5,14.8,1.3,0.7,9.8,23.3,3.3,0.087,-0.4,47.0,0.04,-1.7,-0.2,-0.6,5.4,0.022,0.2,2.9,0.0113,0.0239,0.005,0.1272,4.868
D.J. Augustin,30.0,75.0,1760.0,0.615,0.504,0.35,1.9,8.2,24.4,1.5,0.0,16.5,18.6,4.1,0.11,-0.9,45.0,-0.016,-1.0,1.6,0.0,-2.1,-0.02,-0.2,-4.5,0.0449,0.0028,0.0085,0.1662,6.094
Nikola Vucevic,27.0,57.0,1683.0,0.533,0.243,0.112,6.6,27.8,19.9,1.6,3.0,11.0,25.9,3.6,0.102,2.7,43.0,0.032,-4.3,4.7,-1.6,3.6,0.008,1.0,-2.6,0.0613,0.0171,-0.0199,0.1605,5.628
Mario Hezonja,22.0,75.0,1657.0,0.544,0.433,0.17,2.7,16.1,10.0,2.4,1.5,11.5,19.9,2.3,0.066,-0.8,42.0,0.005,0.4,-3.1,1.4,0.0,0.004,0.0,2.5,-0.0302,-0.0015,-0.0097,0.0246,0.849
Bismack Biyombo,25.0,82.0,1495.0,0.556,0.003,0.446,10.5,24.0,6.5,0.7,5.1,16.6,14.9,2.9,0.094,-1.6,38.0,-0.045,3.6,-5.3,2.9,-8.1,0.004,-1.3,4.2,-0.1259,-0.0142,-0.0305,-0.0766,-2.386
Shelvin Mack,27.0,69.0,1365.0,0.518,0.336,0.234,1.8,11.6,29.5,1.9,0.5,16.3,17.6,2.0,0.069,-2.4,35.0,-0.005,1.4,0.0,0.2,-0.4,-0.019,0.7,-3.9,0.0462,-0.0102,0.0073,0.1123,3.194
Elfrid Payton,23.0,44.0,1257.0,0.564,0.146,0.249,4.1,11.2,35.5,2.5,1.0,18.3,21.8,2.7,0.104,1.1,32.0,0.019,3.0,-1.2,-0.7,4.8,0.05,-0.2,9.1,-0.0506,0.0117,0.0094,0.0745,1.951
Wesley Iwundu,23.0,62.0,1020.0,0.48,0.211,0.216,3.9,11.0,7.8,1.6,0.9,11.2,11.6,0.7,0.032,-3.5,26.0,-0.04,1.4,2.1,-0.5,-4.1,-0.009,1.5,-3.8,0.0132,-0.024,0.0115,0.0327,0.695
Arron Afflalo,32.0,53.0,682.0,0.516,0.432,0.16,0.6,10.1,6.2,0.3,1.1,10.8,12.5,0.1,0.009,-5.8,17.0,-0.001,-2.5,-2.6,1.1,-2.0,-0.032,-1.7,-0.6,-0.0017,-0.0422,0.0099,-0.025,-0.355
Marreese Speights,30.0,52.0,675.0,0.539,0.668,0.158,3.4,18.4,9.8,0.6,2.6,9.7,26.9,0.6,0.045,-2.8,17.0,0.002,-0.6,-2.0,-1.0,2.2,-0.055,-1.3,-4.1,0.0387,-0.0418,0.0047,0.0466,0.655
Terrence Ross,26.0,24.0,600.0,0.505,0.487,0.188,1.8,11.6,9.3,2.2,1.5,12.3,17.3,0.3,0.025,-2.1,15.0,0.018,-2.6,-0.3,-0.6,0.5,-0.002,1.9,-1.3,0.0094,-0.0049,0.0146,0.0441,0.551
