Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Ben Simmons,21.0,81.0,2732.0,0.557,0.011,0.342,5.9,19.5,37.4,2.5,2.1,19.5,22.3,9.2,0.162,4.6,69.0,0.04,2.1,-0.6,0.2,5.4,-0.006,1.4,-1.6,0.0249,0.025,-0.008,0.2039,11.605
Robert Covington,27.0,80.0,2532.0,0.563,0.658,0.163,2.4,15.5,8.7,2.6,2.4,12.3,17.2,6.1,0.116,2.5,64.0,0.039,2.7,4.6,-0.2,6.6,-0.018,2.4,-8.2,0.106,0.0198,0.0108,0.2526,13.325
Dario Saric,23.0,78.0,2310.0,0.582,0.448,0.233,7.5,16.4,13.0,1.1,0.7,13.1,20.9,6.6,0.137,1.4,58.0,0.014,2.9,1.8,0.3,3.9,0.006,-0.3,0.3,-8.0E-4,0.0144,-0.0033,0.1473,7.089
J.J. Redick,33.0,70.0,2116.0,0.614,0.523,0.248,0.5,8.3,15.1,0.8,0.2,9.6,21.7,6.6,0.15,0.0,54.0,0.027,-0.4,0.6,-0.4,6.0,-0.004,-1.4,0.1,0.0152,0.0148,0.0102,0.1902,8.385
Joel Embiid,23.0,63.0,1912.0,0.573,0.203,0.442,8.4,29.7,18.0,1.0,4.8,15.6,33.4,6.2,0.155,2.6,48.0,0.024,-0.9,-1.0,-1.1,7.6,-0.037,-1.6,-5.1,0.0764,0.014,-0.0316,0.2138,8.516
T.J. McConnell,25.0,76.0,1706.0,0.545,0.147,0.093,2.4,11.5,24.5,2.6,0.6,20.4,13.8,3.8,0.108,-0.7,43.0,-0.034,-2.6,-3.0,1.3,-7.3,0.008,-0.8,3.9,-0.1212,-0.0066,-0.0084,-0.0282,-1.002
Amir Johnson,30.0,74.0,1171.0,0.575,0.123,0.327,11.8,18.3,13.9,1.8,3.1,15.6,12.8,4.1,0.169,2.9,30.0,-0.003,0.7,3.6,2.2,-5.3,0.017,2.2,-0.4,-0.0547,-0.0313,-0.0073,0.0757,1.847
Jerryd Bayless,29.0,39.0,925.0,0.546,0.557,0.168,1.8,7.3,8.0,1.2,0.5,14.1,15.1,1.1,0.055,-2.7,23.0,-0.024,-1.1,-1.3,1.9,-6.3,0.021,0.5,5.1,-0.0783,-0.0097,0.013,-0.02,-0.385
Timothe Luwawu-Cabarrot,22.0,52.0,807.0,0.511,0.592,0.217,1.9,7.5,9.3,0.7,0.5,11.5,17.5,0.8,0.046,-4.7,20.0,-0.041,0.4,-1.3,0.2,-4.7,-0.009,-0.3,1.3,-0.052,-0.0361,0.0139,-0.0282,-0.474
Richaun Holmes,24.0,48.0,746.0,0.585,0.129,0.232,8.6,21.4,12.3,1.3,3.2,8.6,16.6,2.8,0.183,1.7,19.0,-0.017,0.1,-2.6,-0.3,-2.4,0.02,-1.3,5.6,-0.065,-0.0368,-0.0017,0.0795,1.236
