Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
CJ McCollum,26.0,81.0,2923.0,0.536,0.316,0.166,2.0,9.9,15.8,1.3,1.0,8.6,26.5,6.6,0.108,0.4,74.0,-0.004,-0.7,1.1,-2.6,0.7,0.02,0.4,2.9,-0.0371,0.0303,0.0127,0.1139,6.936
Damian Lillard,27.0,73.0,2670.0,0.594,0.445,0.38,2.6,10.6,30.9,1.4,0.8,11.1,30.6,12.6,0.227,6.7,68.0,0.015,-0.9,1.7,-2.2,6.6,-0.007,0.7,-2.9,0.082,0.0303,0.0107,0.35,19.469
Jusuf Nurkic,23.0,79.0,2088.0,0.528,0.007,0.287,10.0,26.9,11.7,1.5,4.3,14.6,26.4,4.7,0.108,0.3,53.0,-0.006,-1.6,0.1,-0.4,-2.0,-0.005,1.0,-4.1,0.0322,0.0056,-0.0316,0.1142,4.968
Al-Farouq Aminu,27.0,69.0,2072.0,0.522,0.582,0.137,5.2,22.3,5.8,1.9,1.6,11.3,14.8,4.2,0.097,1.1,52.0,0.005,-1.2,-0.6,-2.5,3.5,0.002,1.5,-1.1,0.0388,0.0139,-0.0155,0.1342,5.793
Evan Turner,29.0,79.0,2034.0,0.52,0.229,0.185,1.6,11.4,12.4,1.1,1.2,13.7,15.6,2.6,0.061,-1.8,51.0,-0.037,-0.5,-2.0,0.2,-5.9,-0.002,-0.6,1.8,-0.0941,0.0036,0.0016,-0.0279,-1.182
Shabazz Napier,26.0,74.0,1535.0,0.544,0.411,0.26,1.9,10.1,14.6,2.6,0.7,13.2,19.5,3.2,0.101,0.2,39.0,-0.002,0.4,-2.5,0.5,-0.4,-0.007,0.2,-1.3,0.0053,-0.0127,0.0056,0.0992,3.172
Pat Connaughton,25.0,82.0,1488.0,0.539,0.538,0.113,2.7,9.1,8.7,0.8,1.2,9.5,13.4,2.5,0.08,-1.3,38.0,0.01,1.8,1.2,0.0,2.0,-0.011,-1.9,0.3,0.0059,-0.0211,0.0147,0.0795,2.465
Ed Davis,28.0,78.0,1471.0,0.607,0.003,0.38,13.7,28.8,3.9,1.1,2.9,16.2,12.1,5.0,0.164,0.0,37.0,0.003,4.6,-1.5,0.9,2.0,-0.019,-0.6,-0.2,0.0123,-0.0189,-0.0269,0.1305,3.999
Maurice Harkless,24.0,59.0,1264.0,0.596,0.397,0.199,4.0,9.9,6.0,1.9,2.8,11.0,12.6,3.2,0.123,1.8,32.0,0.003,0.2,-0.3,2.1,-2.3,0.017,1.5,1.4,-0.0417,-0.0128,0.0101,0.0786,2.07
Zach Collins,20.0,66.0,1045.0,0.475,0.391,0.145,4.7,18.2,7.1,0.8,2.4,15.9,15.4,0.6,0.03,-3.2,26.0,0.027,0.9,1.0,1.0,2.6,-0.001,-2.8,3.3,-0.0252,-0.0326,0.0046,-0.0232,-0.505
Noah Vonleh,22.0,33.0,476.0,0.543,0.063,0.323,8.1,30.0,3.8,0.6,1.9,12.0,11.5,1.2,0.117,-3.3,12.0,-0.017,-1.8,3.3,1.8,-6.2,-0.008,-1.7,-1.3,-0.0204,-0.0458,0.0112,0.062,0.615
Meyers Leonard,25.0,33.0,254.0,0.676,0.333,0.141,5.2,24.7,10.6,1.4,0.0,10.8,16.1,1.1,0.2,0.9,6.0,0.01,-8.3,4.2,0.1,-3.2,0.065,0.6,8.7,-0.0324,-0.0899,0.0181,0.0958,0.507
Caleb Swanigan,20.0,27.0,189.0,0.449,0.133,0.3,8.7,22.3,10.8,1.3,1.3,20.9,20.0,0.0,-0.003,-5.4,5.0,-0.032,3.8,-0.2,4.6,-6.5,0.002,1.9,-3.6,-0.0101,-0.0999,0.0215,-0.0915,-0.36
Jake Layman,23.0,35.0,160.0,0.352,0.426,0.064,2.8,8.1,9.4,1.9,2.0,9.4,14.6,-0.1,-0.021,-5.0,4.0,-0.002,-3.5,-2.6,4.0,-6.9,0.023,0.4,4.2,-0.0222,-0.1208,0.0229,-0.1411,-0.47
Wade Baldwin,21.0,7.0,80.0,0.748,0.238,0.476,1.4,9.5,9.8,1.2,1.0,13.6,16.1,0.3,0.187,0.0,2.0,0.062,-2.7,7.6,4.9,-1.1,0.05,2.2,-2.7,-0.0082,-0.0751,0.0256,0.1293,0.216
Georgios Papagiannis,20.0,1.0,4.0,1.0,0.0,0.0,27.5,0.0,0.0,24.9,0.0,0.0,11.0,0.1,0.675,34.1,0.0,0.267,26.8,-4.1,-14.1,77.7,-0.503,36.9,-107.0,-0.0089,-0.1343,0.0258,0.5576,0.046
