Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
DeMar DeRozan,28.0,80.0,2711.0,0.555,0.203,0.396,2.5,10.4,25.0,1.5,0.6,9.5,29.6,9.6,0.17,1.8,69.0,-0.015,2.3,2.9,-2.5,3.4,0.021,-3.7,6.1,-0.0445,0.0308,0.0178,0.1741,9.833
Kyle Lowry,31.0,78.0,2510.0,0.598,0.631,0.276,3.0,16.1,30.9,1.7,0.6,14.7,21.7,10.2,0.194,5.9,63.0,0.007,0.0,3.5,0.5,1.3,0.011,-1.7,2.2,-0.0131,0.0264,0.0056,0.2129,11.133
Serge Ibaka,28.0,76.0,2093.0,0.574,0.379,0.151,4.3,21.0,4.4,0.7,3.8,9.7,19.4,5.1,0.117,-0.2,53.0,-0.001,-0.2,3.4,-0.4,1.0,0.002,-3.8,3.0,-0.029,0.0141,-0.0051,0.097,4.23
Jonas Valanciunas,25.0,77.0,1727.0,0.628,0.108,0.307,12.1,30.3,7.5,0.8,3.2,12.9,22.7,7.6,0.21,1.5,44.0,-0.001,2.0,2.7,0.4,1.0,0.011,-4.4,4.9,-0.0569,-0.001,-0.0267,0.1254,4.512
Pascal Siakam,23.0,81.0,1679.0,0.549,0.265,0.175,5.4,18.6,13.5,1.8,2.0,11.1,15.7,4.7,0.133,2.1,42.0,0.02,-0.8,-2.1,0.5,1.5,-0.007,2.6,-2.4,0.0567,-0.0061,-0.0153,0.1683,5.887
Jakob Poeltl,22.0,82.0,1524.0,0.662,0.005,0.263,12.4,16.4,5.4,1.3,5.2,16.6,14.8,5.6,0.176,3.3,38.0,0.006,1.8,-1.2,0.3,0.9,0.005,2.1,-0.2,0.0173,-0.0136,-0.0144,0.1653,5.248
Fred VanVleet,23.0,76.0,1520.0,0.556,0.479,0.185,1.9,11.5,22.8,2.2,1.0,11.2,19.1,4.7,0.149,1.9,38.0,-0.001,0.4,-2.1,-1.5,2.5,-0.027,2.6,-4.8,0.0965,-0.0093,0.0039,0.2401,7.603
OG Anunoby,20.0,74.0,1481.0,0.587,0.569,0.179,3.4,10.4,5.0,1.7,0.8,10.8,12.4,3.0,0.098,0.6,37.0,0.014,0.6,2.4,0.7,2.0,-0.003,-1.6,-2.4,0.0569,-0.0095,0.0123,0.1577,4.866
Delon Wright,25.0,69.0,1433.0,0.574,0.354,0.271,3.6,11.7,19.6,2.5,1.8,13.9,17.2,4.5,0.152,2.8,36.0,-0.007,1.0,-3.0,0.8,-1.3,-0.003,2.8,-2.0,0.0205,-0.0076,0.0025,0.1674,4.998
C.J. Miles,30.0,70.0,1337.0,0.545,0.758,0.162,1.5,11.0,6.0,1.4,1.3,5.7,22.3,2.9,0.103,-0.5,34.0,-0.018,-1.7,-4.5,-1.1,-2.3,-0.013,2.0,-1.6,0.0065,-0.0133,-6.0E-4,0.0956,2.663
Norman Powell,24.0,70.0,1062.0,0.492,0.497,0.104,1.5,10.9,11.8,1.7,1.2,14.4,18.9,0.6,0.027,-2.8,27.0,-0.01,-3.9,-2.6,1.7,-7.8,0.023,1.4,3.1,-0.0879,-0.0291,0.0022,-0.0878,-1.943
Lucas Nogueira,25.0,49.0,418.0,0.661,0.238,0.35,4.9,18.1,7.2,2.7,8.2,14.8,11.4,1.6,0.188,5.4,11.0,0.002,-7.2,-2.8,-1.0,-5.0,-0.022,4.4,-7.8,0.0266,-0.0725,0.0088,0.1509,1.314
Lorenzo Brown,27.0,14.0,139.0,0.459,0.353,0.059,0.8,11.1,12.4,1.8,0.0,7.9,11.9,0.2,0.06,-3.0,3.0,0.035,-1.9,4.2,3.6,-3.8,-0.069,2.4,-14.7,0.0147,-0.0726,0.0247,0.0268,0.078
Malcolm Miller,24.0,15.0,126.0,0.638,0.75,0.143,3.6,9.6,3.2,0.4,1.3,14.4,12.1,0.2,0.087,-2.0,3.0,-0.032,10.6,5.5,4.2,-4.8,0.025,0.4,-1.1,0.0041,-0.0838,0.026,0.0333,0.087
Alfonzo McKinnie,25.0,14.0,53.0,0.643,0.6,0.2,2.2,12.4,2.7,0.9,1.5,15.5,16.0,0.1,0.084,-3.1,1.0,0.046,-9.2,-11.8,0.7,-2.9,-0.001,-1.4,8.8,0.003,-0.124,0.0243,-0.0127,-0.014
Bruno Caboclo,22.0,2.0,7.0,0.0,1.0,0.0,0.0,15.7,16.7,7.0,0.0,0.0,12.5,0.0,-0.113,-2.4,0.0,-0.134,39.5,12.4,-6.0,8.8,-0.293,-0.4,-63.5,0.0057,-0.1281,0.0254,-0.21,-0.031
Nigel Hayes,23.0,2.0,6.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,21.9,0.0,0.018,8.0,0.0,0.128,-23.1,-2.6,11.3,-14.4,-0.072,12.6,-33.7,0.0057,-0.129,0.0254,-0.0799,-0.01
Malachi Richardson,22.0,1.0,5.0,0.5,0.5,0.0,0.0,22.0,0.0,0.0,0.0,0.0,17.5,0.0,0.045,-11.5,0.0,-0.165,-23.1,22.4,6.3,-54.4,0.444,-14.7,93.8,0.0057,-0.1276,0.0254,-0.0515,-0.005
