Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Donovan Mitchell,21.0,79.0,2638.0,0.541,0.404,0.218,2.3,10.4,19.4,2.2,0.9,12.6,29.1,5.2,0.095,1.1,67.0,0.015,1.7,0.6,0.0,4.1,-0.004,0.7,-2.9,0.0627,0.0249,0.0098,0.1924,10.574
Joe Ingles,30.0,82.0,2578.0,0.623,0.646,0.116,1.1,13.9,22.9,1.8,0.7,17.4,15.9,7.6,0.141,3.1,65.0,0.025,-0.2,-0.4,0.6,2.7,0.011,0.0,2.2,-0.014,0.0205,7.0E-4,0.1482,7.96
Ricky Rubio,27.0,77.0,2254.0,0.537,0.33,0.307,2.2,15.3,28.4,2.7,0.4,18.1,22.9,5.3,0.112,1.7,57.0,-0.003,-0.1,-1.2,0.4,-0.6,0.016,2.3,-0.5,-0.0073,0.0143,-0.0052,0.1138,5.344
Derrick Favors,26.0,77.0,2153.0,0.593,0.09,0.306,10.6,18.5,7.8,1.3,3.2,9.9,18.5,8.0,0.179,2.7,55.0,0.02,3.3,0.4,1.8,0.5,0.021,-1.1,2.4,-0.0377,0.0108,-0.0126,0.1395,6.257
Rudy Gobert,25.0,56.0,1816.0,0.657,0.0,0.673,10.4,27.0,6.9,1.2,6.0,15.7,16.9,8.1,0.214,4.3,46.0,0.003,1.9,1.3,1.7,1.2,-0.029,0.5,-6.8,0.0824,0.0189,-0.0187,0.2966,11.221
Royce O'Neale,24.0,69.0,1150.0,0.54,0.415,0.268,2.5,20.6,12.0,1.6,1.2,14.8,14.6,2.4,0.099,-0.6,29.0,-0.009,4.6,2.2,-0.4,1.8,-0.038,-1.1,-5.7,0.0674,-0.0275,0.0064,0.1453,3.481
Jonas Jerebko,30.0,74.0,1134.0,0.586,0.46,0.167,5.4,19.1,5.7,1.1,0.9,6.9,15.6,3.4,0.144,-0.6,29.0,0.002,2.9,0.1,-0.2,1.7,0.008,-1.1,3.6,-0.0369,-0.0325,-0.0018,0.0728,1.72
Rodney Hood,25.0,39.0,1084.0,0.551,0.475,0.176,1.5,10.1,10.4,1.4,0.5,9.6,27.3,1.9,0.085,-1.6,27.0,-0.013,-4.9,-0.7,-0.7,-4.1,0.036,-0.7,7.9,-0.0931,0.003,0.0067,0.0016,0.036
Alec Burks,26.0,64.0,1059.0,0.527,0.343,0.3,2.1,18.4,10.0,1.8,0.6,11.4,22.5,1.9,0.084,-2.8,27.0,-0.004,-3.5,1.2,-1.6,-1.1,0.024,-1.5,5.4,-0.0711,-0.0287,-0.0024,-0.0182,-0.402
Ekpe Udoh,30.0,63.0,810.0,0.56,0.008,0.467,9.6,11.4,9.1,2.7,7.7,12.1,9.1,3.2,0.187,5.7,20.0,-0.005,-4.4,0.8,-1.7,-1.1,0.004,1.6,-0.3,-0.0123,-0.0459,5.0E-4,0.1293,2.182
