Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Bradley Beal,24.0,82.0,2977.0,0.564,0.357,0.249,2.3,11.5,21.0,1.6,1.1,11.5,27.6,6.9,0.112,1.7,75.0,0.028,-3.6,-3.4,-0.6,2.4,-0.035,0.6,-4.6,0.0464,0.0309,0.0013,0.1906,11.821
Otto Porter,24.0,77.0,2432.0,0.602,0.354,0.145,4.8,18.1,10.1,2.4,1.5,7.4,18.4,8.1,0.161,3.6,61.0,0.044,-1.3,0.0,-0.7,6.6,-0.016,0.8,-4.6,0.0952,0.019,-0.0068,0.2684,13.599
Kelly Oubre,22.0,81.0,2231.0,0.534,0.467,0.295,3.0,15.4,6.4,1.8,1.4,9.2,19.4,3.7,0.08,-1.2,56.0,-0.024,1.1,-1.1,0.7,-2.5,0.01,0.2,3.7,-0.0862,0.0089,3.0E-4,0.003,0.139
Marcin Gortat,33.0,82.0,2075.0,0.546,0.0,0.291,9.9,24.0,10.6,1.0,2.6,13.5,15.5,4.9,0.113,0.3,52.0,0.011,-1.8,-0.1,-0.8,-0.9,-0.01,0.0,-3.4,0.0216,0.0027,-0.0274,0.1099,4.751
Markieff Morris,28.0,73.0,1968.0,0.566,0.301,0.186,4.3,19.2,11.0,1.4,1.7,14.6,19.5,3.3,0.08,-0.5,50.0,0.018,-2.6,-0.9,0.2,0.5,-0.003,-1.0,1.1,-0.0255,0.0062,-0.0127,0.048,1.968
Tomas Satoransky,26.0,73.0,1643.0,0.615,0.263,0.25,5.0,11.1,24.8,1.6,0.8,16.3,13.7,5.0,0.145,1.1,41.0,0.005,2.2,1.9,0.7,0.8,-0.013,-0.9,-2.3,0.0188,-0.0071,0.0128,0.1695,5.802
John Wall,27.0,41.0,1410.0,0.515,0.25,0.361,1.8,10.2,44.5,2.0,2.8,17.0,29.1,2.7,0.092,1.5,36.0,0.02,-1.9,-2.2,-1.1,3.3,-0.017,0.3,-1.9,0.0199,0.0188,0.0103,0.141,4.142
Mike Scott,29.0,76.0,1406.0,0.599,0.311,0.145,4.0,15.8,9.1,0.8,0.6,12.4,20.0,2.5,0.085,-2.3,35.0,-0.008,1.8,0.8,0.2,-0.8,0.01,-0.2,2.2,-0.0479,-0.0205,0.0059,0.0225,0.659
Ian Mahinmi,31.0,77.0,1145.0,0.601,0.008,0.516,13.4,17.4,6.6,1.6,3.2,24.7,15.6,2.2,0.093,-0.7,29.0,-0.01,6.5,1.3,2.1,1.1,0.0,0.4,-0.6,-0.0016,-0.0353,0.0029,0.059,1.407
Jodie Meeks,30.0,77.0,1119.0,0.548,0.534,0.298,1.5,11.2,9.1,1.3,0.3,7.7,19.0,2.0,0.087,-2.8,28.0,-0.043,1.3,1.0,0.2,-4.2,0.026,-0.2,4.2,-0.089,-0.0369,0.0161,-0.0228,-0.532
Tim Frazier,27.0,59.0,838.0,0.475,0.326,0.174,2.4,13.1,31.1,2.8,0.7,23.5,12.8,1.4,0.08,-2.1,21.0,-0.026,-0.5,2.0,-0.9,-3.6,0.031,0.7,2.1,-0.0497,-0.0411,0.016,0.0052,0.091
Jason Smith,31.0,33.0,285.0,0.455,0.278,0.183,7.2,13.9,7.4,0.5,4.0,11.4,21.7,0.0,0.003,-6.0,7.0,-0.057,-4.8,0.0,0.2,-10.5,0.018,-0.3,5.1,-0.0426,-0.0809,0.0206,-0.0999,-0.593
Ramon Sessions,31.0,15.0,225.0,0.533,0.234,0.656,2.5,7.5,31.1,1.5,0.4,15.4,19.1,0.5,0.116,-3.7,6.0,-0.009,0.3,3.8,-0.4,-1.6,0.081,-1.1,12.9,-0.0339,-0.0511,0.0268,0.0578,0.271
Chris McCullough,22.0,19.0,90.0,0.478,0.19,0.333,8.8,22.6,7.1,0.0,4.9,4.0,24.6,0.2,0.081,-5.7,2.0,-0.048,5.2,0.9,1.3,-3.7,0.023,-2.5,4.5,-0.0193,-0.1244,0.0261,-0.0366,-0.069
Devin Robinson,22.0,1.0,13.0,0.333,0.0,0.0,17.4,26.0,0.0,3.8,0.0,0.0,10.2,0.0,0.098,-8.2,0.0,-0.072,16.6,23.0,-11.7,3.9,-0.111,7.7,-20.7,-0.0158,-0.0844,0.0275,0.0253,0.007
