Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Justin Holiday,28.0,72.0,2265.0,0.513,0.574,0.21,1.4,12.8,10.1,1.7,1.2,9.8,18.2,1.7,0.036,-1.3,57.0,0.022,-2.7,3.7,-1.4,2.5,-0.016,-0.6,-4.2,0.0767,0.0222,0.0046,0.1395,6.583
Denzel Valentine,24.0,77.0,2095.0,0.527,0.513,0.071,2.4,18.3,17.8,1.5,0.5,11.8,17.5,2.5,0.057,-0.5,53.0,-0.003,1.4,0.5,1.0,-1.5,-0.01,0.1,-2.0,0.0064,0.0117,-0.0041,0.071,3.099
Lauri Markkanen,20.0,68.0,2020.0,0.552,0.465,0.193,4.0,23.7,6.4,0.9,1.8,8.2,21.9,3.3,0.079,-1.9,51.0,0.003,-1.5,2.3,1.6,-2.0,0.005,-1.6,1.4,-0.0486,0.0171,-0.0142,0.0333,1.401
Robin Lopez,29.0,64.0,1690.0,0.552,0.022,0.14,8.2,10.3,12.3,0.4,2.8,13.5,20.4,1.9,0.055,-1.9,43.0,0.004,-3.1,3.6,-0.7,-2.1,-0.017,-1.5,-3.9,0.0255,0.0075,-9.0E-4,0.0871,3.067
Jerian Grant,25.0,74.0,1686.0,0.528,0.372,0.374,1.9,9.3,30.1,1.8,0.4,13.2,17.4,3.3,0.094,-2.0,42.0,-0.006,-0.3,-1.3,0.2,-0.2,-0.009,-1.1,0.1,-0.0124,-0.0018,0.0038,0.0836,2.936
David Nwaba,25.0,70.0,1646.0,0.542,0.123,0.48,5.6,16.0,9.4,1.7,1.6,13.1,15.6,2.4,0.071,-1.6,41.0,-0.004,4.4,-1.8,0.7,2.4,-0.001,0.4,0.4,0.0081,-1.0E-4,-0.0021,0.0769,2.637
Bobby Portis,22.0,73.0,1643.0,0.548,0.275,0.192,10.0,23.0,13.2,1.5,1.3,10.5,26.0,3.5,0.101,0.3,41.0,0.02,4.0,-1.8,-1.7,8.8,0.007,1.6,0.9,0.0632,-0.0028,-0.019,0.1424,4.874
Kris Dunn,23.0,52.0,1525.0,0.488,0.201,0.171,1.6,14.4,33.3,3.3,1.6,17.3,24.7,0.8,0.027,-0.1,38.0,0.014,-3.3,1.4,0.3,-1.2,0.013,-0.1,1.8,-0.04,0.0132,0.0014,0.0016,0.051
Cristiano Felicio,25.0,55.0,977.0,0.614,0.009,0.377,8.8,17.1,8.4,0.8,1.0,17.7,13.6,1.7,0.086,-2.4,25.0,-0.044,1.1,-1.9,2.1,-9.9,0.019,1.0,3.5,-0.1077,-0.0224,-0.0026,-0.0467,-0.951
Paul Zipser,23.0,54.0,824.0,0.445,0.47,0.107,1.6,16.0,8.0,1.2,1.6,14.9,15.2,-0.6,-0.034,-5.9,21.0,-0.012,-3.0,-4.5,0.4,-4.9,0.003,0.7,1.7,-0.0515,-0.0329,0.0,-0.1184,-2.033
Zach LaVine,22.0,24.0,656.0,0.499,0.346,0.301,1.4,14.4,18.6,1.8,0.5,9.7,29.5,0.3,0.025,-2.7,17.0,-0.009,-1.5,0.9,-1.8,0.1,0.037,-0.8,6.8,-0.0417,-8.0E-4,0.0148,-0.0027,-0.037
Nikola Mirotic,26.0,25.0,622.0,0.624,0.533,0.262,3.0,25.3,11.0,1.2,1.9,8.4,25.7,2.0,0.158,1.9,16.0,0.036,1.6,-2.2,-1.9,11.0,-0.026,-0.1,-2.5,0.0375,-0.0072,0.0094,0.1977,2.562
Cameron Payne,23.0,25.0,582.0,0.498,0.423,0.074,3.2,9.8,29.9,2.2,1.4,14.0,19.3,0.8,0.063,-0.9,15.0,-0.002,4.6,-0.4,0.8,0.7,0.015,1.6,1.3,-0.0127,-0.0119,0.0193,0.0577,0.7
Noah Vonleh,22.0,21.0,399.0,0.484,0.435,0.196,9.1,30.4,8.0,1.6,1.3,9.6,18.1,0.5,0.059,-2.8,10.0,-0.022,3.6,-3.9,-1.1,1.8,-0.025,1.0,-2.9,0.0029,-0.0279,0.0114,0.0454,0.377
Antonio Blakeney,21.0,19.0,314.0,0.471,0.364,0.273,1.3,10.3,10.1,1.1,0.3,6.4,23.7,0.0,-0.006,-6.8,8.0,0.0,1.1,-2.2,-3.7,7.4,-0.016,-0.8,0.8,3.0E-4,-0.0382,0.0196,-0.0243,-0.159
Ryan Arcidiacono,23.0,24.0,304.0,0.55,0.756,0.146,0.3,8.8,15.5,2.1,0.0,23.0,8.1,0.3,0.04,-4.1,8.0,-0.007,-1.7,-0.2,0.0,-2.4,-0.011,2.4,-5.1,-1.0E-4,-0.0533,0.0196,0.0062,0.039
Sean Kilpatrick,28.0,9.0,214.0,0.574,0.449,0.299,1.4,11.5,10.5,1.4,1.3,9.0,27.1,0.4,0.083,-2.3,5.0,0.006,-2.3,1.3,0.3,-0.1,0.032,2.5,1.8,-0.0108,-0.0226,0.0211,0.0707,0.315
Quincy Pondexter,29.0,23.0,196.0,0.398,0.449,0.347,4.2,10.8,6.3,2.0,0.9,16.3,15.0,-0.2,-0.047,-6.7,5.0,-0.074,-2.6,2.1,2.5,-15.7,0.005,-0.8,1.6,-0.0283,-0.0808,0.02,-0.1361,-0.556
Kay Felder,22.0,14.0,134.0,0.386,0.273,0.182,0.8,10.8,23.0,1.1,0.7,17.4,28.0,-0.5,-0.168,-11.5,3.0,-0.044,-2.4,2.0,1.5,-11.6,0.02,0.5,-1.1,-0.014,-0.0766,0.0215,-0.2371,-0.662
Omer Asik,31.0,4.0,61.0,0.311,0.0,0.167,3.4,14.6,2.1,0.8,2.9,38.3,7.4,-0.1,-0.077,-8.0,2.0,0.068,-6.0,0.2,7.0,-3.6,0.085,-0.2,10.6,-0.0126,-0.0592,0.0217,-0.1271,-0.162
Jarell Eddie,26.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,-0.373,-18.3,0.0,0.217,46.2,19.5,-14.2,95.8,-0.542,36.3,-78.7,-0.009,-0.1311,0.0224,-0.4907,-0.031
