Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Kemba Walker,27.0,80.0,2736.0,0.572,0.441,0.308,1.2,8.7,27.4,1.6,0.7,10.4,27.4,8.5,0.15,3.2,69.0,0.055,1.4,-0.5,0.7,8.8,-0.012,-0.4,-2.1,0.0844,0.0291,0.0139,0.2774,15.812
Dwight Howard,32.0,81.0,2463.0,0.577,0.008,0.639,11.0,33.8,7.1,1.0,4.4,15.1,24.2,6.8,0.132,-0.3,62.0,0.038,2.8,-1.6,3.2,2.9,-0.015,-1.6,-0.7,0.0226,0.0199,-0.0361,0.1384,7.102
Marvin Williams,31.0,78.0,2006.0,0.603,0.542,0.218,3.9,16.2,7.0,1.4,1.6,9.7,14.8,5.0,0.119,1.7,51.0,0.03,2.2,-0.9,2.7,1.2,-0.022,-1.1,-2.0,0.0264,0.0067,-0.0021,0.15,6.269
Nicolas Batum,29.0,64.0,1981.0,0.523,0.422,0.2,3.1,13.8,26.2,1.6,1.0,15.6,18.3,3.5,0.084,1.4,50.0,0.022,-0.8,-1.1,1.0,1.2,0.008,-0.8,2.1,-0.0297,0.0188,-0.001,0.0721,2.976
Jeremy Lamb,25.0,80.0,1967.0,0.559,0.305,0.25,2.7,15.4,15.4,1.5,1.4,9.1,22.4,4.9,0.12,0.9,50.0,0.006,0.3,-0.1,-0.6,2.5,0.0,0.0,0.5,0.0036,0.0037,-0.0016,0.1257,5.151
Michael Kidd-Gilchrist,24.0,74.0,1850.0,0.536,0.004,0.305,4.8,13.0,5.9,1.3,1.4,7.8,16.2,3.2,0.084,-1.8,47.0,0.013,1.4,0.7,0.5,1.7,-0.005,-0.4,-2.0,0.0298,0.0041,0.0035,0.1214,4.679
Frank Kaminsky,24.0,79.0,1835.0,0.545,0.383,0.271,2.7,14.5,11.0,1.0,0.9,7.6,20.5,3.6,0.094,-0.9,46.0,-0.019,-2.7,-0.2,-2.8,0.3,0.034,0.9,4.8,-0.078,-6.0E-4,-0.0061,0.0093,0.356
Treveon Graham,24.0,63.0,1050.0,0.553,0.439,0.267,4.3,8.3,7.8,1.5,0.2,9.9,11.3,1.8,0.08,-0.9,26.0,-0.032,-1.4,1.1,-1.1,-4.1,0.013,1.3,1.1,-0.0505,-0.0263,0.0117,0.0149,0.326
Malik Monk,19.0,63.0,854.0,0.477,0.572,0.089,1.0,7.5,16.9,1.1,0.9,9.8,24.9,0.0,0.001,-4.4,22.0,-0.036,-4.3,-1.2,-0.5,-8.6,0.027,-0.5,6.8,-0.1222,-0.0402,0.0106,-0.1508,-2.683
Michael Carter-Williams,26.0,52.0,835.0,0.446,0.258,0.389,4.7,13.3,19.4,2.6,2.3,16.2,16.6,0.9,0.05,-0.6,21.0,-0.054,3.8,0.1,-1.3,-4.0,0.007,2.0,-0.1,-0.0327,-0.0307,0.0147,0.0013,0.023
Dwayne Bacon,22.0,53.0,713.0,0.431,0.224,0.13,0.6,18.5,7.5,1.1,0.2,10.2,13.7,-0.1,-0.007,-5.7,18.0,-0.009,-0.5,1.5,0.0,-1.4,-0.023,-0.6,-3.4,0.0039,-0.0424,0.0122,-0.0333,-0.495
Cody Zeller,25.0,33.0,627.0,0.602,0.019,0.545,11.4,19.3,7.4,1.1,2.8,14.6,15.7,1.9,0.145,0.7,16.0,-0.023,0.2,4.0,-1.3,-1.4,-0.006,1.5,-3.2,-0.0019,-0.024,0.012,0.1311,1.712
Johnny O'Bryant,24.0,36.0,379.0,0.47,0.251,0.146,8.1,18.6,5.9,1.2,1.3,7.6,22.5,0.3,0.038,-5.3,10.0,-0.087,-3.3,-0.7,-2.8,-14.6,-0.011,2.0,-2.3,-0.0388,-0.0627,0.0134,-0.0501,-0.396
Willy Hernangomez,23.0,22.0,262.0,0.612,0.084,0.747,15.8,32.4,7.1,1.9,2.9,7.5,19.7,1.5,0.266,2.2,7.0,-0.01,-1.1,-0.4,-2.6,2.7,0.02,0.7,-1.3,-0.007,-0.059,0.0147,0.2147,1.172
Julyan Stone,29.0,23.0,175.0,0.684,1.0,0.154,0.6,17.6,19.2,1.1,1.0,33.5,5.2,0.3,0.087,-1.8,4.0,0.018,-7.7,1.6,-0.8,0.9,-0.031,-0.3,-7.4,-0.0037,-0.0905,0.0217,0.0145,0.053
Marcus Paige,24.0,5.0,28.0,0.403,0.571,0.143,0.0,15.7,16.1,0.0,0.0,0.0,23.0,0.0,-0.006,-6.9,1.0,0.001,6.5,10.5,-5.4,16.4,0.018,-3.1,-1.0,-0.0114,-0.1247,0.0251,-0.117,-0.068
Mangok Mathiang,25.0,4.0,20.0,0.538,0.0,0.143,16.0,38.5,0.0,2.4,0.0,0.0,16.1,0.1,0.183,-9.8,1.0,-0.034,5.7,9.2,7.1,-7.7,-0.133,-1.6,-12.3,-0.0122,-0.1268,0.0245,0.0685,0.029
