Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
LeBron James,33.0,82.0,3026.0,0.621,0.257,0.336,3.7,22.3,44.4,1.9,2.0,16.1,31.6,14.0,0.221,9.6,77.0,0.052,-0.1,0.6,-0.9,8.3,0.032,-0.8,5.9,-0.0045,0.0386,-0.0072,0.2479,15.628
J.R. Smith,32.0,80.0,2244.0,0.534,0.64,0.094,1.5,10.1,8.6,1.5,0.4,11.6,13.8,1.4,0.031,-1.7,57.0,-0.009,1.6,-1.3,0.2,-0.7,0.034,-1.1,6.8,-0.0928,0.0165,0.0036,-0.0417,-1.949
Jeff Green,31.0,78.0,1828.0,0.587,0.275,0.379,3.7,11.2,8.0,1.1,1.6,9.4,19.3,3.9,0.103,-1.9,46.0,-0.006,-2.6,-2.4,-0.2,-1.5,-0.05,0.4,-7.2,0.0771,0.0029,-0.0116,0.1714,6.527
Kevin Love,29.0,59.0,1651.0,0.614,0.453,0.365,7.0,29.8,9.8,1.3,1.2,9.6,25.1,6.4,0.185,1.3,42.0,0.016,0.3,0.0,1.4,1.7,0.026,0.2,2.5,-0.0159,0.0131,-0.0255,0.1567,5.39
Kyle Korver,36.0,73.0,1574.0,0.652,0.777,0.149,0.7,10.9,8.0,1.0,1.5,9.6,16.0,3.4,0.104,0.1,40.0,0.017,-2.2,0.0,0.0,2.3,-0.048,0.5,-8.6,0.1184,-0.0038,1.0E-4,0.2187,7.172
Jae Crowder,27.0,53.0,1346.0,0.545,0.503,0.245,3.5,10.8,6.0,1.5,0.8,9.2,15.1,1.7,0.059,-1.8,34.0,-0.013,-2.6,-0.4,0.6,-3.7,0.046,1.5,5.4,-0.0751,0.0047,0.0,-0.0114,-0.32
Tristan Thompson,26.0,53.0,1072.0,0.569,0.0,0.336,13.4,23.3,4.3,0.7,1.3,11.8,12.6,2.5,0.113,-2.5,27.0,-0.033,4.9,6.8,0.7,-3.6,0.02,-3.1,3.7,-0.0515,-0.0117,-3.0E-4,0.0495,1.106
Dwyane Wade,36.0,46.0,1069.0,0.519,0.161,0.308,4.2,14.7,23.3,1.9,2.5,15.7,24.3,1.3,0.057,-1.4,27.0,-0.03,1.1,-1.2,0.4,-3.6,-0.035,-0.1,-6.2,0.0281,-0.0033,0.003,0.0848,1.889
Jose Calderon,36.0,57.0,914.0,0.643,0.524,0.162,1.7,8.5,17.4,1.4,0.2,17.1,11.6,1.8,0.095,-1.9,23.0,0.029,-3.7,0.3,0.2,1.3,0.007,1.3,-2.0,0.0209,-0.0269,0.0068,0.0958,1.824
Cedi Osman,22.0,61.0,672.0,0.577,0.468,0.247,3.2,16.6,8.7,1.6,0.4,13.4,15.7,0.9,0.064,-2.9,17.0,0.003,2.1,1.7,0.0,2.3,-0.001,0.2,-1.1,0.0156,-0.0516,0.0091,0.0371,0.519
George Hill,31.0,24.0,669.0,0.551,0.412,0.219,3.4,7.3,14.0,1.6,1.9,12.0,15.4,1.1,0.077,-0.6,17.0,0.027,3.7,2.6,-2.2,9.9,-0.003,-0.7,0.0,0.0251,0.0027,0.0189,0.1237,1.724
