Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Will Barton,27.0,81.0,2683.0,0.562,0.411,0.22,3.0,14.2,18.5,1.5,1.6,11.7,20.7,6.2,0.111,1.0,67.0,-0.007,-0.4,-1.5,0.2,-0.9,-0.016,-0.8,-1.2,-0.0166,0.0206,-0.0028,0.1122,6.272
Jamal Murray,20.0,81.0,2565.0,0.576,0.411,0.238,3.6,9.4,16.4,1.5,0.9,12.8,22.8,5.5,0.103,-0.2,64.0,0.05,-1.1,2.7,-1.8,9.4,0.025,0.0,2.4,0.0335,0.017,0.0083,0.1618,8.646
Nikola Jokic,22.0,75.0,2443.0,0.603,0.277,0.31,9.0,27.9,29.6,1.8,2.1,15.5,24.2,10.7,0.211,7.1,61.0,0.029,2.4,4.3,-1.1,8.0,-0.003,-1.0,-1.8,0.0826,0.0185,-0.0151,0.297,15.116
Wilson Chandler,30.0,74.0,2346.0,0.542,0.39,0.181,4.9,14.1,9.5,0.9,1.4,11.9,14.3,3.3,0.067,-0.9,59.0,0.002,-0.8,1.3,-0.5,0.2,0.011,0.3,-0.5,-0.0157,0.0162,-0.0021,0.0654,3.196
Gary Harris,23.0,67.0,2304.0,0.597,0.434,0.178,1.8,6.8,13.0,2.6,0.5,10.8,20.7,5.5,0.114,0.9,58.0,0.019,-0.3,0.9,-0.1,1.9,0.002,1.9,-3.1,0.0386,0.0216,0.013,0.1872,8.986
Mason Plumlee,27.0,74.0,1439.0,0.586,0.003,0.486,10.4,20.9,14.4,1.7,4.7,18.7,16.6,3.6,0.12,1.8,36.0,0.009,-0.8,-4.3,2.5,-3.0,-0.01,1.1,-0.8,-0.0428,-0.02,-0.027,0.0302,0.905
Trey Lyles,22.0,73.0,1391.0,0.591,0.396,0.26,4.5,23.5,10.1,1.1,2.0,9.0,21.1,3.9,0.134,-0.8,35.0,-0.017,0.0,1.5,-0.4,-1.4,-0.005,-0.3,0.4,-0.0444,-0.0216,-0.0104,0.0576,1.669
Paul Millsap,32.0,38.0,1143.0,0.549,0.26,0.37,6.4,17.6,13.6,1.7,3.2,12.6,22.0,2.5,0.106,0.7,29.0,0.008,-0.2,-3.0,0.1,1.9,-0.015,1.1,-2.4,0.0088,0.0047,-6.0E-4,0.1189,2.831
Emmanuel Mudiay,21.0,42.0,752.0,0.504,0.317,0.242,2.4,11.6,24.1,1.4,0.4,16.8,24.8,0.3,0.019,-5.0,19.0,-0.034,0.3,-4.0,2.8,-9.4,0.002,0.3,3.2,-0.0947,-0.0316,0.0107,-0.0966,-1.513
Torrey Craig,27.0,39.0,629.0,0.535,0.423,0.255,7.2,15.5,5.4,0.9,2.0,11.6,11.9,0.9,0.069,-2.5,16.0,-0.005,-2.0,2.3,-1.2,-0.3,-0.004,-3.0,2.5,-0.042,-0.0394,0.0109,-0.0015,-0.02
Malik Beasley,21.0,62.0,583.0,0.509,0.461,0.185,2.7,11.0,7.4,1.3,1.0,11.1,16.2,0.3,0.028,-5.1,15.0,-0.033,0.3,-1.2,-0.1,-4.7,-0.018,0.2,-1.7,-0.0359,-0.0716,0.0134,-0.0661,-0.803
Devin Harris,34.0,27.0,533.0,0.568,0.6,0.341,0.6,8.2,17.7,1.3,0.6,12.1,18.2,1.1,0.096,-2.8,13.0,0.0,-2.3,-3.9,-1.5,2.1,-0.006,-2.0,4.2,-0.0375,-0.0295,0.0166,0.0456,0.506
Kenneth Faried,28.0,32.0,461.0,0.552,0.007,0.345,16.7,20.7,5.8,1.3,2.4,11.9,18.3,1.3,0.132,-2.3,12.0,-0.066,8.1,5.4,0.9,-7.4,0.006,-1.4,-0.1,-0.0466,-0.0489,0.0156,0.0521,0.5
Juan Hernangomez,22.0,25.0,277.0,0.511,0.667,0.16,7.4,14.6,5.9,1.1,0.9,10.1,14.0,0.4,0.061,-3.3,7.0,-0.017,5.6,-1.2,1.6,-4.7,0.026,1.7,2.1,-0.0379,-0.0687,0.0198,-0.0258,-0.149
Richard Jefferson,37.0,20.0,163.0,0.499,0.259,0.259,1.4,10.3,12.0,0.6,0.5,14.3,9.4,0.1,0.029,-5.9,4.0,-0.064,-3.2,2.9,-0.5,-11.9,0.04,0.9,3.8,-0.0402,-0.0923,0.0219,-0.0816,-0.277
Darrell Arthur,29.0,19.0,141.0,0.559,0.489,0.064,2.4,9.5,9.3,2.8,1.8,23.7,19.5,0.0,-0.011,-4.5,4.0,-0.021,-12.2,-5.3,0.9,-9.1,0.028,1.2,3.8,-0.0375,-0.1002,0.0194,-0.1293,-0.38
Monte Morris,22.0,3.0,25.0,0.727,0.167,0.333,0.0,9.0,41.2,5.9,0.0,12.7,13.7,0.2,0.312,2.0,1.0,-0.036,-11.4,-1.3,-3.9,-6.9,0.018,3.1,7.8,-0.0269,-0.103,0.023,0.2051,0.107
