Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
James Harden,28.0,72.0,2551.0,0.619,0.498,0.502,1.8,15.2,45.1,2.4,1.7,15.1,36.1,15.4,0.289,10.9,65.0,0.023,1.3,-1.9,0.4,7.3,0.016,0.9,2.0,0.01,0.0231,0.001,0.3231,17.171
P.J. Tucker,32.0,82.0,2281.0,0.537,0.703,0.136,4.6,17.8,4.6,1.7,1.0,13.7,10.5,3.9,0.082,0.0,58.0,0.008,1.9,-0.5,0.3,4.6,-0.004,2.1,-1.8,0.0448,0.0054,-0.0063,0.1259,5.983
Trevor Ariza,32.0,67.0,2269.0,0.567,0.71,0.137,1.7,12.9,6.8,2.1,0.5,7.0,14.4,5.3,0.113,1.5,57.0,0.005,1.4,-1.6,1.1,0.1,0.015,1.4,1.2,-0.0423,0.0186,0.0041,0.0934,4.415
Eric Gordon,29.0,69.0,2154.0,0.578,0.627,0.248,1.3,7.5,11.7,1.0,1.1,10.8,24.7,4.7,0.105,-1.0,54.0,0.022,2.7,0.7,-1.2,7.5,-0.023,-1.6,-2.3,0.0738,0.0125,0.0181,0.2094,9.397
Clint Capela,23.0,74.0,2034.0,0.65,0.001,0.38,13.5,30.8,5.7,1.4,5.7,11.5,19.4,10.2,0.242,3.0,51.0,0.005,3.8,-0.2,-0.1,2.6,0.016,-0.5,0.4,-0.0079,0.0034,-0.0327,0.2048,8.678
Chris Paul,32.0,58.0,1847.0,0.604,0.475,0.277,2.3,16.7,40.9,2.6,0.6,12.5,24.5,10.2,0.265,7.1,47.0,0.043,-1.1,-1.1,-2.9,8.1,0.003,0.7,-0.1,0.0428,0.0122,-0.0038,0.3162,12.167
Ryan Anderson,29.0,66.0,1725.0,0.592,0.706,0.194,6.2,15.4,5.1,0.7,1.0,7.5,14.4,4.8,0.132,0.2,44.0,0.004,0.1,1.7,-0.1,0.8,0.022,-1.9,4.8,-0.0843,-0.0016,-0.0017,0.0444,1.596
Luc Mbah a Moute,31.0,61.0,1564.0,0.595,0.501,0.275,1.6,11.7,5.0,2.3,1.4,15.1,12.9,2.8,0.086,0.0,40.0,0.004,-2.8,0.0,0.4,-1.7,-0.019,0.9,-4.1,0.0101,-0.0038,0.0026,0.0949,3.092
Gerald Green,32.0,41.0,929.0,0.566,0.722,0.145,1.8,14.2,4.3,1.3,1.4,6.6,22.4,2.1,0.107,-1.9,24.0,-0.026,-5.2,0.8,-1.5,-7.3,-0.019,-1.4,-1.0,-0.0574,-0.0171,0.0069,0.0394,0.763
Nene Hilario,35.0,52.0,758.0,0.594,0.008,0.448,8.1,18.0,9.5,1.8,1.6,11.7,18.9,2.6,0.163,-0.8,19.0,0.024,-2.6,3.5,-0.2,2.9,-0.03,1.9,-7.1,0.0401,-0.045,0.0055,0.1636,2.584
Tarik Black,26.0,51.0,536.0,0.582,0.087,0.496,13.4,20.9,3.7,1.9,4.8,18.4,15.6,1.5,0.136,-1.0,14.0,-0.063,0.1,-0.6,3.9,-16.4,-0.005,-0.2,2.3,-0.1034,-0.0673,0.0039,-0.0308,-0.344
Joe Johnson,36.0,23.0,505.0,0.485,0.455,0.157,0.5,13.9,10.7,0.6,0.2,11.2,14.1,0.4,0.038,-4.4,13.0,-0.05,-3.8,-1.4,-1.9,-8.9,-0.015,-1.2,-1.3,-0.044,-0.0256,0.0162,-0.0154,-0.162
Zhou Qi,22.0,18.0,124.0,0.295,0.594,0.375,5.5,14.4,2.1,0.8,9.6,21.2,16.8,-0.3,-0.104,-7.2,3.0,-0.125,0.2,-0.7,6.3,-31.3,-0.004,-2.5,4.9,-0.0484,-0.109,0.0222,-0.2392,-0.618
Briante Weber,25.0,13.0,118.0,0.547,0.409,0.182,2.9,14.2,15.2,4.2,2.2,22.8,11.5,0.3,0.119,1.3,3.0,-0.098,0.0,-3.3,-1.0,-13.7,0.109,1.0,17.7,-0.046,-0.0895,0.0224,0.0059,0.015
Bobby Brown,33.0,20.0,115.0,0.425,0.69,0.034,0.0,6.8,15.0,1.7,0.0,13.3,26.1,-0.2,-0.08,-9.3,3.0,-0.06,-1.3,3.4,5.4,-20.2,0.06,-2.4,13.5,-0.0506,-0.1248,0.0236,-0.2318,-0.555
Demetrius Jackson,23.0,12.0,63.0,0.286,0.429,0.0,7.2,12.4,10.7,3.1,1.3,39.1,16.1,-0.2,-0.14,-7.2,2.0,-0.132,3.0,11.0,10.4,-34.8,-0.017,-2.0,-5.3,-0.0353,-0.1297,0.0239,-0.2811,-0.369
