Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Thaddeus Young,29.0,81.0,2607.0,0.528,0.209,0.106,8.0,14.1,8.5,2.6,1.2,10.4,17.3,5.5,0.101,1.5,66.0,0.037,-1.7,-1.6,0.8,3.6,0.008,3.6,-4.5,0.0551,0.0184,-0.0095,0.165,8.962
Victor Oladipo,25.0,75.0,2552.0,0.577,0.323,0.274,2.1,15.1,21.2,3.5,2.0,12.7,30.1,8.3,0.155,4.9,65.0,0.035,-2.0,-3.0,0.6,4.8,-0.032,3.3,-9.2,0.1112,0.022,-0.0052,0.283,15.046
Bojan Bogdanovic,28.0,80.0,2464.0,0.605,0.453,0.241,1.4,10.9,7.1,1.1,0.3,10.1,19.0,5.4,0.105,-0.7,62.0,0.011,-4.3,-0.8,0.9,-1.9,-0.02,-0.1,-3.2,0.0024,0.0148,-6.0E-4,0.1216,6.242
Cory Joseph,26.0,82.0,2210.0,0.503,0.315,0.156,2.0,11.4,16.1,1.8,0.7,11.9,14.8,3.1,0.068,-1.2,56.0,-0.031,3.6,3.2,0.3,-3.2,-0.009,-1.8,0.3,-0.0485,0.0048,0.0197,0.044,2.026
Darren Collison,30.0,69.0,2018.0,0.61,0.321,0.226,2.1,7.8,26.4,2.3,0.7,10.9,17.4,7.6,0.181,2.2,51.0,0.045,-3.6,-2.2,0.0,5.4,0.028,2.0,1.7,0.0017,0.0092,0.0018,0.1937,8.143
Lance Stephenson,27.0,82.0,1850.0,0.495,0.327,0.179,3.8,22.0,18.6,1.2,0.8,14.7,21.6,1.8,0.045,-2.1,47.0,-0.026,3.3,2.9,-1.1,-1.4,0.03,-1.8,7.1,-0.1163,-0.0083,-2.0E-4,-0.0798,-3.076
Myles Turner,21.0,65.0,1836.0,0.567,0.246,0.322,5.8,19.8,7.0,1.0,5.7,11.6,20.0,4.7,0.122,0.7,47.0,0.015,-2.8,-1.9,0.2,1.4,-0.008,0.6,-2.4,0.0164,0.0059,-0.0165,0.1278,4.888
Domantas Sabonis,21.0,74.0,1810.0,0.567,0.056,0.339,10.4,25.2,12.7,1.1,1.6,15.3,22.1,4.7,0.126,-0.2,46.0,-0.005,3.6,2.5,1.6,-0.7,0.0,0.3,0.2,-0.0271,-0.0035,-0.0129,0.0825,3.111
Joe Young,25.0,53.0,558.0,0.521,0.355,0.156,2.4,10.3,9.9,1.3,0.2,11.6,18.0,0.5,0.043,-4.7,14.0,-0.043,0.9,1.5,-1.2,-6.2,-0.008,-3.3,3.7,-0.0562,-0.065,0.0206,-0.0576,-0.67
Al Jefferson,33.0,36.0,484.0,0.563,0.014,0.173,7.0,26.2,10.0,1.7,4.2,8.6,22.5,1.6,0.158,-0.5,12.0,-0.014,-3.8,-1.1,-2.1,-1.2,-0.007,-3.4,2.5,-0.0306,-0.0522,0.0094,0.0846,0.853
T.J. Leaf,20.0,53.0,459.0,0.545,0.309,0.118,7.2,13.0,2.8,0.5,0.8,6.5,14.9,0.8,0.082,-4.8,12.0,-0.033,2.5,-1.5,-0.3,-4.2,0.023,-3.8,9.2,-0.0688,-0.079,0.0165,-0.0493,-0.471
Glenn Robinson,24.0,23.0,338.0,0.529,0.4,0.129,3.7,8.6,6.8,1.9,0.3,5.3,12.5,0.6,0.088,-1.8,9.0,-0.038,2.4,2.3,-2.6,-2.8,-0.012,-0.4,-1.6,-0.02,-0.0508,0.0246,0.0418,0.294
Trevor Booker,30.0,17.0,269.0,0.512,0.167,0.131,13.5,18.8,9.0,0.7,1.6,9.2,16.2,0.7,0.118,-1.3,7.0,-0.059,3.7,7.7,-2.3,-6.4,-0.008,0.1,-4.2,-0.0195,-0.049,0.0231,0.0726,0.407
Damien Wilkins,38.0,19.0,152.0,0.405,0.462,0.103,3.7,8.1,7.8,0.7,0.6,10.9,13.4,-0.1,-0.019,-6.5,4.0,0.002,6.4,-3.4,0.8,5.2,-0.04,-2.1,1.2,-0.0174,-0.094,0.0253,-0.1051,-0.333
Alex Poythress,24.0,25.0,104.0,0.5,0.423,0.0,7.7,10.8,2.6,1.4,0.9,7.1,12.0,0.1,0.066,-4.0,3.0,-0.036,1.3,-6.8,-3.7,-1.9,0.025,-1.9,15.4,-0.0324,-0.1276,0.0237,-0.0703,-0.152
Ike Anigbogu,19.0,11.0,30.0,0.558,0.0,0.667,19.0,15.0,0.0,1.7,8.9,14.7,20.3,0.1,0.165,-5.4,1.0,-0.016,11.8,-22.8,0.6,-0.4,0.071,-6.2,28.4,-0.0245,-0.1374,0.0251,0.0282,0.018
Edmond Sumner,22.0,1.0,2.0,1.0,0.0,0.0,0.0,56.1,0.0,0.0,0.0,0.0,22.3,0.0,0.425,-5.3,0.0,-0.275,-22.7,-26.2,-13.9,-60.2,0.173,3.8,51.6,-0.0194,-0.139,0.0262,0.2928,0.012
