Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,RBAdj,OoAdj,MinAdj,AdjWS/48
Pau Gasol,28.0,81.0,2999.0,0.617,0.002,0.42,10.0,19.3,14.8,0.9,2.1,11.3,20.4,13.9,0.223,5.0,76.0,0.025,3.3,-1.0,-2.1,8.7,0.027,-2.2,4.2,-0.0068,-0.0132,0.0293,0.2323
Kobe Bryant,30.0,82.0,2960.0,0.561,0.196,0.329,3.5,12.8,23.8,2.1,1.0,9.7,32.2,12.7,0.206,4.5,75.0,0.034,2.1,3.4,-3.5,12.6,0.016,-3.3,1.5,0.0118,0.0342,0.0274,0.2794
Derek Fisher,34.0,82.0,2441.0,0.546,0.439,0.189,1.2,7.4,14.9,2.0,0.2,8.8,14.7,6.3,0.123,0.6,62.0,0.019,0.4,3.0,-2.9,8.1,0.011,-2.5,0.6,0.0162,0.0265,0.012,0.1777
Lamar Odom,29.0,78.0,2316.0,0.542,0.147,0.366,8.7,22.2,12.8,1.7,3.3,14.5,18.1,6.9,0.143,2.9,59.0,0.02,-1.1,2.7,-4.1,9.7,-0.028,1.2,-8.0,-0.019,0.1343,0.0112,0.2695
Trevor Ariza,23.0,82.0,1999.0,0.544,0.32,0.284,6.4,13.5,10.4,3.5,0.9,11.5,16.6,6.1,0.146,3.1,51.0,-0.012,0.9,-1.7,0.0,-1.1,-0.002,2.8,-1.1,-0.0097,-0.0226,-0.0031,0.1106
Andrew Bynum,21.0,50.0,1446.0,0.598,0.0,0.428,10.8,20.1,7.7,0.6,4.8,12.5,20.7,5.5,0.184,1.9,37.0,0.013,-2.3,1.7,1.6,-1.1,0.002,-1.1,-1.2,-0.0129,-0.0229,0.0044,0.1526
Sasha Vujacic,24.0,80.0,1293.0,0.531,0.556,0.19,1.7,10.0,12.2,3.0,0.4,7.5,16.0,3.7,0.138,0.8,33.0,-0.034,-0.1,-3.0,1.8,-8.3,-0.009,2.8,-0.2,0.0011,-0.082,-0.0324,0.0247
Jordan Farmar,22.0,65.0,1192.0,0.466,0.354,0.187,2.1,8.9,18.6,2.4,0.6,16.3,19.6,0.8,0.034,-2.9,30.0,-0.02,-0.5,-4.2,3.3,-9.6,-0.004,2.7,-0.1,0.0025,-0.0826,-0.0258,-0.0719
Luke Walton,28.0,65.0,1166.0,0.491,0.186,0.186,5.4,12.0,21.1,1.4,0.7,17.2,15.1,2.0,0.083,-1.5,29.0,-0.004,-0.1,2.1,-0.4,-0.4,-0.008,-1.0,-1.9,0.0056,-0.0128,-0.0273,0.0485
Vladimir Radmanovic,28.0,46.0,771.0,0.604,0.636,0.126,2.7,14.3,6.9,1.8,0.7,17.2,15.6,1.6,0.098,-0.6,19.0,0.005,0.0,-0.2,0.5,-0.1,0.015,-1.6,3.0,0.0099,-0.0437,-0.0355,0.0287
Josh Powell,26.0,60.0,703.0,0.479,0.0,0.209,11.6,16.7,5.6,0.7,1.9,16.3,19.5,0.6,0.043,-5.5,18.0,-0.035,0.4,-2.1,5.2,-14.7,0.018,0.6,7.5,-0.0014,-0.1302,-0.057,-0.1456
Didier Ilunga-Mbenga,28.0,23.0,181.0,0.504,0.018,0.14,5.7,13.6,7.2,2.8,10.2,17.7,17.8,0.3,0.091,1.2,5.0,-0.037,-6.6,-0.6,1.5,-14.4,-0.041,1.8,-5.8,0.0176,-0.0315,-0.0942,-0.0171
Shannon Brown,23.0,18.0,136.0,0.631,0.214,0.214,2.5,13.9,10.9,1.5,1.1,16.4,17.8,0.4,0.131,-1.9,3.0,0.038,-6.1,2.5,2.3,1.7,-0.047,1.0,-5.3,0.0202,-0.0228,-0.0995,0.0289
Chris Mihm,29.0,18.0,105.0,0.418,0.0,0.175,16.4,20.2,13.7,0.5,4.4,18.8,22.2,0.1,0.026,-3.7,3.0,-0.084,8.7,-10.2,7.7,-18.5,-0.051,-1.4,7.6,0.0188,-0.0398,-0.1239,-0.1189
Adam Morrison,24.0,8.0,44.0,0.388,0.333,0.167,5.2,15.2,9.2,0.0,0.0,18.9,15.9,0.0,-0.045,-8.5,1.0,0.001,-13.3,1.0,11.7,-24.6,-0.074,1.6,-6.8,0.0213,-0.0284,-0.1296,-0.1817
Sun Yue,23.0,10.0,28.0,0.273,0.545,0.0,0.0,0.0,9.8,1.8,2.8,21.4,22.0,-0.1,-0.226,-15.2,1.0,-0.152,1.2,-28.7,4.4,-28.5,0.181,-6.5,59.0,0.0212,-0.0397,-0.1378,-0.3823
