Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Kentavious Caldwell-Pope,24.0,74.0,2458.0,0.561,0.52,0.243,2.6,14.1,9.4,2.1,0.5,9.9,16.9,5.3,0.103,1.0,62.0,0.01,-1.7,2.0,-1.3,2.7,0.004,-1.5,1.5,0.0212,0.0244,0.0017,0.1503,7.697
Kyle Kuzma,22.0,77.0,2401.0,0.549,0.418,0.2,3.9,17.4,9.1,1.0,1.1,11.0,22.5,3.8,0.077,-1.3,60.0,0.002,0.2,-2.3,0.0,0.6,-0.002,-0.2,2.3,-0.028,0.0198,-0.0101,0.0587,2.936
Julius Randle,23.0,82.0,2190.0,0.606,0.05,0.47,8.9,22.8,15.8,0.9,1.7,16.3,25.3,6.6,0.145,0.9,55.0,0.026,-2.0,0.6,0.2,4.4,0.003,-3.0,4.0,-0.0108,0.0085,-0.0264,0.1163,5.306
Brandon Ingram,20.0,59.0,1975.0,0.536,0.138,0.371,3.1,13.8,17.7,1.1,1.8,14.4,22.2,2.8,0.068,-1.3,50.0,-0.017,2.2,-1.0,0.3,-1.9,-0.003,-0.3,1.3,-0.0379,0.0225,0.0041,0.0567,2.333
Lonzo Ball,20.0,52.0,1780.0,0.444,0.523,0.126,4.2,17.3,29.2,2.4,2.0,18.6,17.4,2.0,0.053,1.7,45.0,-0.004,-1.5,1.8,-0.3,-1.6,-0.005,0.7,-2.9,0.0496,0.0229,-0.0014,0.1241,4.602
Brook Lopez,29.0,74.0,1735.0,0.557,0.41,0.199,4.6,13.4,11.6,0.8,4.6,10.2,23.5,3.8,0.105,0.5,44.0,0.014,-1.9,1.6,-0.3,1.3,0.021,-1.7,3.2,-0.0381,-0.0022,-0.0023,0.0624,2.256
Josh Hart,22.0,63.0,1461.0,0.596,0.525,0.251,3.1,16.0,7.6,1.5,0.9,10.1,13.5,3.4,0.111,-0.1,37.0,0.018,1.7,-1.6,0.4,2.9,0.013,-0.3,3.9,-0.0242,-0.0047,3.0E-4,0.0824,2.508
Jordan Clarkson,25.0,53.0,1256.0,0.532,0.315,0.198,3.8,9.7,22.9,1.5,0.2,11.6,27.7,2.1,0.08,-1.3,32.0,-0.008,3.4,-1.2,1.5,-1.4,-0.007,2.1,-1.5,0.0243,-0.0049,0.0126,0.112,2.931
Larry Nance,25.0,42.0,922.0,0.618,0.016,0.344,12.6,20.2,9.2,3.1,1.8,12.3,15.3,3.7,0.191,3.8,23.0,-0.021,3.0,-2.2,-0.4,-3.0,0.014,4.1,-2.4,0.0196,-0.0129,-6.0E-4,0.1971,3.786
Corey Brewer,31.0,54.0,694.0,0.509,0.25,0.297,3.6,10.7,8.1,2.8,0.9,16.3,14.2,0.7,0.048,-2.7,17.0,-0.016,0.8,-4.2,0.5,-2.5,0.012,1.1,2.2,-0.0281,-0.0469,0.0107,-0.0163,-0.236
