Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Khris Middleton,26.0,82.0,2982.0,0.577,0.32,0.285,1.8,15.0,17.7,2.0,0.6,11.8,24.6,6.9,0.111,0.4,75.0,0.04,-2.1,-0.8,-1.5,6.9,0.021,1.5,1.7,0.0059,0.031,-0.0025,0.1454,9.033
Giannis Antetokounmpo,23.0,75.0,2756.0,0.598,0.1,0.457,6.7,25.3,23.7,2.0,3.3,11.7,31.2,11.9,0.207,5.8,70.0,0.01,0.5,3.0,-0.5,2.9,-0.024,-0.3,-6.4,0.0681,0.0309,-0.0122,0.2938,16.869
Eric Bledsoe,28.0,71.0,2239.0,0.585,0.366,0.319,2.5,11.9,26.0,3.2,1.5,16.0,26.0,5.7,0.121,2.4,56.0,0.032,1.7,-3.1,-0.3,7.2,-0.014,1.4,-2.0,0.0618,0.018,-0.0016,0.1992,9.292
Tony Snell,26.0,75.0,2053.0,0.578,0.631,0.113,0.5,7.5,6.5,1.1,1.2,7.5,10.6,2.4,0.056,-1.8,52.0,0.029,-3.0,0.8,0.5,1.6,0.023,-0.6,3.9,-0.0612,0.0076,0.0052,0.0076,0.325
John Henson,27.0,76.0,1970.0,0.582,0.014,0.315,9.0,21.5,8.6,1.1,4.7,12.8,15.0,4.9,0.12,0.4,50.0,0.027,2.0,2.5,0.1,5.3,-0.018,-1.4,-3.3,0.0665,0.0037,-0.0147,0.1755,7.203
Malcolm Brogdon,25.0,48.0,1436.0,0.578,0.32,0.169,1.9,10.8,16.3,1.4,0.8,10.9,19.1,2.7,0.091,-1.3,36.0,0.001,-1.0,3.1,0.0,-1.7,0.003,-0.6,0.4,-0.0389,0.0096,0.0104,0.0721,2.157
Thon Maker,20.0,74.0,1238.0,0.499,0.329,0.294,7.1,14.2,5.2,1.5,3.7,11.0,14.6,1.5,0.056,-2.7,31.0,-0.018,-3.3,-4.6,-0.9,-3.1,0.026,1.6,5.0,-0.103,-0.0278,-0.0181,-0.0929,-2.396
Jason Terry,40.0,51.0,814.0,0.525,0.747,0.058,0.7,6.2,9.7,2.6,1.4,13.7,10.1,0.7,0.042,-2.1,20.0,-0.003,1.1,1.0,0.7,0.1,0.005,1.9,-1.8,-0.011,-0.0347,0.0178,0.0141,0.239
Sterling Brown,22.0,54.0,776.0,0.503,0.444,0.117,4.1,17.5,4.5,2.0,1.4,10.4,14.0,0.7,0.043,-4.0,20.0,-0.046,3.2,-2.6,1.3,-5.7,-0.036,0.1,-2.9,-0.0304,-0.0412,0.0046,-0.024,-0.388
Jabari Parker,22.0,31.0,743.0,0.55,0.244,0.163,6.6,17.1,13.1,1.7,1.2,11.2,24.4,1.2,0.08,-1.8,19.0,-0.03,5.7,-3.7,0.4,-1.6,-0.004,-0.9,2.5,-0.0426,-0.0118,0.0089,0.0345,0.534
Matthew Dellavedova,27.0,38.0,712.0,0.5,0.513,0.178,2.3,8.2,27.4,1.0,0.0,23.0,13.5,0.5,0.032,-5.9,18.0,-0.015,-3.5,0.5,-1.5,-3.2,0.015,-1.0,2.7,-0.0507,-0.0268,0.0121,-0.0334,-0.495
DeAndre Liggins,29.0,31.0,480.0,0.424,0.554,0.077,1.2,10.7,7.3,2.8,1.8,16.2,7.5,0.2,0.02,-2.2,12.0,-0.042,-3.5,-1.8,-1.4,-8.3,0.01,1.1,2.0,-0.0509,-0.0418,0.0135,-0.0592,-0.592
Tyler Zeller,28.0,24.0,406.0,0.622,0.019,0.181,13.6,18.4,7.0,0.9,2.9,9.6,13.9,1.4,0.163,-0.1,10.0,-0.009,7.6,2.1,-0.1,2.7,0.007,-1.0,-0.5,-0.0178,-0.0385,0.0153,0.122,1.032
Brandon Jennings,28.0,14.0,205.0,0.478,0.458,0.139,2.9,14.8,31.1,1.5,1.7,19.1,20.8,0.1,0.026,-3.8,5.0,-0.065,0.2,1.2,1.0,-9.9,0.019,-1.6,3.9,-0.0353,-0.0534,0.019,-0.0437,-0.187
Sean Kilpatrick,28.0,23.0,205.0,0.515,0.561,0.232,0.6,13.7,10.9,1.2,0.4,9.1,21.9,0.1,0.035,-6.1,5.0,-0.026,-2.7,2.8,0.1,-3.2,0.02,-2.9,5.9,-0.0351,-0.0818,0.0188,-0.0631,-0.269
Rashad Vaughn,21.0,22.0,173.0,0.56,0.7,0.12,1.4,10.1,9.9,1.2,1.5,7.1,14.8,0.3,0.073,-3.3,4.0,0.007,3.2,-2.3,1.6,-0.5,-0.012,-2.0,1.2,-0.0257,-0.0916,0.0197,-0.0246,-0.089
Mirza Teletovic,32.0,10.0,159.0,0.623,0.789,0.0,2.2,14.7,9.5,1.3,0.5,10.9,18.2,0.3,0.09,-1.6,4.0,0.016,-9.9,3.2,5.0,-9.9,-0.01,-3.3,0.2,-0.029,-0.0516,0.0188,0.0282,0.093
Shabazz Muhammad,25.0,11.0,117.0,0.624,0.119,0.284,8.0,23.0,11.8,1.7,0.7,1.3,29.5,0.7,0.271,0.5,3.0,-0.007,-0.5,-3.3,-3.8,5.1,-0.075,-0.3,-6.9,-0.0179,-0.0759,0.0186,0.1958,0.477
Gary Payton,25.0,12.0,106.0,0.437,0.364,0.091,4.4,14.3,12.2,1.4,0.8,8.0,15.9,0.0,0.016,-5.5,3.0,-0.006,4.0,0.5,-0.8,-0.1,0.019,2.7,-3.4,-0.0219,-0.0877,0.0201,-0.0735,-0.162
Greg Monroe,27.0,5.0,79.0,0.489,0.0,0.121,8.9,28.1,10.2,0.0,0.0,14.7,23.3,0.0,-0.013,-9.6,2.0,-0.008,-10.3,3.3,3.5,-14.4,-0.061,-2.4,-9.4,-0.024,-0.0591,0.0196,-0.0765,-0.126
D.J. Wilson,21.0,22.0,71.0,0.622,0.313,0.125,3.3,13.2,6.1,2.1,1.2,19.2,13.3,0.1,0.054,-4.1,2.0,-0.05,-5.8,2.7,3.9,-19.6,0.083,3.0,11.8,-0.0379,-0.1298,0.0196,-0.0941,-0.139
Marshall Plumlee,25.0,8.0,52.0,0.697,0.0,5.333,9.0,29.2,4.8,0.0,1.6,23.0,11.3,0.2,0.143,-5.7,1.0,-0.086,-0.9,7.4,7.3,-16.2,-0.062,2.4,-15.3,-0.0232,-0.1156,0.0204,0.0246,0.027
Joel Bolomboy,24.0,6.0,38.0,0.521,0.167,1.0,18.6,12.3,0.0,2.6,0.0,18.8,12.6,0.1,0.079,-7.7,1.0,-0.142,8.5,10.8,2.8,-29.1,0.006,4.2,-9.1,-0.0255,-0.1198,0.0208,-0.0455,-0.036
Xavier Munford,25.0,6.0,21.0,0.218,0.333,0.333,5.6,0.0,24.6,2.4,0.0,22.5,19.1,-0.1,-0.197,-13.7,1.0,-0.094,6.3,5.3,10.1,-17.8,0.093,-3.3,17.8,-0.0283,-0.1333,0.0211,-0.3375,-0.148
