Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Jrue Holiday,27.0,81.0,2927.0,0.57,0.286,0.191,2.4,10.8,24.9,2.0,1.7,13.6,23.1,7.1,0.116,2.1,73.0,0.017,2.1,2.6,0.0,3.8,-0.038,1.3,-8.7,0.09,0.0264,0.0124,0.2448,14.928
Anthony Davis,24.0,75.0,2727.0,0.612,0.111,0.409,7.7,24.8,10.8,2.0,5.6,8.6,30.0,13.7,0.241,5.2,68.0,0.006,0.4,-2.1,-1.6,3.2,-0.037,0.9,-7.5,0.0797,0.0261,-0.0231,0.3237,18.39
E'Twaun Moore,28.0,82.0,2586.0,0.593,0.362,0.082,2.5,7.3,10.1,1.5,0.4,10.6,16.1,4.4,0.081,-0.2,65.0,0.013,-1.7,0.3,-1.3,2.2,0.006,0.7,-1.2,0.0061,0.0155,0.0045,0.1071,5.77
Darius Miller,27.0,82.0,1944.0,0.617,0.735,0.138,1.0,7.9,7.5,0.7,0.7,10.1,12.8,3.0,0.075,-1.0,49.0,0.007,-1.1,0.7,-0.7,2.2,0.001,-1.6,4.4,-0.0644,-0.0061,0.0063,0.0108,0.437
DeMarcus Cousins,27.0,48.0,1737.0,0.583,0.34,0.456,6.8,30.9,23.0,2.2,3.5,18.9,31.9,4.7,0.13,5.5,43.0,0.013,0.2,3.7,2.8,0.2,0.027,1.0,1.2,-0.0364,0.0207,-0.0162,0.0981,3.55
Rajon Rondo,31.0,65.0,1705.0,0.522,0.304,0.093,2.0,14.2,42.2,2.0,0.5,22.7,16.9,3.6,0.101,-1.1,43.0,0.001,-0.1,-2.2,0.0,-1.3,0.002,-0.6,1.2,-0.0496,-0.0011,-0.0048,0.0455,1.616
Ian Clark,26.0,74.0,1455.0,0.529,0.394,0.119,0.8,8.4,10.4,1.1,0.5,9.9,17.2,1.1,0.037,-3.9,36.0,0.001,-0.7,-2.7,0.4,0.3,-0.007,-0.5,0.9,-0.0339,-0.0206,0.0024,-0.0151,-0.458
Dante Cunningham,30.0,51.0,1115.0,0.525,0.48,0.16,5.0,13.4,3.0,1.2,1.1,6.2,10.0,1.6,0.067,-1.7,28.0,-0.007,-0.8,0.4,0.6,-2.5,-0.006,0.2,-0.6,-0.0348,-0.0169,0.0024,0.0177,0.411
Jameer Nelson,35.0,43.0,897.0,0.52,0.537,0.083,1.4,9.9,22.2,1.2,0.3,20.9,13.0,0.8,0.045,-3.3,22.0,0.006,-2.3,-0.3,1.5,-1.2,0.019,0.5,3.4,-0.0533,-0.022,0.0095,-0.0208,-0.389
Nikola Mirotic,26.0,30.0,872.0,0.539,0.516,0.152,5.3,24.6,6.8,1.6,2.4,7.1,21.8,1.9,0.106,-0.2,22.0,-0.011,1.1,0.0,-2.5,2.5,-0.014,-0.3,-2.3,-0.0042,-0.0019,0.0027,0.1026,1.864
Cheick Diallo,21.0,52.0,581.0,0.619,0.0,0.375,9.1,29.6,4.7,0.9,2.9,12.0,17.4,1.9,0.157,-3.1,15.0,-0.019,1.0,-1.8,0.5,-4.3,0.022,-1.2,6.0,-0.0732,-0.0625,-0.0038,0.0175,0.212
Emeka Okafor,35.0,26.0,353.0,0.545,0.0,0.232,14.9,21.7,3.1,1.1,5.6,11.0,14.4,1.0,0.14,-1.3,9.0,-0.042,4.5,-1.9,-1.5,-4.5,-0.026,0.4,-4.2,-0.0229,-0.0562,0.0113,0.0722,0.531
Tony Allen,36.0,22.0,273.0,0.514,0.132,0.231,8.2,10.4,4.6,1.9,0.9,15.9,18.9,0.1,0.017,-5.2,7.0,-0.009,2.3,-0.8,1.3,-1.3,-0.008,1.1,-3.0,-0.0221,-0.0637,0.0172,-0.0516,-0.293
DeAndre Liggins,29.0,27.0,244.0,0.537,0.415,0.0,0.9,10.3,10.7,2.0,1.3,14.6,8.5,0.3,0.062,-2.2,6.0,-0.038,-6.9,2.1,-0.9,-10.7,0.04,-0.1,8.6,-0.0527,-0.0834,0.0171,-0.057,-0.29
Solomon Hill,26.0,12.0,187.0,0.332,0.512,0.146,5.4,15.1,14.4,1.8,0.4,17.1,12.2,-0.1,-0.014,-3.8,5.0,-0.029,4.8,4.3,0.9,-6.4,0.002,-2.5,0.3,-0.0302,-0.0549,0.0196,-0.0795,-0.31
Omer Asik,31.0,14.0,121.0,0.423,0.0,0.75,6.5,26.0,2.0,0.4,1.3,19.0,9.4,0.0,0.008,-8.1,3.0,0.035,-2.2,5.6,0.6,1.2,0.026,-1.9,2.5,-0.0269,-0.092,0.0185,-0.0924,-0.233
Larry Drew,27.0,7.0,55.0,0.441,0.353,0.0,4.1,0.0,18.9,0.0,0.0,10.5,15.0,0.0,0.003,-8.9,1.0,0.01,1.2,2.9,0.4,-3.2,0.067,-1.6,9.0,-0.0275,-0.1038,0.0206,-0.1077,-0.123
Jordan Crawford,29.0,5.0,53.0,0.601,0.519,0.037,4.2,4.0,37.7,0.9,1.5,15.4,26.5,0.2,0.15,-0.9,1.0,0.038,10.9,-3.3,4.6,8.3,0.115,-5.1,23.0,-0.0281,-0.0863,0.0206,0.0562,0.062
Charles Cooke,23.0,13.0,38.0,0.202,0.571,0.143,0.0,5.5,3.2,1.3,0.0,6.3,18.1,-0.2,-0.239,-14.6,1.0,-0.116,5.0,-4.6,0.8,-19.5,-0.013,0.5,-4.5,-0.0276,-0.1375,0.0204,-0.3837,-0.304
Walt Lemon, Jr.,25.0,5.0,35.0,0.491,0.063,0.188,0.0,6.0,21.1,0.0,2.3,18.8,26.4,-0.1,-0.071,-11.7,1.0,0.065,-16.5,1.1,-1.5,3.1,0.147,1.6,23.4,-0.0286,-0.1148,0.0202,-0.1942,-0.142
Jalen Jones,24.0,4.0,19.0,0.512,0.25,0.5,0.0,16.5,0.0,0.0,0.0,0.0,11.1,0.0,0.054,-10.8,0.0,-0.028,13.3,-5.3,0.2,2.3,0.207,1.2,22.5,-0.0259,-0.1347,0.0206,-0.086,-0.034
Mike James,27.0,4.0,18.0,0.222,0.111,0.0,6.2,0.0,43.5,2.7,0.0,10.0,24.1,-0.1,-0.146,-12.4,0.0,0.025,1.0,-13.2,2.3,-5.3,0.139,-1.0,31.2,-0.0259,-0.1353,0.0206,-0.2866,-0.107
Josh Smith,32.0,3.0,12.0,0.25,0.0,0.0,28.1,8.7,0.0,0.0,0.0,0.0,14.4,0.0,-0.013,-13.4,0.0,-0.292,11.6,23.3,-10.5,-27.7,0.04,5.0,3.1,-0.0259,-0.1368,0.0206,-0.1551,-0.039
