Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Courtney Lee,32.0,76.0,2310.0,0.564,0.368,0.164,1.4,9.3,11.3,1.7,0.6,9.4,16.9,3.9,0.082,0.0,58.0,-0.004,-1.3,-1.2,0.6,-0.6,0.015,-1.0,3.1,-0.0584,0.0233,0.0028,0.0497,2.392
Tim Hardaway,25.0,57.0,1885.0,0.533,0.479,0.209,1.9,11.3,12.7,1.6,0.5,9.0,23.8,2.6,0.067,-0.1,48.0,-0.006,1.9,1.0,-1.8,3.6,0.012,-0.3,1.0,0.0177,0.0268,0.0109,0.1224,4.807
Enes Kanter,25.0,71.0,1830.0,0.63,0.003,0.258,16.6,30.6,9.4,1.0,1.7,13.3,21.8,7.6,0.198,2.5,46.0,-0.001,5.0,0.9,1.5,1.4,0.036,-0.4,3.8,-0.0476,0.01,-0.0322,0.1282,4.888
Frank Ntilikina,19.0,78.0,1706.0,0.437,0.314,0.136,2.4,9.1,20.0,1.9,0.9,19.8,16.9,-0.9,-0.026,-3.9,43.0,-0.02,-0.7,0.5,0.5,-4.1,-0.034,1.6,-6.1,0.0528,-0.001,0.0057,0.0315,1.12
Michael Beasley,29.0,74.0,1653.0,0.556,0.107,0.197,6.5,21.2,12.5,1.1,2.3,14.0,26.9,2.4,0.069,-1.5,42.0,-0.001,1.8,-1.9,-0.4,2.1,0.012,-0.4,4.0,-0.0434,0.0,-0.0162,0.0094,0.324
Kristaps Porzingis,22.0,48.0,1553.0,0.539,0.256,0.309,4.4,18.1,6.2,1.1,6.4,8.4,31.0,3.2,0.099,-0.7,39.0,-0.002,0.7,1.5,-0.8,2.6,-0.028,-0.5,-4.9,0.0803,0.0232,0.0012,0.2037,6.591
Jarrett Jack,34.0,62.0,1548.0,0.489,0.194,0.169,1.6,12.1,31.3,1.1,0.2,19.5,16.7,1.2,0.036,-3.5,39.0,0.019,-0.1,2.0,-0.6,4.7,0.005,-1.5,-0.1,0.0435,0.0062,0.0087,0.0944,3.044
Kyle O'Quinn,27.0,77.0,1387.0,0.625,0.044,0.331,9.7,27.8,16.8,1.3,6.1,18.5,17.0,4.8,0.166,4.5,35.0,0.022,-1.7,-0.7,-0.5,2.3,-0.013,-0.2,-0.9,0.0344,-0.0148,-0.0315,0.1541,4.453
Lance Thomas,29.0,73.0,1353.0,0.513,0.464,0.199,3.6,10.7,4.2,1.1,0.9,12.1,10.7,0.9,0.031,-2.6,34.0,-0.004,-0.7,1.2,1.9,-4.6,0.005,0.9,-0.9,-0.0336,-0.0133,0.0052,-0.0107,-0.302
Doug McDermott,26.0,55.0,1172.0,0.562,0.418,0.162,3.1,9.5,6.0,0.4,0.9,8.8,14.4,1.3,0.055,-2.5,30.0,-0.012,0.5,1.7,1.6,-3.9,-0.012,1.1,-4.1,0.0154,-0.0065,0.0126,0.0765,1.868
Trey Burke,25.0,36.0,785.0,0.563,0.273,0.148,1.8,8.2,36.4,1.5,0.4,9.5,25.1,2.4,0.145,1.0,20.0,0.033,-0.3,-2.7,-3.4,6.7,0.025,-0.6,8.4,-0.0308,-0.0093,0.0137,0.1186,1.94
Emmanuel Mudiay,21.0,22.0,493.0,0.428,0.225,0.25,2.3,10.8,25.0,2.0,1.2,15.3,23.7,-0.3,-0.034,-4.3,12.0,-0.026,-2.1,-1.4,-1.0,-5.1,0.046,-0.8,6.7,-0.04,-0.0128,0.0168,-0.07,-0.719
Damyean Dotson,23.0,44.0,474.0,0.532,0.422,0.143,2.1,17.5,9.5,1.3,0.4,9.0,17.3,0.6,0.06,-3.1,12.0,-0.01,-3.1,-2.3,1.0,-7.0,-0.046,0.6,-6.3,0.0064,-0.0551,0.0101,0.0214,0.211
Ron Baker,24.0,29.0,385.0,0.504,0.559,0.441,1.4,7.2,15.5,3.3,1.3,20.4,10.0,0.5,0.059,-1.0,10.0,0.021,1.3,-2.3,0.5,3.8,-0.022,2.4,-3.8,0.0209,-0.0451,0.0195,0.0543,0.436
Luke Kornet,22.0,20.0,326.0,0.516,0.632,0.088,3.8,18.0,11.6,0.9,4.2,8.5,19.0,0.5,0.077,0.2,8.0,0.006,-8.0,-1.1,-2.1,-3.6,0.018,-0.6,5.9,-0.0229,-0.0353,0.0152,0.034,0.231
Troy Williams,23.0,17.0,290.0,0.572,0.33,0.27,8.1,14.5,7.7,3.2,1.2,13.9,19.5,0.6,0.105,0.9,7.0,0.035,-0.3,-2.7,-0.2,4.5,-0.001,0.0,3.6,-0.0035,-0.034,0.0179,0.0854,0.516
Isaiah Hicks,23.0,18.0,240.0,0.501,0.125,0.25,4.6,14.3,9.5,0.4,1.4,16.7,17.4,0.0,-0.003,-5.6,6.0,0.011,-5.8,-1.5,-1.1,-2.7,-0.013,-0.8,2.1,-0.0093,-0.0494,0.0181,-0.0436,-0.218
Willy Hernangomez,23.0,26.0,233.0,0.595,0.062,0.346,10.5,21.3,14.3,1.7,2.6,21.8,22.4,0.3,0.069,-0.6,6.0,-0.005,1.1,3.9,3.7,-5.5,-0.014,1.6,-6.3,0.0035,-0.0728,0.0178,0.0175,0.085
Ramon Sessions,31.0,13.0,167.0,0.403,0.208,0.283,0.7,11.2,21.9,2.1,0.5,20.1,19.5,-0.2,-0.065,-7.1,4.0,-0.062,3.7,-2.5,3.6,-9.8,-0.047,3.5,-6.7,-0.0021,-0.0549,0.0217,-0.1003,-0.349
Joakim Noah,32.0,7.0,40.0,0.51,0.0,0.4,16.7,22.1,14.0,2.5,4.3,25.4,17.2,0.1,0.072,1.0,1.0,-0.132,-5.6,15.5,1.2,-22.7,-0.043,1.7,-22.1,-9.0E-4,-0.119,0.0222,-0.0257,-0.021
Mindaugas Kuzminskas,28.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,-1.065,-49.3,0.0,-0.511,-24.2,23.3,9.9,-107.4,-0.522,-13.8,-111.2,-0.0023,-0.1289,0.0227,-1.1735,-0.049
