Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
T.J. Warren,24.0,65.0,2142.0,0.541,0.085,0.24,6.1,10.5,7.2,1.5,1.5,6.7,24.9,3.4,0.077,-1.9,54.0,0.008,3.7,-2.0,0.3,3.0,-0.002,-0.8,3.7,-0.0125,0.0265,0.0029,0.0939,4.19
Dragan Bender,20.0,82.0,2069.0,0.524,0.665,0.105,2.0,16.8,8.9,0.5,2.1,18.1,12.7,0.1,0.001,-2.7,53.0,0.0,-5.3,0.8,-0.1,-3.0,-0.002,-0.8,0.0,-0.0216,0.0084,-0.0153,-0.0275,-1.185
Josh Jackson,20.0,77.0,1959.0,0.48,0.233,0.299,5.1,14.2,10.1,2.0,1.4,12.2,26.0,-0.7,-0.018,-4.3,50.0,-0.032,-0.4,-1.9,-0.1,-6.3,-0.008,0.2,-0.2,-0.0569,0.0084,-0.0107,-0.0772,-3.151
Devin Booker,21.0,54.0,1865.0,0.561,0.364,0.312,1.5,12.7,24.4,1.2,0.6,13.9,31.7,2.4,0.063,0.4,47.0,0.009,2.1,0.5,1.6,1.5,0.004,-0.2,2.3,-0.004,0.0282,0.0089,0.0961,3.734
Tyler Ulis,22.0,71.0,1658.0,0.465,0.265,0.183,1.5,6.8,28.0,2.0,0.3,17.6,18.5,-0.2,-0.006,-5.2,42.0,-0.002,0.3,-0.7,1.0,-0.7,0.004,0.7,-0.9,0.0231,0.0012,0.0099,0.0282,0.974
Troy Daniels,26.0,79.0,1622.0,0.583,0.797,0.111,0.8,7.7,4.5,0.8,0.2,8.5,17.2,1.4,0.042,-2.9,41.0,0.0,-1.3,-1.1,-1.1,0.5,0.016,-1.3,4.9,-0.0656,-0.0069,0.0052,-0.0253,-0.855
Marquese Chriss,20.0,72.0,1527.0,0.509,0.398,0.331,5.2,22.7,8.1,1.6,3.7,16.4,18.1,0.7,0.023,-2.0,39.0,-0.003,3.4,0.3,1.0,-0.6,-0.004,0.2,-1.0,0.0257,-0.0056,-0.0089,0.0342,1.088
Alex Len,24.0,69.0,1395.0,0.612,0.008,0.611,13.2,26.7,9.1,0.9,3.5,14.0,17.0,4.5,0.154,0.8,35.0,-0.008,0.2,0.9,-0.4,0.6,-0.004,-0.9,-0.9,0.036,-0.0094,-0.0264,0.1542,4.481
Tyson Chandler,35.0,46.0,1151.0,0.658,0.0,0.497,12.2,26.8,6.6,0.7,1.9,20.5,10.6,2.7,0.111,-0.3,29.0,0.0,3.3,0.1,1.3,-1.0,-0.001,-0.8,0.3,0.0045,0.0017,-0.0101,0.1071,2.568
Jared Dudley,32.0,48.0,686.0,0.553,0.656,0.287,1.2,13.6,15.6,1.7,1.3,16.9,10.2,0.8,0.058,-1.9,17.0,0.029,-1.7,-0.3,-1.7,6.4,-0.002,3.1,-4.4,0.0859,-0.0368,0.0106,0.1177,1.682
