Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Bogdan Bogdanovic,25.0,78.0,2175.0,0.556,0.426,0.154,1.6,10.5,18.3,1.7,0.7,13.2,19.6,2.9,0.064,-1.0,55.0,0.008,-2.1,0.5,-0.4,0.7,0.022,-0.3,3.7,-0.0393,0.015,0.0036,0.0433,1.962
Willie Cauley-Stein,24.0,73.0,2044.0,0.529,0.016,0.32,7.0,22.0,13.7,1.9,3.1,11.0,21.8,3.9,0.092,0.4,52.0,0.01,-2.3,0.9,1.5,-0.8,0.009,1.8,0.1,-0.0025,0.0147,-0.0195,0.0847,3.607
De'Aaron Fox,20.0,73.0,2026.0,0.478,0.192,0.245,1.8,10.0,24.6,1.7,0.9,16.4,23.4,-0.6,-0.014,-4.4,51.0,0.001,-3.2,-2.2,-0.6,-1.6,0.012,-0.7,4.1,-0.0648,0.014,-0.0027,-0.0675,-2.849
Buddy Hield,24.0,80.0,2024.0,0.557,0.437,0.087,3.0,14.8,12.8,2.1,1.0,11.3,24.3,2.8,0.067,-0.2,51.0,0.015,1.6,1.0,-0.2,2.9,-0.025,0.9,-4.6,0.1002,0.008,0.003,0.1782,7.514
Garrett Temple,31.0,65.0,1615.0,0.536,0.477,0.164,1.5,9.6,11.3,1.8,1.6,13.4,16.4,1.2,0.035,-1.9,41.0,-0.019,2.5,-0.1,0.7,-1.7,-0.012,0.6,-1.1,0.0058,0.0045,0.0141,0.0594,1.999
Zach Randolph,36.0,59.0,1508.0,0.529,0.193,0.14,7.0,23.7,14.9,1.4,0.6,12.5,27.6,1.5,0.048,-1.8,38.0,0.007,0.8,2.1,1.0,0.7,0.045,-2.2,8.3,-0.0851,0.0055,-0.008,-0.0396,-1.244
Justin Jackson,22.0,68.0,1506.0,0.521,0.442,0.086,2.0,12.6,7.2,0.9,0.8,8.4,14.2,1.0,0.031,-3.5,38.0,0.006,-4.1,0.6,-0.6,-1.1,-0.007,-1.2,-0.7,0.0058,-0.0034,-6.0E-4,0.0328,1.029
Kosta Koufos,28.0,71.0,1391.0,0.566,0.0,0.19,11.7,27.6,9.7,1.7,2.2,10.4,15.2,3.9,0.134,0.5,35.0,-0.029,1.6,-0.4,-1.5,-4.3,-0.021,-1.3,-2.8,0.0054,-0.0117,-0.0238,0.1039,3.011
Skal Labissiere,21.0,60.0,1240.0,0.513,0.111,0.258,8.7,18.1,9.1,1.0,3.7,12.5,21.1,1.4,0.054,-2.6,31.0,0.017,1.9,-1.1,0.6,4.0,-0.002,-0.2,0.1,0.0336,-0.0096,-0.0041,0.0739,1.909
George Hill,31.0,43.0,1143.0,0.597,0.393,0.304,2.1,9.9,15.5,1.7,1.0,14.0,16.9,2.1,0.09,-0.6,29.0,0.003,1.9,0.7,2.0,-0.4,0.03,-1.0,5.1,-0.0405,0.005,0.0167,0.0712,1.695
Vince Carter,41.0,58.0,1026.0,0.523,0.583,0.131,1.9,15.1,9.7,2.1,2.4,10.7,14.7,1.2,0.056,-1.1,26.0,0.002,0.4,-1.3,-0.1,1.2,-0.015,1.3,-3.3,0.0449,-0.0208,0.0066,0.0867,1.853
Frank Mason,23.0,52.0,984.0,0.48,0.226,0.303,3.3,12.1,22.7,1.7,1.0,13.1,22.6,0.5,0.027,-3.4,25.0,0.001,2.1,-1.0,-0.7,3.0,-0.019,1.3,-4.8,0.0654,-0.0173,0.0118,0.0869,1.781
JaKarr Sampson,24.0,22.0,344.0,0.585,0.123,0.198,6.7,19.7,3.9,1.2,6.1,8.3,12.5,0.8,0.114,-0.7,9.0,-0.013,-0.2,-0.4,-0.4,-2.1,-0.076,0.1,-10.5,0.0287,-0.039,0.0174,0.1211,0.868
Malachi Richardson,22.0,25.0,319.0,0.445,0.443,0.25,1.7,10.4,5.7,1.6,0.3,9.3,15.2,-0.1,-0.016,-6.3,8.0,-0.012,-2.5,-3.5,-1.5,-0.3,0.028,4.0,-0.7,0.0074,-0.0511,0.0194,-0.0403,-0.268
Georgios Papagiannis,20.0,16.0,118.0,0.415,0.0,0.0,11.1,24.2,11.5,0.9,4.8,16.3,18.7,0.0,-0.018,-5.0,3.0,0.02,1.9,-3.1,-1.7,6.8,0.075,-1.7,11.6,9.0E-4,-0.0938,0.0215,-0.0894,-0.22
Nigel Hayes,23.0,5.0,105.0,0.312,0.429,0.071,4.2,20.4,5.2,1.0,2.7,3.3,12.8,-0.1,-0.048,-6.6,3.0,-0.074,0.7,4.0,-3.4,-9.9,-0.085,-1.5,-14.7,0.0096,-0.0368,0.0236,-0.0516,-0.113
Bruno Caboclo,22.0,10.0,100.0,0.411,0.517,0.207,7.6,16.6,5.6,1.0,3.8,11.2,16.0,0.0,-0.01,-5.0,3.0,-0.023,-1.8,7.7,-1.3,0.1,-0.033,1.8,-7.6,0.0107,-0.0751,0.0233,-0.0511,-0.106
Jack Cooley,26.0,7.0,87.0,0.566,0.0,0.704,17.6,21.9,10.5,0.6,0.0,7.8,19.8,0.3,0.182,-1.6,2.0,-0.081,9.7,3.6,-2.2,-3.6,-0.058,0.0,-9.5,0.0086,-0.0645,0.0236,0.1497,0.271
