Team,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,TRB,AST,BLK,TOV,SRS,ORtg,DRtg,Pace,3PAr,eFG%,TOV%,ORB%,FT/FG,OppeFG%,OppTOV%,DRB%,OppFT/FG,TS%,AST%,RelPace,RelORtg,Rel3P%,Rel2P%,RelFT%,RelORB%,RelDRB%,RelAST%,RelTS%,ReleFG%,RelFT/FG,Rel3PAr,RelTOV%,RelDRtg,RelOpeFG,RelOpFTR,RelOpTOV
ATL,240.3,38.81,86.87,0.446,11.37,31.49,0.36,27.43,55.37,0.495,16.05,20.52,0.785,42.57,24.07,4.26,15.84,-5.3,105,110.6,98.3,0.363,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,0.5475,0.6202,1.02,-3.32,-0.56,-2.87,2.34,-5.39,-1.94,5.85,-1.48,-1.73,-4.15,7.77,-8.37,-1.84,-2.87,5.19,4.53
BOS,241.5,39.64,88.09,0.45,11.9,31.46,0.377,27.84,56.62,0.491,16.56,21.42,0.771,46.06,23.29,4.65,14.49,3.23,107.6,103.9,96,0.357,0.518,13,21.5,0.188,0.495,13,78.4,0.191,0.5534,0.5875,-1.34,-0.93,4.14,-3.65,0.52,-3.59,0.9,0.27,-0.42,-0.58,-2.6,5.99,0.08,4.33,5,1.04,-0.08
BRK,242.1,38.28,87,0.441,12.72,35.78,0.356,25.55,51.22,0.5,17.44,22.65,0.772,44.5,23.75,4.81,15.23,-3.67,106.9,110.6,98.9,0.411,0.514,13.6,21,0.201,0.517,11,77,0.201,0.5501,0.6204,1.64,-1.57,-1.66,-1.89,0.65,-5.83,-0.91,5.88,-1.01,-1.35,4.14,22.03,-4.53,-1.84,0.77,-4.14,-15.45
CHI,242.1,39.02,89.55,0.435,11.09,31.36,0.355,27.83,58.28,0.478,14.72,19.36,0.759,45.07,23.69,3.52,14.11,-6.84,103.8,110.9,98.3,0.35,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,0.5284,0.6071,1.02,-4.42,-1.94,-6.21,-1.05,-7.63,3.73,3.61,-4.92,-4.61,-15.03,3.91,3.16,-2.11,-4.03,4.67,-4.69
CLE,240.6,41.12,86.31,0.476,12.21,32.67,0.372,28.9,53.53,0.54,18.42,23.71,0.779,42.85,23.81,3.86,13.94,0.59,112.9,111.9,98,0.379,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,0.5832,0.579,0.71,3.95,2.76,5.96,1.56,-9.87,-0.52,-1.18,4.94,4.99,10.88,12.52,3.16,-3.03,-3.64,13.99,-6.23
CHO,241.2,39.43,87.67,0.45,10.11,27.5,0.369,29.22,60.06,0.487,20.42,27.3,0.747,46,21.84,4.55,12.84,0.07,109.4,109.1,98.4,0.314,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,0.5476,0.5538,1.13,0.73,1.93,-4.44,-2.61,-0.45,3.86,-5.48,-1.46,-2.5,20.72,-6.77,12.38,-0.46,-2.11,14.51,-4.69
DAL,241.5,39.6,89.29,0.444,12.26,34.09,0.36,27.44,55.19,0.496,14.76,19.43,0.763,42.93,23.59,3.95,12.78,-2.7,106.3,109.5,95.6,0.382,0.513,11.6,18,0.166,0.532,12.9,78.9,0.193,0.5438,0.5957,-1.75,-2.12,-0.56,-2.67,-0.53,-19.29,1.54,1.67,-2.15,-1.54,-13.99,13.42,10.84,-0.82,-2.11,0,-0.85
DEN,242.4,41.62,88.57,0.47,11.76,31.6,0.371,29.86,56.97,0.525,17.49,22.8,0.767,45.51,25.67,5.01,15.34,1.57,112.5,111,96.8,0.357,0.536,13.4,25.7,0.198,0.539,12.6,77.5,0.173,0.5704,0.6167,-0.52,3.59,2.48,3.02,0,15.24,-0.26,5.25,2.64,2.87,2.59,5.99,-2.99,-2.2,-3.45,10.37,-3.16
DET,241.5,40.39,89.77,0.45,11.15,29.85,0.373,29.23,59.91,0.488,15.18,20.45,0.745,45.14,23.55,4.02,13.94,-0.26,107.2,107.3,96.2,0.333,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,0.5421,0.583,-1.14,-1.29,3.03,-4.24,-2.87,1.79,1.02,-0.5,-2.45,-1.73,-12.44,-1.13,5.46,1.2,-0.57,10.89,5.3
GSW,240.6,42.86,85.22,0.503,11.31,28.94,0.391,31.54,56.28,0.56,16.62,20.33,0.815,43.56,29.34,7.51,15.52,5.79,113.6,107.6,99.6,0.339,0.569,14.1,21,0.195,0.504,12.6,76.3,0.186,0.6033,0.6845,2.36,4.6,8.01,9.89,6.25,-5.83,-1.81,16.82,8.56,9.21,1.03,0.65,-8.37,0.93,3.27,3.63,-3.16
