Yr,G,MP,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
88,82,1840,0.58,0.274,0.297,5.7,5.6,5.7,10.2,1.4,0.6,12.5,18.6
89,74,2536,0.602,0.294,0.409,3.4,9.1,6.4,12.9,1.8,0.7,12.7,18.5
90,82,3192,0.645,0.281,0.487,3.7,7,5.4,15.1,1.7,0.3,12.4,24.2
91,82,2972,0.65,0.277,0.515,3.2,7.4,5.4,16.6,1.8,0.3,10.2,22.5
92,82,3120,0.629,0.304,0.459,3.1,7.9,5.6,14.5,1.6,0.5,10.4,20.2
93,82,2954,0.617,0.351,0.407,2.5,7,4.8,13.4,2,0.6,9.3,22.2
94,79,2638,0.636,0.28,0.426,1.4,7.7,4.7,15.6,2.3,0.6,12.4,23.5
95,81,2665,0.62,0.43,0.391,1.4,8,4.8,16.1,2,0.5,10.6,24.6
96,76,2621,0.625,0.385,0.467,1.9,8.1,5.1,17.2,1.6,0.4,12.8,25.8
97,81,2966,0.603,0.431,0.382,2.2,9.2,5.8,17.4,1.4,0.7,10.3,25.2
98,81,2795,0.619,0.353,0.407,2.1,7.6,5,11.1,1.5,0.3,9.1,23.9
99,50,1787,0.59,0.41,0.368,1.7,7.2,4.5,11.4,1.2,0.4,8.9,22.9
100,81,2987,0.603,0.388,0.39,2,6.8,4.5,10.2,1.5,0.6,9.6,20.5
101,81,3181,0.574,0.395,0.296,1.4,8.5,5.1,15,1.4,0.3,9.1,21.5
102,79,2889,0.617,0.485,0.356,0.9,7.5,4.3,14.7,1.6,0.2,10.2,18.5
103,70,2117,0.597,0.499,0.361,1.1,7.8,4.6,13.4,1.5,0.1,8.2,17.2
104,80,2254,0.6,0.562,0.278,0.9,9,4.9,19.1,1.6,0.4,9.3,15.4
105,66,2105,0.582,0.414,0.373,1,7.7,4.4,13.3,1.3,0.2,8.4,20.8
