Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,RBAdj,OoAdj,MinAdj,AdjWS/48
LeBron James,24.0,81.0,3054.0,0.591,0.238,0.472,4.3,19.0,38.0,2.4,2.4,11.0,33.8,20.3,0.318,13.0,77.0,0.034,1.7,0.9,-3.2,13.0,-0.017,3.0,-8.2,0.0023,0.0496,0.0306,0.4005
Mo Williams,26.0,81.0,2834.0,0.588,0.373,0.202,2.1,9.4,20.1,1.3,0.3,12.7,23.4,9.8,0.165,2.3,72.0,0.004,0.3,2.5,-1.5,2.9,0.021,1.0,-0.5,0.0139,-0.0033,0.0244,0.2
Anderson Varejao,26.0,81.0,2306.0,0.565,0.004,0.496,8.9,20.6,5.4,1.8,2.3,11.5,14.2,8.0,0.166,1.6,58.0,-0.008,-1.5,-0.3,-1.3,1.8,0.007,0.9,-0.3,-0.0233,-0.006,0.0082,0.1449
Delonte West,25.0,64.0,2152.0,0.559,0.365,0.173,1.8,9.2,16.6,2.4,0.5,12.0,16.7,6.4,0.142,2.3,54.0,0.021,-2.7,0.6,-0.9,3.6,-0.024,1.5,-7.1,0.005,0.0307,0.0187,0.1964
Daniel Gibson,22.0,75.0,1795.0,0.519,0.537,0.163,2.1,7.9,11.3,1.3,0.7,9.7,16.5,3.8,0.101,-0.7,45.0,-0.013,-0.9,-2.7,0.7,-3.2,-0.013,-1.7,2.9,0.0022,-0.0391,-0.0056,0.0585
Zydrunas Ilgauskas,33.0,65.0,1765.0,0.523,0.054,0.24,11.0,21.6,6.4,0.9,3.8,10.1,23.8,5.6,0.151,-0.9,45.0,0.016,2.7,3.6,-0.6,3.1,0.002,-0.1,-4.2,-0.0089,0.0157,0.0022,0.16
Wally Szczerbiak,31.0,74.0,1527.0,0.581,0.422,0.266,3.5,14.2,8.3,1.0,0.5,11.0,15.4,4.5,0.14,-0.2,39.0,-0.014,-3.1,-1.7,-0.1,-4.7,0.003,-1.7,3.5,-0.0096,-0.0457,-0.0165,0.0682
Ben Wallace,34.0,56.0,1314.0,0.45,0.0,0.413,12.8,19.7,4.7,2.0,4.5,15.7,7.8,3.8,0.138,3.0,33.0,0.016,5.0,0.8,-0.1,4.5,-0.004,4.0,-7.2,-0.004,0.026,-0.0102,0.1498
Sasha Pavlovic,25.0,66.0,1053.0,0.51,0.425,0.196,3.6,10.4,10.5,1.1,1.2,13.8,15.5,1.7,0.077,-1.8,27.0,-0.008,1.1,-0.1,0.5,-2.4,0.009,-1.0,5.0,0.0098,-0.0386,-0.0354,0.0128
J.J. Hickson,20.0,62.0,705.0,0.548,0.0,0.345,9.1,18.4,2.1,1.1,3.4,16.8,18.0,1.5,0.101,-4.5,18.0,-0.016,-3.6,-3.4,3.5,-10.5,0.005,-3.5,8.3,-0.0052,-0.0556,-0.0589,-0.0187
Darnell Jackson,23.0,51.0,430.0,0.483,0.023,0.407,9.2,14.7,2.7,1.3,0.7,12.1,12.7,0.8,0.094,-4.2,11.0,-0.018,2.0,-0.6,3.7,-7.9,0.035,-3.6,13.6,0.0131,-0.0448,-0.0821,-0.0198
Joe Smith,33.0,21.0,411.0,0.534,0.026,0.243,10.8,17.8,6.2,0.9,2.7,7.3,15.8,1.4,0.168,-0.1,10.0,-0.044,-1.1,2.3,-2.1,-3.9,0.007,-3.5,3.6,0.0159,-0.0197,-0.0334,0.1308
Tarence Kinsey,24.0,50.0,277.0,0.595,0.261,0.551,4.5,11.6,5.5,2.3,0.0,20.4,18.3,0.6,0.105,-3.3,7.0,-0.015,0.8,-3.7,5.1,-7.8,0.001,-0.7,8.8,0.0172,-0.0289,-0.1173,-0.024
Lorenzen Wright,33.0,17.0,125.0,0.377,0.0,0.296,6.9,16.5,3.5,1.7,3.2,22.8,14.9,-0.1,-0.022,-6.4,3.0,-0.003,0.4,-1.4,6.2,-10.5,-0.021,0.4,-2.1,0.0214,-0.0151,-0.1024,-0.1181
Jawad Williams,25.0,10.0,20.0,0.5,0.5,0.0,6.2,5.7,0.0,2.7,0.0,7.7,30.7,0.0,0.045,-8.7,1.0,0.025,3.6,-4.0,2.8,-1.4,-0.117,2.9,-7.8,0.0231,-0.0132,-0.1412,-0.0863
Trey Johnson,24.0,4.0,14.0,0.296,0.0,0.8,0.0,8.2,0.0,0.0,0.0,12.9,26.2,-0.1,-0.205,-22.2,0.0,-0.072,-2.7,-7.9,17.8,-30.8,0.141,2.4,22.7,0.0233,-0.0137,-0.137,-0.3324
