Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,RBAdj,OoAdj,MinAdj,AdjWS/48
Ben Wallace,29.0,81.0,3050.0,0.441,0.011,0.388,12.5,25.5,7.7,2.6,6.1,12.3,15.3,10.2,0.16,5.1,77.0,-0.011,1.4,0.5,-2.6,2.4,0.001,0.5,-2.0,-0.0168,0.4439,0.0302,0.6173
Richard Hamilton,25.0,78.0,2772.0,0.522,0.058,0.293,3.3,8.3,22.2,2.0,0.5,13.8,25.7,8.1,0.141,1.3,70.0,0.022,-1.4,0.7,-1.6,5.7,0.025,-1.5,4.8,0.0054,-0.265,0.025,-0.0936
Chauncey Billups,27.0,78.0,2758.0,0.55,0.336,0.462,1.5,10.0,29.3,1.7,0.2,13.6,23.5,11.3,0.198,3.4,70.0,-0.001,-2.1,1.1,-2.7,4.3,0.005,-1.8,1.5,0.005,0.1447,0.0246,0.3723
Tayshaun Prince,23.0,82.0,2701.0,0.536,0.217,0.195,4.0,12.5,12.4,1.3,1.9,13.2,15.6,7.5,0.134,2.1,68.0,0.003,-1.9,2.7,-2.1,2.6,0.01,-2.2,1.8,6.0E-4,-0.104,0.0194,0.05
Mehmet Okur,24.0,71.0,1580.0,0.538,0.089,0.386,11.9,18.8,8.2,1.2,3.0,13.7,21.7,5.9,0.179,1.3,40.0,-0.009,1.9,1.2,-0.2,1.5,0.012,1.4,-1.7,-0.0149,0.4178,-0.0118,0.5701
Corliss Williamson,30.0,79.0,1574.0,0.546,0.0,0.327,6.6,12.2,7.2,1.0,1.0,14.1,23.8,4.1,0.124,-2.6,40.0,0.019,2.2,-2.1,2.8,0.1,-0.003,0.6,0.9,-0.0057,-0.2577,-0.0185,-0.1579
Elden Campbell,35.0,65.0,892.0,0.49,0.0,0.395,6.8,20.1,9.3,1.3,4.3,14.6,22.6,2.1,0.115,-1.9,23.0,0.015,-3.2,2.3,-0.9,1.3,0.009,-1.9,3.8,-0.0059,-0.4829,-0.046,-0.4198
Chucky Atkins,29.0,40.0,751.0,0.49,0.553,0.183,0.9,6.4,21.9,1.4,0.1,15.9,18.8,1.2,0.079,-2.7,19.0,-0.022,3.3,-1.9,0.4,-3.4,-0.012,-1.9,2.4,0.0174,-0.5159,-0.0297,-0.4492
Bob Sura,30.0,53.0,707.0,0.489,0.208,0.399,5.0,11.8,21.2,2.9,1.0,16.1,16.0,2.0,0.137,1.0,18.0,-0.01,2.1,-2.8,1.3,-3.1,-0.001,-0.7,3.7,0.0082,-0.6703,-0.0499,-0.575
Rasheed Wallace,29.0,22.0,673.0,0.495,0.246,0.192,5.6,20.8,11.5,1.9,5.1,8.7,23.2,2.4,0.171,3.6,17.0,0.04,-3.5,1.7,-0.7,2.6,-0.045,2.6,-11.2,0.0082,0.7074,-0.0013,0.8853
Lindsey Hunter,33.0,33.0,661.0,0.399,0.35,0.056,2.3,9.3,20.7,3.2,0.7,18.8,12.8,0.9,0.067,-0.7,16.0,0.003,-3.5,-0.8,1.1,-3.8,-0.023,3.3,-8.2,0.012,0.3167,-0.0273,0.3684
Mike James,28.0,26.0,512.0,0.512,0.374,0.218,1.8,11.1,32.0,2.8,0.1,20.3,18.4,1.4,0.13,0.2,13.0,0.017,1.2,0.8,3.1,-3.0,-0.004,2.7,-2.8,0.017,-0.0488,-0.031,0.0672
Darvin Ham,30.0,54.0,484.0,0.531,0.027,0.467,11.4,10.8,5.3,1.5,1.3,25.5,11.7,0.9,0.087,-1.6,12.0,-0.041,3.1,3.4,2.3,-7.8,-0.005,2.0,-3.3,0.0139,-0.2294,-0.0773,-0.2058
Tremaine Fowlkes,27.0,36.0,261.0,0.393,0.167,0.375,8.1,15.3,8.4,1.9,0.9,17.7,12.2,0.4,0.068,-2.6,6.0,-0.063,-0.6,-4.6,3.3,-12.9,-0.006,0.6,-0.6,0.014,-0.3445,-0.0979,-0.3604
Zeljko Rebraca,31.0,21.0,222.0,0.498,0.0,0.519,10.1,15.4,3.0,1.2,3.1,16.4,16.7,0.5,0.115,-3.6,6.0,-0.031,3.8,-9.0,2.2,-3.2,0.031,-1.4,12.2,0.0153,-0.4375,-0.0743,-0.3815
Darko Milicic,18.0,34.0,159.0,0.318,0.015,0.369,8.1,22.9,7.5,2.4,7.2,14.7,26.0,-0.2,-0.049,-6.8,4.0,-0.051,-3.2,-6.5,3.3,-15.7,-0.01,-0.1,4.7,0.0143,-0.409,-0.1242,-0.5679
Hubert Davis,33.0,3.0,23.0,0.0,0.5,0.0,0.0,0.0,6.3,0.0,0.0,33.3,6.1,-0.1,-0.11,-11.7,1.0,0.025,20.0,-16.9,0.8,18.8,-0.084,7.6,-13.2,0.0209,-0.0507,-0.1096,-0.2494
