Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,RBAdj,OoAdj,MinAdj,AdjWS/48
Russell Westbrook,29.0,80.0,2914.0,0.524,0.193,0.336,5.6,25.7,49.8,2.5,0.6,16.4,34.1,10.1,0.166,8.2,74.0,0.028,7.7,4.7,-0.3,10.6,0.019,1.2,-1.4,0.0044,0.077,0.0296,0.277
Paul George,27.0,79.0,2891.0,0.57,0.454,0.307,2.7,14.9,14.5,2.8,1.2,12.2,25.7,8.9,0.148,2.6,73.0,0.017,0.9,1.1,1.0,1.9,0.022,1.1,1.8,0.0039,-0.0161,0.0298,0.1656
Carmelo Anthony,33.0,78.0,2501.0,0.503,0.406,0.165,2.9,17.7,6.5,0.9,1.8,7.3,23.2,3.7,0.071,-3.8,63.0,0.011,7.6,3.2,-0.1,6.8,0.027,-0.7,1.8,0.0128,0.0233,0.019,0.1261
Steven Adams,24.0,76.0,2487.0,0.63,0.003,0.402,16.6,13.9,5.5,1.8,2.8,13.2,16.7,9.7,0.187,3.3,63.0,0.015,11.1,3.2,1.3,7.1,0.009,-0.5,0.2,0.0058,0.0448,0.0203,0.2579
Jerami Grant,23.0,81.0,1647.0,0.607,0.241,0.526,5.6,16.3,5.1,0.9,4.2,8.8,16.0,5.4,0.156,-0.6,42.0,-0.004,-7.7,-2.8,-0.1,-3.6,-0.023,-1.0,0.7,-0.0312,-0.0513,-0.0146,0.0589
Raymond Felton,33.0,82.0,1365.0,0.494,0.417,0.08,2.0,11.0,22.5,1.8,1.1,11.7,20.4,2.2,0.078,-2.8,34.0,-0.018,-8.0,-4.0,-0.7,-6.9,-0.017,-0.6,0.7,-0.018,-0.0751,-0.0284,-0.0435
Patrick Patterson,28.0,82.0,1270.0,0.555,0.643,0.173,2.7,14.6,6.1,1.9,1.6,10.3,10.8,2.6,0.098,-1.3,32.0,-0.023,-10.1,-3.7,-1.7,-8.4,-0.005,0.0,1.1,-0.0256,-0.0897,-0.0333,-0.0506
Alex Abrines,24.0,75.0,1134.0,0.567,0.759,0.158,2.5,8.9,3.4,1.7,0.6,7.4,12.7,2.2,0.094,-2.2,29.0,-0.013,-3.7,-3.1,-1.2,-1.3,-0.002,-0.6,3.2,-0.003,-0.054,-0.0358,0.0012
Andre Roberson,26.0,39.0,1037.0,0.543,0.222,0.235,7.8,12.2,6.0,2.2,3.1,14.4,8.6,2.2,0.1,1.5,26.0,-0.012,5.9,3.9,0.5,-1.5,-0.022,4.0,-11.5,0.0158,0.0652,-0.0029,0.1781
Josh Huestis,26.0,69.0,982.0,0.417,0.632,0.11,4.6,13.9,2.7,0.8,4.0,12.0,9.5,0.5,0.024,-3.9,25.0,0.012,-0.7,-0.6,-0.3,2.5,-0.029,-1.9,-1.9,3.0E-4,0.0229,-0.0407,0.0065
Terrance Ferguson,19.0,61.0,763.0,0.545,0.71,0.059,2.7,4.2,3.4,1.6,1.2,6.0,10.4,1.2,0.077,-2.5,19.0,-0.006,-0.8,-3.5,1.9,-5.1,0.022,-1.1,7.6,0.0112,-0.0898,-0.0507,-0.0523
Corey Brewer,31.0,18.0,514.0,0.565,0.465,0.271,4.2,9.2,6.7,3.7,1.1,6.4,14.4,1.6,0.15,2.1,13.0,0.013,-0.1,0.8,-0.5,3.2,0.033,-0.1,2.8,0.0173,-0.0124,-0.0066,0.1483
Dakari Johnson,22.0,31.0,161.0,0.575,0.0,0.513,10.7,12.8,7.2,1.8,4.5,5.9,13.5,0.6,0.178,0.3,4.0,-0.03,-1.3,3.8,1.9,-8.5,-0.064,4.0,-15.7,0.0184,0.0024,-0.1206,0.0782
Nick Collison,37.0,15.0,75.0,0.627,0.0,0.684,10.0,19.9,8.2,0.0,0.0,22.1,18.2,0.1,0.064,-6.5,2.0,-0.003,-6.6,2.7,1.2,-7.8,0.012,2.7,-1.7,0.0195,-0.0121,-0.1263,-0.0549
Kyle Singler,29.0,12.0,59.0,0.43,0.238,0.619,1.8,17.5,4.8,0.8,0.0,10.1,21.6,0.0,-0.031,-11.8,1.0,-0.05,-7.4,3.5,-0.6,-12.9,-0.041,-2.5,-6.9,0.0208,-0.0108,-0.1278,-0.1488
Daniel Hamilton,22.0,6.0,28.0,0.545,0.455,0.0,0.0,20.5,44.2,1.8,0.0,15.4,19.9,0.1,0.169,-1.6,1.0,-0.069,-1.8,-8.2,2.6,-26.3,-0.064,-5.6,-2.1,0.0208,-0.0127,-0.1313,0.0458
PJ Dozier,21.0,2.0,3.0,0.5,0.0,0.0,0.0,38.3,0.0,0.0,0.0,33.3,42.9,0.0,-0.404,-34.0,0.0,-0.114,5.6,-17.4,5.5,-31.0,-0.151,-16.6,9.0,0.0213,-0.0105,-0.1387,-0.5319
