Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,RBAdj,OoAdj,MinAdj,AdjWS/48
Kawhi Leonard,24.0,72.0,2380.0,0.616,0.267,0.306,4.7,18.4,13.0,2.8,2.3,7.8,25.8,13.7,0.277,8.3,60.0,-0.009,-0.1,3.0,-2.2,2.5,-0.023,-0.4,-4.6,-0.002,0.0817,0.0316,0.3883
LaMarcus Aldridge,30.0,74.0,2261.0,0.565,0.015,0.289,9.2,22.2,8.1,0.9,2.8,7.8,25.9,10.1,0.215,1.8,57.0,-0.011,2.0,0.4,-1.1,1.3,0.001,-1.6,1.1,-0.0156,-0.0185,0.0257,0.2066
Danny Green,28.0,79.0,2062.0,0.492,0.622,0.082,2.7,13.6,9.3,2.0,2.4,11.4,14.6,4.2,0.099,2.7,52.0,-0.018,2.7,1.9,-1.7,0.2,-0.011,-1.0,-2.4,0.009,0.0277,0.0144,0.1501
Tony Parker,33.0,72.0,1980.0,0.546,0.092,0.241,1.0,8.8,29.1,1.4,0.4,14.3,21.2,5.8,0.142,0.1,50.0,-0.019,-1.5,1.4,-1.0,-1.5,0.001,-1.1,0.2,0.01,-0.034,0.0173,0.1353
Patty Mills,27.0,81.0,1662.0,0.541,0.523,0.095,1.9,8.7,20.1,1.8,0.3,10.7,19.7,4.8,0.139,1.7,42.0,0.018,0.6,-1.7,1.2,1.0,0.005,1.8,0.1,0.0064,-0.0054,-0.0029,0.1371
Tim Duncan,39.0,61.0,1536.0,0.523,0.005,0.297,8.8,23.8,15.3,1.6,3.9,15.3,17.6,5.2,0.163,4.1,39.0,-0.019,3.3,2.8,0.1,-0.6,-0.026,-1.3,-4.8,-0.0062,0.047,0.009,0.2128
David West,35.0,78.0,1404.0,0.573,0.016,0.179,6.0,18.6,15.4,1.6,3.0,12.3,18.0,5.4,0.184,3.4,36.0,0.004,-3.1,0.0,-0.7,-1.3,0.0,1.8,-1.8,-0.0149,-4.0E-4,-0.0124,0.1563
Boris Diaw,33.0,76.0,1386.0,0.582,0.18,0.198,4.9,13.9,18.4,1.0,1.2,18.9,17.0,3.8,0.132,1.2,35.0,0.016,-2.4,0.2,1.5,-2.2,0.005,0.5,0.2,-0.0047,-0.0397,-0.0118,0.0758
Kyle Anderson,22.0,78.0,1245.0,0.528,0.125,0.281,2.4,19.4,13.7,2.5,1.8,15.1,14.4,3.5,0.133,1.8,32.0,0.003,-1.9,-3.2,0.5,-1.9,0.015,1.8,2.1,-0.0126,-0.0637,-0.0206,0.0361
Manu Ginobili,38.0,58.0,1134.0,0.573,0.411,0.257,2.7,11.7,23.6,3.0,0.8,17.0,23.6,3.8,0.16,3.6,29.0,0.019,-0.3,-1.4,1.5,-0.1,-0.013,1.9,-4.3,0.0067,0.0354,-0.0097,0.1924
Jonathon Simmons,26.0,55.0,813.0,0.586,0.194,0.38,2.3,10.8,10.4,1.5,0.5,15.8,18.9,2.0,0.119,-1.0,21.0,0.022,-1.3,-2.7,2.6,0.0,0.022,-0.1,4.9,0.009,-0.0603,-0.0293,0.0384
Boban Marjanovic,27.0,54.0,508.0,0.662,0.0,0.655,16.9,26.2,6.6,1.2,3.5,11.5,22.8,3.4,0.325,3.6,13.0,-0.013,4.9,-1.8,1.2,0.8,0.029,-0.8,7.2,0.0025,-0.0566,-0.0604,0.2105
Rasual Butler,36.0,46.0,432.0,0.558,0.471,0.154,0.8,13.5,7.7,1.5,4.1,6.7,12.6,1.3,0.146,1.8,11.0,0.019,-1.4,0.7,0.2,0.2,-0.01,-1.6,1.9,0.0173,-0.0236,-0.062,0.0777
Kevin Martin,32.0,16.0,261.0,0.504,0.388,0.353,1.8,10.6,6.4,1.8,0.6,11.7,19.5,0.4,0.082,-2.4,7.0,-0.03,-2.0,-3.1,0.8,-5.2,0.063,-0.8,14.4,0.0207,-0.0499,-0.0353,0.0175
Ray McCallum,24.0,31.0,256.0,0.476,0.239,0.149,2.8,10.8,17.7,1.0,1.2,13.3,14.7,0.5,0.092,-2.0,6.0,-0.004,-0.4,-2.8,-2.1,2.0,0.008,-1.5,6.0,0.0203,-0.0258,-0.0751,0.0114
Matt Bonner,35.0,30.0,206.0,0.647,0.596,0.07,1.7,12.8,6.3,1.5,0.4,4.9,13.7,0.8,0.181,1.6,5.0,0.062,-3.8,-0.7,-0.6,7.6,0.015,0.3,1.9,0.0205,-0.0085,-0.0911,0.1019
Andre Miller,39.0,13.0,181.0,0.521,0.083,0.271,3.9,12.8,22.6,2.0,0.0,18.3,16.6,0.4,0.118,-0.5,5.0,0.016,2.5,-1.9,0.0,6.0,0.013,-1.3,4.5,0.0223,-0.0154,-0.0475,0.0774
